,max_deg_centrality,avg_deg_centrality,max_degree,max_deg_nodes,complexity
74 Chevy Tailgate Support-RBS,0.10810810810810811,0.01849217638691323,4.0,"rot ME,trans ME",13.0
Air Compressor 22,0.10810810810810811,0.027027027027027018,4.0,Solid,19.0
B&D Cordless Screwdriver,0.13513513513513514,0.028449502133712657,5.0,"EE,rot ME",20.0
B&D Elec. Polisher,0.13513513513513514,0.02560455192034139,5.0,"EE,Solid",18.0
B&D Weed Trimmer,0.13513513513513514,0.017069701280227598,5.0,Solid,12.0
Battery Op. Toothbrush,0.10810810810810811,0.027027027027027018,4.0,"EE,Import,rot ME",19.0
Bissel Hand Vacuum,0.10810810810810811,0.019914651493598858,4.0,Import,14.0
Black & Decker Elec. Knife,0.16216216216216217,0.02275960170697013,6.0,Solid,16.0
Black & Decker Sander,0.13513513513513514,0.025604551920341383,5.0,Solid,18.0
Braun Hand Blender,0.13513513513513514,0.018492176386913226,5.0,EE,13.0
Bubble Machine,0.08108108108108109,0.01849217638691323,3.0,"Change,Liquid,rot ME",13.0
Bumble Ball Toy,0.10810810810810811,0.015647226173541966,4.0,rot ME,11.0
Cadillac Slide-Out Visor-RBS,0.08108108108108109,0.01422475106685633,3.0,rot ME,10.0
Corvette Vac 23,0.13513513513513514,0.02844950213371265,5.0,Solid,20.0
Crossfire Game,0.13513513513513514,0.017069701280227598,5.0,Solid,12.0
Dazey Fruit & Veg. Stripper-RBS,0.1891891891891892,0.027027027027027018,7.0,Solid,19.0
De walt sander,0.1891891891891892,0.02844950213371265,7.0,Solid,20.0
Dremel Electric Engraver-RBS,0.10810810810810811,0.01849217638691323,4.0,"Import,Solid",13.0
Durabuilt Hand Vacuum,0.13513513513513514,0.02844950213371265,5.0,EE,20.0
Electric Can Opener,0.13513513513513514,0.022759601706970122,5.0,Solid,16.0
Electric Pencil Sharpener,0.1891891891891892,0.024182076813655754,7.0,Solid,17.0
Ertl Bumble Ball,0.10810810810810811,0.01849217638691323,4.0,EE,13.0
F.Price Remote Control Car,0.10810810810810811,0.025604551920341397,4.0,"control,rot ME",18.0
Fisher Price Bubble Mower,0.08108108108108109,0.01422475106685633,3.0,rot ME,10.0
Green Eagle Putting Cup,0.13513513513513514,0.018492176386913226,5.0,EE,13.0
Hair Dryer,0.10810810810810811,0.032716927453769556,4.0,"EE,Gas,Import,therm E",23.0
Hamilton  Elec. Mixer,0.08108108108108109,0.018492176386913226,3.0,EE,13.0
Horseman Swimming Toy,0.10810810810810811,0.018492176386913233,4.0,EE,13.0
Hot Glue Gun 21,0.13513513513513514,0.02844950213371266,5.0,Solid,20.0
Humidifier,0.10810810810810811,0.02844950213371265,4.0,EE,20.0
Krups Cheese Grater,0.1891891891891892,0.02275960170697013,7.0,Solid,16.0
Mattel Bubble Extinguisher,0.13513513513513514,0.01991465149359885,5.0,Liquid,14.0
Mini Pro Hair Dryer,0.10810810810810811,0.024182076813655754,4.0,"EE,Gas,Import",17.0
Moen Kitchen Water Faucet,0.10810810810810811,0.012802275960170698,4.0,Liquid,9.0
Mr. Coffee Coffee Maker-RBS,0.21621621621621623,0.03271692745376955,8.0,Liquid,23.0
Mr. Coffee Iced Tea Maker-RBS,0.1891891891891892,0.03271692745376956,7.0,Liquid,23.0
OverRider Toy Car,0.10810810810810811,0.017069701280227598,4.0,EE,12.0
Paint Sprayer,0.16216216216216217,0.025604551920341393,6.0,Liquid,18.0
Pneumatic Air Ratchet,0.16216216216216217,0.02418207681365576,6.0,rot ME,17.0
Portable Fan,0.10810810810810811,0.021337126600284487,4.0,Gas,15.0
Power Caulk 20,0.10810810810810811,0.019914651493598858,4.0,"EE,Import",14.0
Presto Popcorn Popper,0.10810810810810811,0.01849217638691323,4.0,"Import,Solid",13.0
Presto Salad Shooter,0.16216216216216217,0.024182076813655758,6.0,Solid,17.0
Radio Controlled Truck,0.08108108108108109,0.018492176386913233,3.0,"EE,Import",13.0
Real Power Tool Shop,0.10810810810810811,0.011379800853485065,4.0,Solid,8.0
Regal Ware Electric Knife,0.10810810810810811,0.027027027027027025,4.0,"EE,Solid,rot ME",19.0
SKIL Power Screwdriver-RBS,0.13513513513513514,0.025604551920341393,5.0,"EE,Solid",18.0
Salon Series 795 Hair Dryer,0.10810810810810811,0.02418207681365576,4.0,"EE,Import",17.0
Salton Sandwich Maker,0.13513513513513514,0.027027027027027025,5.0,"EE,Solid",19.0
Stamp Machine 17,0.1891891891891892,0.021337126600284497,7.0,Solid,15.0
Super Maxx Ball Shooter-RBS,0.10810810810810811,0.02418207681365576,4.0,"Import,Solid,pneu E",17.0
Takka-1000 Pasta Machine,0.10810810810810811,0.024182076813655754,4.0,"EE,Import,Solid",17.0
Tape Rewinder 22,0.10810810810810811,0.01991465149359886,4.0,trans ME,14.0
Toy Solar Car,0.10810810810810811,0.017069701280227598,4.0,rot ME,12.0
Upright Vacuum Cleaner,0.08108108108108109,0.015647226173541962,3.0,"EE,Import",11.0
Wagner Paint Roller,0.13513513513513514,0.021337126600284494,5.0,Liquid,15.0
West Bend Iced Tea Maker-RBS,0.21621621621621623,0.03413940256045519,8.0,Liquid,24.0
West Bend Mixer,0.13513513513513514,0.02275960170697013,5.0,EE,16.0
WestBend Food Processor,0.10810810810810811,0.015647226173541962,4.0,Solid,11.0
Wet/Dry Vacuum,0.13513513513513514,0.02560455192034139,5.0,Solid,18.0
bicycle brake 18,0.16216216216216217,0.018492176386913226,6.0,Solid,13.0
