Flow,De walt sander,Real Power Tool Shop,Pneumatic Air Ratchet,Presto Popcorn Popper,Salton Sandwich Maker,Krups Cheese Grater,Dazey Fruit & Veg. Stripper-RBS,Super Maxx Ball Shooter-RBS,Salon Series 795 Hair Dryer,Presto Salad Shooter,Toy Solar Car,Hair Dryer,Wet/Dry Vacuum,74 Chevy Tailgate Support-RBS,Cadillac Slide-Out Visor-RBS,SKIL Power Screwdriver-RBS,Durabuilt Hand Vacuum,B&D Weed Trimmer,Wagner Paint Roller,Hamilton  Elec. Mixer,OverRider Toy Car,Horseman Swimming Toy,Mattel Bubble Extinguisher,Regal Ware Electric Knife,Bumble Ball Toy,B&D Cordless Screwdriver,Takka-1000 Pasta Machine,Upright Vacuum Cleaner,WestBend Food Processor,Black & Decker Sander,West Bend Mixer,Green Eagle Putting Cup,F.Price Remote Control Car,Ertl Bumble Ball,Fisher Price Bubble Mower,Electric Can Opener,Portable Fan,Bubble Machine,B&D Elec. Polisher,Crossfire Game,Black & Decker Elec. Knife,Dremel Electric Engraver-RBS,Moen Kitchen Water Faucet,Battery Op. Toothbrush,Humidifier,Electric Pencil Sharpener,Mini Pro Hair Dryer,West Bend Iced Tea Maker-RBS,Mr. Coffee Iced Tea Maker-RBS,Mr. Coffee Coffee Maker-RBS,Radio Controlled Truck,Braun Hand Blender,Paint Sprayer,Bissel Hand Vacuum,Air Compressor 22,Corvette Vac 23,Power Caulk 20,Stamp Machine 17,bicycle brake 18,Tape Rewinder 22,Hot Glue Gun 21
De walt sander,0.0,0.6047152924789526,0.7830695421813438,0.5038610616431661,0.487010823957423,0.38508130618755787,0.3844129887489076,0.6203716988173518,0.5119064699080236,0.3492086265440315,0.8063508326896291,0.5337475958798431,0.5256583509747431,0.8139478981161873,0.7878679656440357,0.5783629786442162,0.30000000000000016,0.4836022205056778,0.7113248654051871,0.5658784289377703,0.6772513878160487,0.7519305308215831,0.7011928476664016,0.43571190635316526,0.7977400412610274,0.55,0.4576738554533596,0.4606401100294063,0.39322012378308213,0.1567259572884322,0.49688470506254734,0.5658784289377703,0.6310676063136891,0.6278957962323746,0.7878679656440357,0.44098300562505255,0.5381197846482995,0.7519305308215831,0.3148398402968512,0.548151942942468,0.2732779073125684,0.44184369434856197,0.850928801500014,0.5383097415616807,0.6000000000000001,0.4576738554533596,0.5119064699080236,0.4979209889535977,0.5337475958798431,0.48712235546782745,0.5658784289377703,0.5038610616431661,0.736476861652635,0.4023856953328032,0.487010823957423,0.5000000000000001,0.5816699867329622,0.6535898384862247,0.8139478981161873,0.7609542781331213,0.6000000000000001
Real Power Tool Shop,0.6047152924789526,0.0,0.8285014148574912,0.803883864861816,0.7566678683038562,0.4696699141100894,0.5133357366077125,0.9142507074287456,0.8285014148574912,0.48550424457247354,0.6938137821521028,0.7051160876902057,0.75,0.901941932430908,1.0,0.5,0.683772233983162,0.4896896369201713,0.8174258141649446,0.6077677297236319,0.6938137821521028,0.6077677297236319,1.0,0.5944464471730937,0.6801989254665843,0.5256583509747431,0.6570028297149824,0.6801989254665843,0.5735985672887791,0.5833333333333333,0.7348349570550448,0.901941932430908,0.6666666666666667,0.6077677297236319,0.8881966011250105,0.6464466094067263,0.726138721247417,0.803883864861816,0.5,0.6938137821521028,0.4696699141100894,0.6077677297236319,1.0,0.5944464471730937,0.841886116991581,0.571253537143728,0.7427521222862368,0.7834936490538903,0.7788370657676543,0.7788370657676543,0.705825797292724,0.705825797292724,0.9166666666666666,0.8110177634953863,0.7566678683038562,0.7628291754873715,0.7165266452430796,0.8174258141649446,0.705825797292724,0.7165266452430796,0.841886116991581
Pneumatic Air Ratchet,0.7830695421813438,0.8285014148574912,0.0,0.730930882401475,0.8887170231850686,0.8180982812227503,0.7217925579626714,0.6470588235294117,0.5882352941176471,0.7058823529411764,0.719943983194398,0.6459947838030784,0.7141690247624852,0.730930882401475,0.8466070022305259,0.5998366346674794,0.7288369277266797,0.719943983194398,0.7495102835659402,0.5963963236022125,0.7899579873957985,0.730930882401475,0.8055388829343506,0.6661510695552058,0.6343637879364347,0.6203716988173518,0.7058823529411764,0.7074910303491477,0.7806182727618608,0.8285014148574912,0.6361965624455006,0.8654654412007374,0.5998366346674794,0.730930882401475,0.6165175055763148,0.757464374963667,0.6868878544574253,0.6636636030018437,0.7141690247624852,0.719943983194398,0.6968304687045838,0.8654654412007374,0.8383095833091113,0.61050958114774,0.8915347710906719,0.7647058823529411,0.6470588235294117,0.8514778685534988,0.8482834787727479,0.8482834787727479,0.730930882401475,0.6636636030018437,0.7713352198099882,0.6758981382239178,0.7774340463701371,0.8915347710906719,0.8703592552895671,0.8747551417829701,0.9327327206003687,0.8055388829343506,0.8915347710906719
Presto Popcorn Popper,0.5038610616431661,0.803883864861816,0.730930882401475,0.0,0.49097218961937783,0.6533123773592318,0.6182291422145334,0.6636636030018437,0.46186176480294994,0.5291290442025812,0.7598077692923693,0.47951656123038366,0.5423956846775705,0.9230769230769231,0.9122941980692971,0.7385118198157545,0.5658784289377703,0.5996796154872821,0.7851655377881701,0.6923076923076923,0.8398718461949128,0.6923076923076923,0.6293753416694494,0.6182291422145334,0.8327515979985818,0.8139478981161873,0.5963963236022125,0.41463059299503635,0.6655031959971637,0.5423956846775705,0.5146373283029244,0.6923076923076923,0.7385118198157545,0.8461538461538461,0.7368825942078912,0.6533123773592318,0.7135540503842268,0.6923076923076923,0.6731397747696932,0.5996796154872821,0.6533123773592318,0.6923076923076923,0.9075499672957952,0.6818576185121111,0.5658784289377703,0.5963963236022125,0.46186176480294994,0.6037030380493915,0.6530110408202559,0.5951795476236317,0.7692307692307692,0.6923076923076923,0.7385118198157545,0.40700054667111896,0.4273437133218,0.6278957962323746,0.7035002733355595,0.8567770251921134,0.9230769230769231,0.7776252050016697,0.5658784289377703
Salton Sandwich Maker,0.487010823957423,0.7566678683038562,0.8887170231850686,0.49097218961937783,0.0,0.4838145987912361,0.47368421052631593,0.6661510695552058,0.49922660433280863,0.49922660433280863,0.7350935285869913,0.5694716140885541,0.6214833506948874,0.8727430474048444,0.7823571249669965,0.6214833506948874,0.5896086591659384,0.6026402928804868,0.763060448896363,0.5546006659169556,0.668866910733739,0.8091145711072667,0.8773721321030068,0.5789473684210527,0.7924856608401776,0.6922064943744538,0.61050958114774,0.5849713216803551,0.5849713216803551,0.5133357366077124,0.5985224657265169,0.5546006659169556,0.7837047718256499,0.8091145711072667,0.8549047499779977,0.4264606653235956,0.763060448896363,0.9363715237024223,0.4592619295641248,0.668866910733739,0.5985224657265169,0.4273437133218,0.8470561774196255,0.6842105263157896,0.5383097415616807,0.38794362751787714,0.5548680927402743,0.48487780363006827,0.5216351267650601,0.4737986394415662,0.6182291422145334,0.6182291422145334,0.8377785788692375,0.570802462360524,0.6842105263157896,0.5896086591659384,0.570802462360524,0.763060448896363,0.6818576185121111,0.7547442642060137,0.43571190635316526
Krups Cheese Grater,0.38508130618755787,0.4696699141100894,0.8180982812227503,0.6533123773592318,0.4838145987912361,0.0,0.3691067318559552,0.6968304687045838,0.6968304687045838,0.33302703115008436,0.7113248654051871,0.7393569824286566,0.5285954792089682,0.7226499018873854,0.7628291754873715,0.35181878391233135,0.44098300562505255,0.350480947161671,0.7418011102528389,0.5146373283029244,0.5669872981077806,0.7226499018873854,0.7995540685656817,0.4264606653235956,0.6984886554222364,0.44098300562505255,0.5755626561864173,0.5477329831333546,0.39697731084447274,0.4107443490112104,0.5,0.7226499018873854,0.6464466094067263,0.7226499018873854,0.9209430584957905,0.3125,0.7418011102528389,0.7919874264155391,0.4107443490112104,0.42264973081037416,0.375,0.5146373283029244,0.8333333333333334,0.3691067318559552,0.7204915028125263,0.2723931248910011,0.6968304687045838,0.6427827458441198,0.6872283789143878,0.6350997754001191,0.5839748528310782,0.5839748528310782,0.882148869802242,0.5322928266532574,0.6558763991941574,0.49688470506254734,0.5322928266532574,0.6772513878160487,0.7919874264155391,0.6659234476094695,0.6645898033750315
Dazey Fruit & Veg. Stripper-RBS,0.3844129887489076,0.5133357366077125,0.7217925579626714,0.6182291422145334,0.47368421052631593,0.3691067318559552,0.0,0.7774340463701371,0.5548680927402743,0.38794362751787714,0.7350935285869913,0.6173081014120481,0.6214833506948874,0.6818576185121111,0.7098094999559954,0.5133357366077124,0.5383097415616807,0.47018705717398246,0.7038255611204538,0.5546006659169556,0.668866910733739,0.6818576185121111,0.8160581981545103,0.42105263157894746,0.6541427680669627,0.5383097415616807,0.5548680927402743,0.5849713216803551,0.4466284289071403,0.4051881225205374,0.5985224657265169,0.6818576185121111,0.7296309647820625,0.6818576185121111,0.7823571249669965,0.3117527983883148,0.7038255611204538,0.7454860948096889,0.4592619295641248,0.5364136750272347,0.3117527983883148,0.4273437133218,0.8470561774196255,0.5263157894736843,0.7435054119787115,0.38794362751787714,0.5548680927402743,0.6253656753673225,0.6173081014120481,0.6173081014120481,0.5546006659169556,0.5546006659169556,0.7837047718256499,0.5094885284120274,0.6842105263157896,0.5896086591659384,0.570802462360524,0.7038255611204538,0.6818576185121111,0.6934303302575171,0.6409075767701962
Super Maxx Ball Shooter-RBS,0.6203716988173518,0.9142507074287456,0.6470588235294117,0.6636636030018437,0.6661510695552058,0.6968304687045838,0.7774340463701371,0.0,0.7647058823529411,0.7647058823529411,1.0,0.7977113050303305,0.7713352198099882,0.8654654412007374,0.8466070022305259,0.7713352198099882,0.6203716988173518,0.7899579873957985,0.8121327126744552,0.730930882401475,1.0,0.8654654412007374,0.7407185105791343,0.7774340463701371,1.0,0.8373021566360079,0.8235294117647058,0.7074910303491477,0.7806182727618608,0.7141690247624852,0.8180982812227503,0.8654654412007374,0.885667609904994,1.0,0.8466070022305259,0.6968304687045838,0.8121327126744552,0.7981981618011063,0.6570028297149824,0.6499299789929975,0.757464374963667,0.6636636030018437,0.757464374963667,0.8330755347776029,0.8373021566360079,0.7647058823529411,0.7647058823529411,0.653448359958164,0.6965669575454958,0.6965669575454958,0.7981981618011063,0.8654654412007374,0.885667609904994,0.5462573935134849,0.7217925579626714,0.6746043132720158,0.6758981382239178,0.6868878544574253,0.730930882401475,0.6758981382239178,0.6746043132720158
Salon Series 795 Hair Dryer,0.5119064699080236,0.8285014148574912,0.5882352941176471,0.46186176480294994,0.49922660433280863,0.6968304687045838,0.5548680927402743,0.7647058823529411,0.0,0.6470588235294117,0.7899579873957985,0.2414173938637395,0.6570028297149824,0.730930882401475,0.7699105033457889,0.5998366346674794,0.5661390843626877,0.719943983194398,0.6868878544574253,0.5291290442025812,0.6499299789929975,0.6636636030018437,0.6758981382239178,0.61050958114774,0.6343637879364347,0.6203716988173518,0.5882352941176471,0.5612365455237216,0.7074910303491477,0.5426704396199764,0.5755626561864173,0.6636636030018437,0.5426704396199764,0.5963963236022125,0.7699105033457889,0.5755626561864173,0.5616429962403954,0.730930882401475,0.5426704396199764,0.7899579873957985,0.5149287499273341,0.6636636030018437,0.757464374963667,0.49922660433280863,0.4576738554533596,0.7058823529411764,0.17647058823529416,0.653448359958164,0.6459947838030784,0.6459947838030784,0.6636636030018437,0.39459448540331876,0.6570028297149824,0.4814370211582685,0.5548680927402743,0.6746043132720158,0.7407185105791343,1.0,1.0,0.8055388829343506,0.6746043132720158
Presto Salad Shooter,0.3492086265440315,0.48550424457247354,0.7058823529411764,0.5291290442025812,0.49922660433280863,0.33302703115008436,0.38794362751787714,0.7647058823529411,0.6470588235294117,0.0,0.6499299789929975,0.6965669575454958,0.5426704396199764,0.7981981618011063,0.8466070022305259,0.48550424457247343,0.5119064699080236,0.36987396218739554,0.6868878544574253,0.39459448540331876,0.6499299789929975,0.5963963236022125,0.8055388829343506,0.38794362751787714,0.6343637879364347,0.5119064699080236,0.4117647058823529,0.41498206069829546,0.3418548182855824,0.3711718544774676,0.4542948436682508,0.6636636030018437,0.5998366346674794,0.6636636030018437,0.7699105033457889,0.33302703115008436,0.6242654253489104,0.6636636030018437,0.3711718544774676,0.579915974791597,0.33302703115008436,0.5291290442025812,0.9191547916545557,0.49922660433280863,0.5661390843626877,0.2941176470588235,0.6470588235294117,0.5544336056604966,0.5448504363182437,0.5448504363182437,0.5291290442025812,0.46186176480294994,0.7141690247624852,0.6110777658687013,0.49922660433280863,0.5661390843626877,0.7407185105791343,0.7495102835659402,0.730930882401475,0.5462573935134849,0.6746043132720158
