,74 Chevy Tailgate Support-RBS,Air Compressor 22,B&D Cordless Screwdriver,B&D Elec. Polisher,B&D Weed Trimmer,Battery Op. Toothbrush,Bissel Hand Vacuum,Black & Decker Elec. Knife,Black & Decker Sander,Braun Hand Blender,Bubble Machine,Bumble Ball Toy,Cadillac Slide-Out Visor-RBS,Chainsaw Toy Truck 18,Corvette Vac 23,Crossfire Game,Dazey Fruit & Veg. Stripper-RBS,De walt sander,Dremel Electric Engraver-RBS,Drill and Nail Extractor  11,Durabuilt Hand Vacuum,Electric Can Opener,Electric Pencil Sharpener,Ertl Bumble Ball,F.Price Remote Control Car,Fisher Price Bubble Mower,Good Times Fishing Reel,Green Eagle Putting Cup,Hair Dryer,Hamilton  Elec. Mixer,Horseman Swimming Toy,Hot Glue Gun 21,Humidifier,KRUPS Café Trio,Krups Cheese Grater,Mattel Bubble Extinguisher,Metronome,Mini Pro Hair Dryer,Moen Kitchen Water Faucet,Mr. Coffee Coffee Maker-RBS,Mr. Coffee Iced Tea Maker-RBS,OverRider Toy Car,Paint Sprayer,Pneumatic Air Ratchet,Portable Fan,Power Caulk 20,Presto Popcorn Popper,Presto Salad Shooter,Push-n-Go Train 13,Radio Controlled Truck,Real Power Tool Shop,Regal Ware Electric Knife,SKIL Power Screwdriver-RBS,Salon Series 795 Hair Dryer,Salton Sandwich Maker,Small Projectile Toy,Stamp Machine 17,Stanley Electric Stapler,Super Maxx Ball Shooter-RBS,Tactical Nerf Toy Gun,Takka-1000 Pasta Machine,Tape Rewinder 22,Toy Solar Car,Upright Vacuum Cleaner,Wagner Paint Roller,West Bend Iced Tea Maker-RBS,West Bend Mixer,WestBend Food Processor,Wet/Dry Vacuum,bicycle brake 18
74 Chevy Tailgate Support-RBS,0.0,49.33533785675372,38.87809875845049,43.993213091749496,28.70782789254004,40.30011286447349,37.30831066824903,35.61418191361515,41.20388330653101,34.650034396327605,39.90136989834203,32.00018989664999,19.093184734493164,34.22994774746694,42.29862901827249,33.281896267426596,33.59462661480945,42.56970662108577,36.35939960165049,27.32456656814486,42.288856302383195,32.459985473798696,32.79303201910935,35.649930398375155,49.296109836842554,31.513156330231105,31.17150476729511,34.83422897555279,57.485658530474005,36.22464733462448,36.99360985673025,48.09218354651526,50.84802430953709,45.82762486369763,36.33587470170827,37.67014777604358,33.197601250647935,41.21210148803582,30.17806458548279,45.91989845974913,48.8536466779751,36.67862825675951,38.05694217863626,37.84897546678805,40.88126316679501,41.34227718612412,40.00181637934573,38.37129136738195,27.995316318002782,36.724373025954115,30.46651124845472,42.94434265937687,39.39673573602712,40.677048402369394,49.90553090453141,30.898526789906477,37.393921245169885,35.51304136205861,43.140900692703454,38.62894863645597,46.332123688387426,36.77155801761056,37.24676467977703,37.88857376788145,36.234919038157436,46.746608203280665,41.10702274382169,34.18208792262708,45.173300815427865,34.272093490363076
Air Compressor 22,49.33533785675372,0.0,48.5336227733975,40.50917396919102,34.60743881460302,38.48762517949945,31.196788841048313,38.090815566049926,38.91346282164826,33.27266538618185,43.64778281144354,36.615278839048806,43.357699102643956,38.45971525270804,39.131822155930266,40.14915850876433,45.23295192149274,39.45521586985376,37.62977611785587,38.151027299143486,37.68502220844926,38.01047627442463,37.872001844342044,38.697260676466364,43.73240562062517,38.88932485453932,47.0359566811807,36.37916204678459,45.862725736506114,38.575859729469784,34.8167826546194,51.917997144011025,45.370895527839785,45.80220558886608,38.04217172334003,38.69664402015106,43.59990244931176,37.808869498608864,43.21129606236007,47.67272129644921,50.245362079870446,36.03429922870544,46.938948787425936,44.42944944446789,31.646208595184547,41.12652661640784,27.276020212618644,36.232524901463115,42.078855441711156,38.06482340189349,35.92490939335749,41.44727473461908,44.002637880928425,38.5278686913862,51.49967920810676,40.75339987390769,43.52602751133607,37.58983694001832,48.01634802635582,44.72464403109465,46.43844351618023,39.92104458256706,39.797514010893856,27.231268643009475,42.58535503410569,48.412548928026915,34.957059152747284,32.234510417909306,36.72865349460662,45.920115585709375
B&D Cordless Screwdriver,38.87809875845049,48.5336227733975,0.0,34.89570364694466,30.661294313816725,33.82443483647858,46.272952038835925,36.02062817801777,41.316047873203864,30.7205771946209,46.07650555433058,33.07417449519208,36.78592996144772,37.75376179545421,51.759630448393104,37.40113271874422,38.67222497843591,41.48577748043747,36.13677584735895,42.96968088436535,33.091186626210344,36.76972903739719,38.24596393988347,29.671356603347704,38.46605350887608,40.214695054254925,36.090782838414086,39.44904960159843,55.12923728122021,34.75209929779062,35.98924300264158,52.385601422296745,55.167315439344726,53.91145681613788,35.533758409831655,48.73737849923808,33.055365156548305,46.946930761616585,42.812160822590734,50.54137883959471,51.74894516605436,30.158970928834137,46.206127728825884,38.0621751781839,48.24367128422184,37.660115079894126,47.613042843444326,39.58224466005028,30.384477447485505,36.17304048378744,31.0700294517337,40.22286360454969,10.13825307234314,45.07619097099536,47.55008875917726,37.30834308049075,41.37833523519827,37.46732050966375,51.23347355852199,45.152776037047246,44.266279628857866,42.09386231657286,40.75077386973526,41.88190336855126,39.67514548255739,51.497683719533875,38.52631000232655,38.92441445430692,46.10203756005707,45.865141994591056
B&D Elec. Polisher,43.993213091749496,40.50917396919102,34.89570364694466,0.0,30.064427792979526,34.23885146126014,37.36785675143533,20.8427295624767,20.669581811908607,22.912056065173214,44.732928950834776,40.37435212500051,40.2644284862146,34.274616808710896,39.49935975251094,33.880905586977775,31.027598302311862,23.857165942736962,20.473659954330792,37.920685893730905,36.74074249180951,24.804469109916557,34.733272113715955,36.95475164965607,38.74485762254895,37.72303617168356,35.31154504806057,30.421965502582193,46.224694881255935,28.486835666514406,37.07867606137443,45.853186928266005,48.95242281104925,44.047936527672654,31.616662436801743,46.42872366671074,40.04124886574787,36.14646625624789,41.604137224714606,45.02075052083642,45.2666277629726,32.33308315339001,45.46056466245569,40.69472287570312,37.10927851380992,39.77972997541829,41.74754689242406,28.949115055311694,33.593198308791266,32.57171605334272,30.87086717602688,32.53271903777485,33.25835342451312,37.254813624496684,36.39424974856754,34.03889617315895,40.23871156934302,32.38286052022529,45.088216072504395,40.21597663296127,34.71186115354563,35.98776129814565,40.07084462494942,32.1290755853383,37.134410298981145,45.92331519910184,28.000552461300494,28.284997205839364,43.587655780129666,39.759466531516125
B&D Weed Trimmer,28.70782789254004,34.60743881460302,30.661294313816725,30.064427792979526,0.0,29.01414669538086,26.06441339786994,23.905891312446357,22.892002476663887,25.09796429731922,32.727465018154504,24.890333639618365,26.5448813682253,26.954058832108682,30.788319859858362,25.20621607175753,26.206654411650096,25.278656720644484,23.85922228187312,18.392305187378792,27.193717249548737,16.395132636801588,19.490991741199966,26.23492096352953,35.85549537052596,24.316146167776292,26.529611096293035,27.75840204125688,51.348395935629995,20.484145449136513,28.73138747949048,38.024787193704164,42.25522442464261,31.90490350877628,17.869152494944423,28.35971423859349,27.819368791333364,36.066916434419056,24.7075078483497,32.48287597277336,34.81964419906975,25.78138571958587,34.10366901740209,30.110093171518034,31.06311405694506,28.27495947736671,26.438122389371706,19.615449243045155,24.60580766855567,21.03841652187713,17.082419940525973,29.714389647982635,28.122042124144492,34.81488667936758,37.88661611869393,23.600322019126843,24.88190404317605,20.210006572697516,37.1102687097116,24.463143611368274,32.215460585781194,26.655890739078796,29.504353518158464,22.308752045632293,25.5458479261621,33.00276939700472,25.901418655778212,16.914317346872643,26.996758462282624,29.549312527379225
Battery Op. Toothbrush,40.30011286447349,38.48762517949945,33.82443483647858,34.23885146126014,29.01414669538086,0.0,35.81437441246786,28.16961215647056,35.82761054284296,22.722678261812245,38.45997774423973,29.177176023741282,35.36269772063698,33.243000256122876,37.41783844957653,30.87603175334215,37.30972220402182,38.21814043656638,32.69664468998194,36.81956325483585,33.64197719491655,30.437597273060355,35.04786052378593,28.06238240846836,27.861855179093734,32.338702523580565,34.8509857428868,35.74172735301389,45.97533530563318,27.27443566075814,28.51051398875302,50.82991161849244,45.61072300920381,46.52599005152857,30.259866411017583,38.798506664853996,32.34536828039345,36.90524878002492,31.419768451170825,46.102315397108754,46.807067507214555,22.224001489465312,38.90688149925889,37.263347718852586,37.16182491216102,34.92697456689186,39.67367305509593,35.79248745616136,30.79690981236792,30.559130879932752,28.596656362016805,30.75298783390786,33.97907156135033,34.48180703789443,49.63559396506305,26.61260603609977,39.367402399756806,30.11160964096551,46.69725265239934,43.399439996549766,33.41110051425895,35.41676336568722,32.04549220703461,30.278901662906645,29.92051479500722,46.43488056142293,27.095146051916927,32.77485354140003,40.149758652526685,45.6398626389967
Bissel Hand Vacuum,37.30831066824903,31.196788841048313,46.272952038835925,37.36785675143533,26.06441339786994,35.81437441246786,0.0,30.340131966636825,28.469859568247298,28.440662969801345,40.58895291171617,31.94414322803847,32.457531595833686,36.17322961192364,22.26275705654953,30.38948242645873,31.15933748327925,27.734644856296022,27.41976539344409,27.999401450561606,26.59105050476051,24.987608490134633,28.269054009898685,34.74731324868484,45.67589714189181,33.80269155615513,39.25800779897249,37.981180744502055,39.346150855301794,35.387737637225605,32.802555554011164,41.314828243351485,43.76265561885076,32.801541095568474,28.290590884588703,29.746192816690407,36.71187157722224,23.572747267855927,28.46392610278098,38.503063033311214,40.32814101054872,34.154975535547344,37.7055331862693,35.227930331875406,24.7672958252454,38.454164022443585,21.010358208332804,30.725740411583725,32.44145679835709,34.334838723273236,30.55479661799223,37.04315836219259,40.39068414480583,24.802705079775865,41.88615312398052,30.824643699214782,36.00047023731528,30.010394697665472,33.63256584864502,34.87007558075471,36.844258641687915,38.87301686302481,36.52228902812128,19.338195318412957,34.214239301452906,37.95574214338916,31.778960434306022,25.6524265485409,30.914248897694044,42.53096312154604
Black & Decker Elec. Knife,35.61418191361515,38.090815566049926,36.02062817801777,20.8427295624767,23.905891312446357,28.16961215647056,30.340131966636825,0.0,17.182558071921843,19.344562903883087,36.732709621816745,28.39209910126152,31.642234704592497,32.31739393672668,35.20605074994602,25.971838846966868,19.91965020692395,17.373615991743648,21.061400842080808,30.688858430118895,32.40924812303534,20.70848673935337,22.44321824326367,31.059013368098537,36.43027156814242,31.903400801015508,26.831029494532,29.64026258981312,45.651200022715464,26.85325484845368,30.73122995889104,38.938095853174325,42.709487535046414,36.64647139909365,22.89490613092402,36.538172200443185,31.23101673498586,32.10689736337278,32.580303811850634,38.68271614130923,38.90399038626228,28.708380261708907,36.484921505805666,33.29812361650204,31.860778776923073,37.0663012474157,33.76190260343513,19.573033093759292,29.988265032511887,25.97790753397162,20.859548708868694,29.71991904605484,36.34304802299271,32.30772767336642,38.71190988572318,29.224184770012897,33.23580487683515,27.054114433376572,42.36177403800678,34.17919118869515,33.15226567696075,34.53143656417478,29.27074255072748,25.74227283523925,29.971838422697278,39.532780144565706,24.820869556673383,21.423925733752203,32.50693170293145,32.26685684118203
Black & Decker Sander,41.20388330653101,38.91346282164826,41.316047873203864,20.669581811908607,22.892002476663887,35.82761054284296,28.469859568247298,17.182558071921843,0.0,24.993808652486788,42.6289701970512,34.241904909851414,35.97837747436377,36.261163421347185,34.174697617822105,32.73515912413798,24.77229395543289,12.570191723146415,23.473517700577272,31.844007405750823,28.963172015002478,21.22413029570603,26.760279063638603,33.631920538122436,39.93493743671481,35.81691636853793,35.743465463828,33.495359538889865,46.493140496376384,33.23321954845313,37.93122159854718,43.52466642800888,46.912156933703386,36.10123414173224,24.424501782220005,37.190844389961114,38.40617824589244,35.040190514732814,35.39789409158028,39.324751824174406,40.71320656589352,32.25229970542765,41.72530435159189,40.4934708053095,32.47086497334901,36.67195864093809,32.97928649599015,21.056359431449046,36.925187176691324,32.220302041059156,27.397865231732283,31.11107117752365,41.268780677721516,34.07090109106257,34.154657219794274,33.54891402567866,39.871071073340396,29.417550074447707,44.37873415707758,34.804556769679856,33.615141452626254,40.684767543567126,35.52446217699888,28.15111608339513,37.135774956805015,40.18605759633777,26.544996864480115,21.47882862884364,36.0596076491581,39.461493631264986
Braun Hand Blender,34.650034396327605,33.27266538618185,30.7205771946209,22.912056065173214,25.09796429731922,22.722678261812245,28.440662969801345,19.344562903883087,24.993808652486788,0.0,31.112191156502394,23.82827512337743,26.80784320521043,30.60856463819829,37.182138641454245,27.676200554099605,29.25926078998083,26.33375784931883,23.76947401595458,30.500457083712877,31.856046872325845,22.963649856860293,29.747394711194595,25.386260917548807,26.24318145337092,26.32189960504525,30.770446731931937,25.407523106298285,37.69421946840059,18.600523594347443,23.327694921004152,42.49894546313761,35.58416052653665,39.42943447325523,30.46319586597615,32.44581013833898,24.377573147531933,24.325917761639833,25.673460797074817,39.291555421194396,39.993636436645616,16.342752517321102,33.823770226627914,28.289433317527887,28.486129303936053,34.316910949485155,31.441945748879863,25.173239375397035,21.78385635481629,22.994795295147195,23.324445138091328,32.10517336576341,30.43060915124838,21.321868270579866,35.09337079929125,24.049007184427584,36.895945183305905,26.23111149108791,42.53269306096572,40.35454959205675,24.434903399138047,30.675588727475635,24.8776445597409,22.469393091882502,27.748264337547692,40.312192218492434,18.624864672949474,23.486321875257694,37.78916118765121,37.70779603726574
