,74 Chevy Tailgate Support-RBS,Air Compressor 22,B&D Cordless Screwdriver,B&D Elec. Polisher,B&D Weed Trimmer,Battery Op. Toothbrush,Bissel Hand Vacuum,Black & Decker Elec. Knife,Black & Decker Sander,Braun Hand Blender,Bubble Machine,Bumble Ball Toy,Cadillac Slide-Out Visor-RBS,Corvette Vac 23,Crossfire Game,Dazey Fruit & Veg. Stripper-RBS,De walt sander,Dremel Electric Engraver-RBS,Durabuilt Hand Vacuum,Electric Can Opener,Electric Pencil Sharpener,Ertl Bumble Ball,F.Price Remote Control Car,Fisher Price Bubble Mower,Green Eagle Putting Cup,Hair Dryer,Hamilton  Elec. Mixer,Horseman Swimming Toy,Hot Glue Gun 21,Humidifier,Krups Cheese Grater,Mattel Bubble Extinguisher,Mini Pro Hair Dryer,Moen Kitchen Water Faucet,Mr. Coffee Coffee Maker-RBS,Mr. Coffee Iced Tea Maker-RBS,OverRider Toy Car,Paint Sprayer,Pneumatic Air Ratchet,Portable Fan,Power Caulk 20,Presto Popcorn Popper,Presto Salad Shooter,Radio Controlled Truck,Real Power Tool Shop,Regal Ware Electric Knife,SKIL Power Screwdriver-RBS,Salon Series 795 Hair Dryer,Salton Sandwich Maker,Stamp Machine 17,Super Maxx Ball Shooter-RBS,Takka-1000 Pasta Machine,Tape Rewinder 22,Toy Solar Car,Upright Vacuum Cleaner,Wagner Paint Roller,West Bend Iced Tea Maker-RBS,West Bend Mixer,WestBend Food Processor,Wet/Dry Vacuum,bicycle brake 18
74 Chevy Tailgate Support-RBS,0.0,49.33533785675372,38.878098758450484,43.26523311236122,28.707827892540042,40.3001128644735,37.308310668249035,35.61418191361514,41.787675929132085,34.650034396327605,39.90136989834203,32.00018989664999,19.093184734493164,41.975151953975555,33.281896267426596,33.59462661480944,42.15127423016444,36.359399601650495,42.2888563023832,32.459985473798696,32.79303201910935,35.649930398375155,51.24063536525628,31.513156330231098,34.83422897555279,57.485658530474,36.224647334624464,36.99360985673025,48.09218354651526,48.57525546413882,36.33587470170827,37.38633684442507,41.21210148803583,30.17806458548279,45.78240520456598,49.27912999839166,36.67862825675952,38.82506925247962,37.84897546678805,39.845137423075954,41.342277186124136,40.00181637934573,37.843469878675926,36.724373025954115,30.466511248454722,42.94434265937687,39.39673573602712,40.677048402369394,49.91628126412728,37.39392124516989,43.14090069270344,45.78174775336825,35.86502827538794,37.24676467977702,37.888573767881454,36.23491903815743,46.639754440874626,40.65334739876045,33.7994093235619,45.17330081542786,34.272093490363076
Air Compressor 22,49.33533785675372,0.0,48.533622773397504,39.78083209364714,34.60743881460302,38.48762517949946,31.198325529711617,38.09081556604993,39.497252056649614,33.27266538618185,43.64778281144354,36.6152788390488,43.35769910264397,38.80849095084897,40.14915850876433,45.23319226277824,39.036793577422266,37.62977611785587,37.685772536744295,38.01047627442465,37.872001844342044,38.69726067646636,45.67713085375098,38.88932485453932,36.37916204678459,45.862725736506114,38.575859729469784,34.8167826546194,51.917997144011025,43.09698939521149,38.042171723340026,37.53058126330329,37.80886949860887,43.21129606236008,47.07423143543142,50.263583324215915,36.03429922870545,47.7070595777456,44.42985748282774,30.608143264767296,41.12652661640784,27.27602021261864,35.70469204881003,38.06482340189349,35.92490939335749,41.44727473461908,44.002637880928425,38.5278686913862,52.08229484253506,43.526267852621565,48.01788471501913,45.88818279694783,39.013857441469945,39.79751401089386,27.231268643009475,42.58535503410569,47.83951148763517,34.50327156767791,31.851947164972426,36.72865349460661,45.920115585709375
B&D Cordless Screwdriver,38.878098758450484,48.533622773397504,0.0,34.16770710415184,30.66129431381673,33.824434836478574,46.272952038835925,36.02062817801777,41.71143937579571,30.7205771946209,46.07650555433059,33.07417449519208,36.785929961447714,51.436153384096166,37.40113271874422,38.67222497843591,41.06733920141069,36.13677584735895,33.091186626210344,36.76972903739719,37.968180368527676,29.671356603347704,39.482056567525184,40.17170750059347,39.44904960159844,55.12923728122021,34.75209929779063,35.98924300264157,52.38560142229674,52.894323831858706,35.533758409831655,48.548641540315906,46.94693076161659,42.81216082259073,49.998097779482286,51.55362007359725,29.6731427063809,46.97435486514315,38.0621751781839,47.20759240335595,37.66011507989413,47.61304284344432,39.05441511697813,36.17304048378744,31.070029451733696,40.22286360454969,10.13825307234314,45.07619097099536,47.208956914344,41.37833523519827,51.23347355852199,43.7159036938387,41.18739856368115,40.371634330219614,41.88190336855126,39.67514548255739,51.00579891155535,38.07263517467231,38.54173585524174,46.10203756005707,45.86514199459106
B&D Elec. Polisher,43.26523311236122,39.78083209364714,34.16770710415184,0.0,29.336453885268334,33.51053664530604,36.640070052869184,20.11477150229181,20.524533795686185,22.182971135935123,44.00497140810686,39.64637926633715,39.53647509551985,39.09437396997229,33.152946886685044,30.299635733801598,23.37507644133975,19.745671386733058,36.01211064362796,24.075503259111144,34.00531405753812,36.2272047478217,39.96113906348704,35.384921899664526,29.693951128310978,45.49651633251333,27.75863891984454,36.350693914385474,45.59023891480274,45.9513937222952,30.888704381903665,45.42446687357632,35.41829040490617,40.87617916980814,43.32017269374376,44.25869336962354,31.605032825060857,45.50082836550496,39.966761654229494,36.367202600237526,39.05177154030267,41.019588825798614,27.692916109756272,31.843740654750146,30.14290911027191,31.8046676607125,32.53037252336122,36.52676341193517,36.315463309281554,39.51075344331256,44.360429242515906,34.07999759183996,34.35226597129108,39.343029826281565,31.401283474093077,36.40642092096377,44.26468343172464,27.725923611435995,27.82081133739313,42.85968185931661,39.031508905959164
B&D Weed Trimmer,28.707827892540042,34.60743881460302,30.66129431381673,29.336453885268334,0.0,29.01414669538086,26.06441339786994,23.90589131244636,23.475795099264957,25.097964297319223,32.727465018154504,24.890333639618365,26.5448813682253,30.46482309029092,25.20621607175753,26.206654411650096,24.86022432972315,23.859222281873116,27.193717249548737,16.395132636801588,19.49099174119997,26.234920963529525,37.799889156627344,24.316146167776292,27.75840204125688,51.34839593562999,20.484145449136513,28.73138747949048,38.02478719370416,39.98213865936507,17.869152494944423,27.90392175773423,36.06691643441905,24.7075078483497,31.884765952968117,34.639055007291105,25.781385719585874,34.871787949483604,30.110093171518034,30.027037163715406,28.27495947736671,26.4381223893717,19.087619612993773,21.038416521877128,17.082419940525977,29.71438964798263,28.122042124144496,34.81488667936759,38.52322264962661,24.88190404317605,37.110268709711605,31.665084650762026,25.7494281267289,29.504353518158464,22.308752045632293,25.545847926162104,32.435844674529854,25.447723627599455,16.531582069345113,26.996758462282624,29.54931252737922
Battery Op. Toothbrush,40.3001128644735,38.48762517949946,33.824434836478574,33.51053664530604,29.01414669538086,0.0,35.81591110113117,28.16961215647056,36.411399777844316,22.722678261812245,38.45997774423974,29.177176023741282,35.36269772063699,37.09450724449523,30.876031753342154,37.309962545307314,37.799718144134886,32.69664468998194,33.642727523211576,30.437597273060355,35.047860523785936,28.062382408468356,29.808160075162,32.338702523580565,35.741727353013886,45.97533530563318,27.27443566075814,28.510513988753015,50.82991161849245,43.33413969381685,30.25986641101758,38.10134271028454,36.90524878002492,31.419768451170825,45.68713370312167,46.89577740379964,22.224001489465316,39.675104304169935,37.26375575721244,36.12376722749817,34.92697456689186,39.673673055095946,35.26466291132926,30.56083730050463,28.596656362016805,30.752987833907852,33.97907156135033,34.48180703789442,49.68398526659452,39.367642741042296,46.69878934106265,32.86083565153628,34.509610494555304,32.04549220703461,30.278901662906645,29.92051479500722,46.04328570158054,26.64135846684756,32.39228812726565,40.14975865252669,45.63986263899671
Bissel Hand Vacuum,37.308310668249035,31.198325529711617,46.272952038835925,36.640070052869184,26.06441339786994,35.81591110113117,0.0,30.340555982232317,29.054441900357183,28.441452679310167,40.58895291171618,31.94414322803847,32.457531595833686,21.939425851468233,30.389482426458727,31.159337483279252,27.31628642920971,27.41976539344409,26.59105050476051,24.988379571304456,28.26929435118418,34.74884993734814,47.62218372279182,32.0499232826564,37.981180744502055,39.347687543965094,35.389274325888906,32.802555554011164,41.314828243351485,41.49114490326328,28.290831225874193,28.304029472888764,23.57428395651923,28.46392610278098,37.87419461372076,40.05651474203707,34.156512224210644,38.47366026011266,35.227930331875406,23.729761851752915,38.45416402244358,21.010358208332804,30.198340665986034,34.334838723273236,30.554796617992228,37.04469505085589,40.39068414480583,24.804241768439166,42.5306653788075,36.00047023731528,33.63256584864503,36.292488447447326,37.96655404545755,36.523825716784586,19.33973200707626,34.214239301452906,37.27772362360117,31.32543531860571,25.26834660777479,30.914248897694044,42.53096312154603
Black & Decker Elec. Knife,35.61418191361514,38.09081556604993,36.02062817801777,20.11477150229181,23.90589131244636,28.16961215647056,30.340555982232317,0.0,17.766350694522917,19.344562903883087,36.73270962181675,28.392099101261515,31.642234704592504,34.88257368564909,25.971838846966868,19.91989054820944,16.955129845035323,21.061400842080808,32.40967213863084,20.70848673935337,22.443218243263672,31.059013368098533,38.374897135339765,31.903400801015508,29.64026258981312,45.65120002271546,26.85325484845368,30.73122995889104,38.93809585317432,40.43632267928884,22.89490613092402,36.57522597412079,32.10689736337279,32.580303811850634,37.86455272824435,38.46879283252475,28.708380261708903,37.25304043788717,33.29853165486189,30.824701946063836,37.0663012474157,33.76190260343513,19.04478432397333,25.97790753397162,20.859548708868694,29.71991904605484,36.343048022992704,32.30772767336642,38.83893293066932,33.236045218120644,42.36219805360228,32.60188974194158,33.62497386721784,29.270742550727483,25.74227283523925,29.971838422697274,38.74771945803218,24.367174528494626,21.041190456224673,32.506931702931446,32.26685684118203
Black & Decker Sander,41.787675929132085,39.497252056649614,41.71143937579571,20.524533795686185,23.475795099264957,36.411399777844316,29.054441900357183,17.766350694522917,0.0,25.577618581768633,42.99412788794338,34.825676276505746,36.56216575404547,34.43506839206393,33.31893100742955,24.864315069805485,12.735499536720399,23.649014273478496,29.548576834097112,20.89976682515782,27.344071686239673,34.215552551970234,42.06693536735394,36.40051455950094,34.07916799621482,47.07618029121094,33.49110745684933,38.36509325309372,43.84370526096039,45.222188705841894,25.00829440482108,37.13053841335125,35.62322935424773,35.98168671418135,38.87811367347357,41.17037200417193,32.83593542574369,43.07732411051022,40.86848261912807,32.018597768143444,37.25575126353916,33.56232967842443,21.11227693615345,32.80406958143136,27.981657854333356,31.695199890155997,41.74761026923475,34.65393993057749,35.37898625294955,40.45510403722696,44.96331648918747,33.64862965128714,40.150585816412544,36.108095863691794,28.734904363076836,37.6145990056998,39.77410169332971,26.67515102461185,21.67993723115668,36.64400342091068,40.045265514556554
Braun Hand Blender,34.650034396327605,33.27266538618185,30.7205771946209,22.182971135935123,25.097964297319223,22.722678261812245,28.441452679310167,19.344562903883087,25.577618581768633,0.0,31.112191156502394,23.828275123377427,26.807843205210432,36.8587009583711,27.676200554099605,29.259501131266326,25.91533555688733,23.76947401595458,31.856797200620875,22.963649856860293,29.747394711194595,25.386260917548803,28.1878985368462,26.321899605045253,25.40752310629828,37.6942194684006,18.60052359434744,23.327694921004152,42.498945463137616,33.31201987028004,30.46319586597615,32.205392550660235,24.325917761639833,25.67346079707482,39.18417314307893,40.41594517076862,16.342752517321102,34.59189265300406,28.289841355887745,27.450053134243525,34.316910949485155,31.441945748879863,24.6453724329516,22.994044966852165,23.32444513809133,32.10517336576341,30.430609151248376,21.321868270579866,35.557589180297946,36.8961855245914,42.53348277047455,23.884527464118868,29.76912637618507,24.8776445597409,22.469393091882502,27.748264337547692,40.26997423555067,18.171208903799368,23.10364327619251,37.78916118765121,37.707796037265744
