,74 Chevy Tailgate Support-RBS,Air Compressor 22,B&D Cordless Screwdriver,B&D Elec. Polisher,B&D Weed Trimmer,Battery Op. Toothbrush,Bissel Hand Vacuum,Black & Decker Elec. Knife,Black & Decker Sander,Braun Hand Blender,Bubble Machine,Bumble Ball Toy,Cadillac Slide-Out Visor-RBS,Chainsaw Toy Truck 18,Corvette Vac 23,Crossfire Game,Dazey Fruit & Veg. Stripper-RBS,De walt sander,Dremel Electric Engraver-RBS,Drill and Nail Extractor  11,Durabuilt Hand Vacuum,Electric Can Opener,Electric Pencil Sharpener,Ertl Bumble Ball,F.Price Remote Control Car,Fisher Price Bubble Mower,Good Times Fishing Reel,Green Eagle Putting Cup,Hair Dryer,Hamilton  Elec. Mixer,Horseman Swimming Toy,Hot Glue Gun 21,Humidifier,KRUPS Café Trio,Krups Cheese Grater,Mattel Bubble Extinguisher,Metronome,Mini Pro Hair Dryer,Moen Kitchen Water Faucet,Mr. Coffee Coffee Maker-RBS,Mr. Coffee Iced Tea Maker-RBS,OverRider Toy Car,Paint Sprayer,Pneumatic Air Ratchet,Portable Fan,Power Caulk 20,Presto Popcorn Popper,Presto Salad Shooter,Push-n-Go Train 13,Radio Controlled Truck,Real Power Tool Shop,Regal Ware Electric Knife,SKIL Power Screwdriver-RBS,Salon Series 795 Hair Dryer,Salton Sandwich Maker,Small Projectile Toy,Stamp Machine 17,Stanley Electric Stapler,Super Maxx Ball Shooter-RBS,Tactical Nerf Toy Gun,Takka-1000 Pasta Machine,Tape Rewinder 22,Toy Solar Car,Upright Vacuum Cleaner,Wagner Paint Roller,West Bend Iced Tea Maker-RBS,West Bend Mixer,WestBend Food Processor,Wet/Dry Vacuum,bicycle brake 18
74 Chevy Tailgate Support-RBS,0.0,30.0,19.0,23.0,17.0,22.0,21.0,21.0,25.0,20.0,22.0,18.0,9.0,20.0,27.0,19.0,22.0,27.0,20.0,18.0,25.0,19.0,22.0,20.0,27.0,19.0,21.0,22.0,32.0,22.0,22.0,29.0,29.0,31.0,21.0,25.0,18.0,24.0,18.0,34.0,34.0,21.0,27.0,22.0,26.0,25.0,24.0,24.0,16.0,22.0,19.0,24.0,19.0,22.0,28.0,16.0,24.0,20.0,26.0,23.0,26.0,21.0,23.0,22.0,24.0,35.0,27.0,22.0,27.0,24.0
Air Compressor 22,30.0,0.0,27.0,19.0,19.0,22.0,17.0,19.0,19.0,18.0,22.0,22.0,27.0,20.0,23.0,23.0,26.0,19.0,20.0,22.0,21.0,21.0,22.0,24.0,23.0,23.0,27.0,20.0,20.0,20.0,20.0,31.0,23.0,27.0,23.0,23.0,26.0,20.0,28.0,28.0,30.0,21.0,29.0,28.0,18.0,23.0,14.0,18.0,26.0,20.0,21.0,20.0,25.0,20.0,26.0,22.0,28.0,20.0,26.0,27.0,24.0,23.0,23.0,14.0,26.0,29.0,19.0,18.0,19.0,26.0
B&D Cordless Screwdriver,19.0,27.0,0.0,16.0,14.0,15.0,24.0,18.0,22.0,15.0,25.0,19.0,20.0,23.0,30.0,20.0,21.0,22.0,17.0,25.0,18.0,18.0,21.0,15.0,20.0,24.0,22.0,25.0,27.0,17.0,21.0,32.0,30.0,32.0,16.0,32.0,19.0,25.0,25.0,31.0,31.0,16.0,30.0,23.0,27.0,22.0,27.0,19.0,19.0,17.0,16.0,19.0,4.0,23.0,27.0,19.0,27.0,19.0,31.0,28.0,21.0,24.0,24.0,23.0,25.0,32.0,22.0,21.0,26.0,29.0
B&D Elec. Polisher,23.0,19.0,16.0,0.0,14.0,15.0,20.0,10.0,14.0,11.0,23.0,23.0,22.0,19.0,22.0,18.0,17.0,12.0,9.0,19.0,18.0,12.0,17.0,21.0,22.0,22.0,20.0,15.0,23.0,11.0,21.0,24.0,24.0,24.0,14.0,28.0,23.0,19.0,23.0,25.0,25.0,16.0,28.0,25.0,19.0,20.0,21.0,13.0,19.0,15.0,14.0,13.0,16.0,19.0,17.0,17.0,23.0,15.0,23.0,22.0,15.0,18.0,22.0,15.0,23.0,26.0,14.0,13.0,24.0,21.0
B&D Weed Trimmer,17.0,19.0,14.0,14.0,0.0,15.0,16.0,14.0,14.0,15.0,19.0,17.0,18.0,17.0,20.0,16.0,15.0,16.0,13.0,13.0,16.0,10.0,13.0,17.0,18.0,16.0,16.0,17.0,27.0,11.0,17.0,24.0,24.0,22.0,10.0,22.0,19.0,21.0,19.0,23.0,25.0,16.0,24.0,21.0,21.0,16.0,15.0,11.0,17.0,13.0,10.0,15.0,12.0,21.0,19.0,13.0,19.0,11.0,23.0,18.0,17.0,14.0,20.0,13.0,17.0,24.0,16.0,11.0,16.0,21.0
Battery Op. Toothbrush,22.0,22.0,15.0,15.0,15.0,0.0,21.0,13.0,19.0,12.0,20.0,18.0,21.0,20.0,23.0,15.0,20.0,21.0,18.0,24.0,19.0,15.0,18.0,18.0,13.0,19.0,19.0,20.0,22.0,14.0,16.0,31.0,25.0,29.0,13.0,25.0,18.0,20.0,20.0,30.0,30.0,13.0,23.0,22.0,20.0,21.0,22.0,18.0,20.0,18.0,17.0,12.0,15.0,18.0,26.0,14.0,26.0,16.0,30.0,27.0,16.0,21.0,19.0,16.0,18.0,31.0,13.0,18.0,23.0,30.0
Bissel Hand Vacuum,21.0,17.0,24.0,20.0,16.0,21.0,0.0,18.0,16.0,17.0,21.0,19.0,18.0,21.0,14.0,16.0,17.0,14.0,17.0,15.0,14.0,16.0,17.0,21.0,24.0,20.0,22.0,21.0,19.0,21.0,17.0,24.0,22.0,20.0,16.0,18.0,21.0,13.0,17.0,23.0,25.0,20.0,24.0,21.0,13.0,20.0,11.0,19.0,19.0,21.0,18.0,21.0,20.0,15.0,19.0,17.0,23.0,17.0,17.0,22.0,21.0,22.0,22.0,9.0,21.0,22.0,18.0,15.0,16.0,27.0
Black & Decker Elec. Knife,21.0,19.0,18.0,10.0,14.0,13.0,18.0,0.0,10.0,11.0,19.0,17.0,20.0,19.0,22.0,14.0,11.0,10.0,11.0,19.0,18.0,10.0,13.0,19.0,18.0,20.0,14.0,17.0,21.0,13.0,17.0,22.0,24.0,24.0,12.0,24.0,21.0,15.0,21.0,27.0,27.0,18.0,24.0,23.0,17.0,20.0,19.0,11.0,19.0,13.0,12.0,13.0,18.0,17.0,21.0,15.0,23.0,13.0,25.0,22.0,17.0,20.0,18.0,13.0,19.0,28.0,16.0,11.0,18.0,21.0
Black & Decker Sander,25.0,19.0,22.0,14.0,14.0,19.0,16.0,10.0,0.0,17.0,23.0,21.0,22.0,23.0,22.0,20.0,15.0,6.0,13.0,19.0,16.0,14.0,15.0,21.0,20.0,22.0,22.0,21.0,23.0,19.0,23.0,26.0,26.0,22.0,14.0,22.0,25.0,19.0,23.0,25.0,27.0,20.0,26.0,29.0,19.0,20.0,17.0,13.0,25.0,19.0,16.0,15.0,24.0,19.0,19.0,19.0,27.0,15.0,25.0,22.0,19.0,24.0,22.0,15.0,23.0,26.0,18.0,13.0,22.0,25.0
Braun Hand Blender,20.0,18.0,15.0,11.0,15.0,12.0,17.0,11.0,17.0,0.0,18.0,16.0,17.0,20.0,23.0,17.0,18.0,17.0,14.0,20.0,19.0,13.0,18.0,18.0,13.0,17.0,19.0,14.0,16.0,8.0,14.0,25.0,19.0,25.0,17.0,23.0,16.0,12.0,16.0,26.0,26.0,9.0,21.0,20.0,16.0,21.0,18.0,14.0,14.0,12.0,15.0,16.0,15.0,12.0,20.0,14.0,28.0,16.0,26.0,27.0,12.0,17.0,17.0,12.0,18.0,27.0,11.0,14.0,23.0,26.0
