Flow,De walt sander,Real Power Tool Shop,Pneumatic Air Ratchet,Presto Popcorn Popper,Salton Sandwich Maker,Krups Cheese Grater,Dazey Fruit & Veg. Stripper-RBS,Super Maxx Ball Shooter-RBS,Salon Series 795 Hair Dryer,Presto Salad Shooter,Toy Solar Car,Hair Dryer,Wet/Dry Vacuum,74 Chevy Tailgate Support-RBS,Cadillac Slide-Out Visor-RBS,SKIL Power Screwdriver-RBS,Durabuilt Hand Vacuum,B&D Weed Trimmer,Wagner Paint Roller,Hamilton  Elec. Mixer,OverRider Toy Car,Horseman Swimming Toy,Mattel Bubble Extinguisher,Regal Ware Electric Knife,Bumble Ball Toy,B&D Cordless Screwdriver,Takka-1000 Pasta Machine,Upright Vacuum Cleaner,WestBend Food Processor,Black & Decker Sander,West Bend Mixer,Green Eagle Putting Cup,F.Price Remote Control Car,Ertl Bumble Ball,Fisher Price Bubble Mower,Electric Can Opener,Portable Fan,Bubble Machine,B&D Elec. Polisher,Crossfire Game,Black & Decker Elec. Knife,Dremel Electric Engraver-RBS,Moen Kitchen Water Faucet,Battery Op. Toothbrush,Humidifier,Electric Pencil Sharpener,Mini Pro Hair Dryer,West Bend Iced Tea Maker-RBS,Mr. Coffee Iced Tea Maker-RBS,Mr. Coffee Coffee Maker-RBS,Radio Controlled Truck,Braun Hand Blender,Paint Sprayer,Bissel Hand Vacuum,Air Compressor 22,Corvette Vac 23,Power Caulk 20,Stamp Machine 17,bicycle brake 18,Tape Rewinder 22,Hot Glue Gun 21
De walt sander,0.0,0.782608695652174,0.8787878787878788,0.68,0.6551724137931034,0.56,0.5555555555555556,0.7666666666666667,0.6785714285714286,0.52,0.896551724137931,0.696969696969697,0.6896551724137931,0.9,0.8888888888888888,0.7333333333333333,0.46153846153846156,0.6666666666666666,0.8333333333333334,0.7307692307692307,0.8148148148148148,0.8620689655172413,0.8275862068965517,0.6071428571428571,0.8928571428571429,0.7096774193548387,0.6296296296296297,0.6521739130434783,0.5909090909090909,0.2727272727272727,0.6666666666666666,0.7307692307692307,0.7741935483870968,0.7777777777777778,0.8888888888888888,0.6153846153846154,0.7037037037037037,0.8620689655172413,0.48,0.72,0.43478260869565216,0.625,0.9259259259259259,0.7,0.75,0.6296296296296297,0.6785714285714286,0.6666666666666666,0.696969696969697,0.65625,0.7307692307692307,0.68,0.8484848484848485,0.5833333333333334,0.6551724137931034,0.6666666666666666,0.7407407407407407,0.7931034482758621,0.9,0.8666666666666667,0.75
Real Power Tool Shop,0.782608695652174,0.0,0.9130434782608695,0.8947368421052632,0.875,0.6666666666666666,0.7142857142857143,0.9583333333333334,0.9130434782608695,0.6842105263157895,0.8235294117647058,0.8518518518518519,0.8695652173913043,0.95,1.0,0.7,0.8333333333333334,0.6666666666666666,0.9047619047619048,0.7647058823529411,0.8235294117647058,0.7647058823529411,1.0,0.7727272727272727,0.8125,0.7272727272727273,0.8095238095238095,0.8125,0.7333333333333333,0.7619047619047619,0.8571428571428571,0.95,0.8181818181818182,0.7647058823529411,0.9411764705882353,0.8,0.85,0.8947368421052632,0.7,0.8235294117647058,0.6666666666666666,0.7647058823529411,1.0,0.7727272727272727,0.9230769230769231,0.75,0.8636363636363636,0.896551724137931,0.8928571428571429,0.8928571428571429,0.8333333333333334,0.8333333333333334,0.96,0.9,0.875,0.88,0.8421052631578947,0.9047619047619048,0.8333333333333334,0.8421052631578947,0.9230769230769231
Pneumatic Air Ratchet,0.8787878787878788,0.9130434782608695,0.0,0.8461538461538461,0.9411764705882353,0.9,0.8387096774193549,0.7857142857142857,0.7407407407407407,0.8275862068965517,0.84,0.7878787878787878,0.8333333333333334,0.8461538461538461,0.92,0.75,0.84375,0.84,0.8571428571428571,0.75,0.8846153846153846,0.8461538461538461,0.8928571428571429,0.8,0.782608695652174,0.7666666666666667,0.8275862068965517,0.8333333333333334,0.88,0.90625,0.7777777777777778,0.9285714285714286,0.75,0.8461538461538461,0.7727272727272727,0.8620689655172413,0.8148148148148148,0.8,0.8333333333333334,0.84,0.8214285714285714,0.9285714285714286,0.9166666666666666,0.7586206896551724,0.9428571428571428,0.8666666666666667,0.7857142857142857,0.9210526315789473,0.918918918918919,0.918918918918919,0.8461538461538461,0.8,0.8709677419354839,0.8076923076923077,0.875,0.9428571428571428,0.9310344827586207,0.9333333333333333,0.9655172413793104,0.8928571428571429,0.9428571428571428
Presto Popcorn Popper,0.68,0.8947368421052632,0.8461538461538461,0.0,0.6666666666666666,0.7916666666666666,0.7692307692307693,0.8,0.6363636363636364,0.6956521739130435,0.8636363636363636,0.6666666666666666,0.7083333333333334,0.96,0.9545454545454546,0.8518518518518519,0.7307692307692307,0.75,0.88,0.8181818181818182,0.9130434782608695,0.8181818181818182,0.7727272727272727,0.7692307692307693,0.9090909090909091,0.9,0.75,0.5882352941176471,0.8,0.7083333333333334,0.6818181818181818,0.8181818181818182,0.8518518518518519,0.9166666666666666,0.85,0.7916666666666666,0.8333333333333334,0.8181818181818182,0.8076923076923077,0.75,0.7916666666666666,0.8181818181818182,0.9523809523809523,0.8148148148148148,0.7307692307692307,0.75,0.6363636363636364,0.7666666666666667,0.8,0.7586206896551724,0.8695652173913043,0.8181818181818182,0.8518518518518519,0.5789473684210527,0.6086956521739131,0.7777777777777778,0.8260869565217391,0.9230769230769231,0.96,0.875,0.7307692307692307
Salton Sandwich Maker,0.6551724137931034,0.875,0.9411764705882353,0.6666666666666666,0.0,0.6538461538461539,0.6428571428571429,0.8,0.6666666666666666,0.6666666666666666,0.8518518518518519,0.7272727272727273,0.7666666666666667,0.9333333333333333,0.8846153846153846,0.7666666666666667,0.7419354838709677,0.76,0.8666666666666667,0.72,0.8076923076923077,0.896551724137931,0.9354838709677419,0.7333333333333333,0.8888888888888888,0.8181818181818182,0.7586206896551724,0.75,0.75,0.6785714285714286,0.75,0.72,0.8787878787878788,0.896551724137931,0.9259259259259259,0.6,0.8666666666666667,0.967741935483871,0.6296296296296297,0.8076923076923077,0.75,0.6086956521739131,0.9230769230769231,0.8125,0.7,0.56,0.7142857142857143,0.65625,0.6875,0.6451612903225806,0.7692307692307693,0.7692307692307693,0.9117647058823529,0.7307692307692307,0.8125,0.7419354838709677,0.7307692307692307,0.8666666666666667,0.8148148148148148,0.8620689655172413,0.6071428571428571
Krups Cheese Grater,0.56,0.6666666666666666,0.9,0.7916666666666666,0.6538461538461539,0.0,0.5416666666666666,0.8214285714285714,0.8214285714285714,0.5,0.8333333333333334,0.8529411764705882,0.6923076923076923,0.84,0.8695652173913043,0.5217391304347826,0.6153846153846154,0.5263157894736842,0.8518518518518519,0.6818181818181818,0.7272727272727273,0.84,0.8888888888888888,0.6,0.8260869565217391,0.6153846153846154,0.7307692307692307,0.7142857142857143,0.5789473684210527,0.5833333333333334,0.6666666666666666,0.84,0.7857142857142857,0.84,0.96,0.47619047619047616,0.8518518518518519,0.8846153846153846,0.5833333333333334,0.6,0.5454545454545454,0.6818181818181818,0.9130434782608695,0.5416666666666666,0.8387096774193549,0.42857142857142855,0.8214285714285714,0.7878787878787878,0.8181818181818182,0.78125,0.7391304347826086,0.7391304347826086,0.9375,0.6956521739130435,0.7931034482758621,0.6666666666666666,0.6956521739130435,0.8076923076923077,0.8846153846153846,0.8,0.8
Dazey Fruit & Veg. Stripper-RBS,0.5555555555555556,0.7142857142857143,0.8387096774193549,0.7692307692307693,0.6428571428571429,0.5416666666666666,0.0,0.875,0.7142857142857143,0.56,0.8518518518518519,0.7647058823529411,0.7666666666666667,0.8148148148148148,0.84,0.6785714285714286,0.7,0.6521739130434783,0.8275862068965517,0.72,0.8076923076923077,0.8148148148148148,0.9,0.5925925925925926,0.8,0.7,0.7142857142857143,0.75,0.6363636363636364,0.5769230769230769,0.75,0.8148148148148148,0.84375,0.8148148148148148,0.8846153846153846,0.4782608695652174,0.8275862068965517,0.8571428571428571,0.6296296296296297,0.7083333333333334,0.4782608695652174,0.6086956521739131,0.9230769230769231,0.6896551724137931,0.8529411764705882,0.56,0.7142857142857143,0.7714285714285715,0.7647058823529411,0.7647058823529411,0.72,0.72,0.8787878787878788,0.68,0.8125,0.7419354838709677,0.7307692307692307,0.8275862068965517,0.8148148148148148,0.8214285714285714,0.78125
Super Maxx Ball Shooter-RBS,0.7666666666666667,0.9583333333333334,0.7857142857142857,0.8,0.8,0.8214285714285714,0.875,0.0,0.8666666666666667,0.8666666666666667,1.0,0.8888888888888888,0.8709677419354839,0.9285714285714286,0.92,0.8709677419354839,0.7666666666666667,0.8846153846153846,0.896551724137931,0.8461538461538461,1.0,0.9285714285714286,0.8518518518518519,0.875,1.0,0.9117647058823529,0.9032258064516129,0.8333333333333334,0.88,0.8333333333333334,0.9,0.9285714285714286,0.9393939393939394,1.0,0.92,0.8214285714285714,0.896551724137931,0.8888888888888888,0.7931034482758621,0.7916666666666666,0.8620689655172413,0.8,0.8695652173913043,0.9090909090909091,0.9117647058823529,0.8666666666666667,0.8666666666666667,0.7941176470588235,0.8235294117647058,0.8235294117647058,0.8888888888888888,0.9285714285714286,0.9393939393939394,0.7083333333333334,0.8387096774193549,0.8064516129032258,0.8076923076923077,0.8148148148148148,0.8461538461538461,0.8076923076923077,0.8064516129032258
Salon Series 795 Hair Dryer,0.6785714285714286,0.9130434782608695,0.7407407407407407,0.6363636363636364,0.6666666666666666,0.8214285714285714,0.7142857142857143,0.8666666666666667,0.0,0.7857142857142857,0.8846153846153846,0.4,0.7931034482758621,0.8461538461538461,0.875,0.75,0.7241379310344828,0.84,0.8148148148148148,0.6956521739130435,0.7916666666666666,0.8,0.8076923076923077,0.7586206896551724,0.782608695652174,0.7666666666666667,0.7407407407407407,0.7272727272727273,0.8333333333333334,0.7037037037037037,0.7307692307692307,0.8,0.7037037037037037,0.75,0.875,0.7307692307692307,0.72,0.8461538461538461,0.7037037037037037,0.8846153846153846,0.68,0.8,0.8695652173913043,0.6666666666666666,0.6296296296296297,0.8275862068965517,0.3,0.7941176470588235,0.7878787878787878,0.7878787878787878,0.8,0.5714285714285714,0.7931034482758621,0.6521739130434783,0.7142857142857143,0.8064516129032258,0.8518518518518519,1.0,1.0,0.8928571428571429,0.8064516129032258
Presto Salad Shooter,0.52,0.6842105263157895,0.8275862068965517,0.6956521739130435,0.6666666666666666,0.5,0.56,0.8666666666666667,0.7857142857142857,0.0,0.7916666666666666,0.8235294117647058,0.7037037037037037,0.8888888888888888,0.92,0.6538461538461539,0.6785714285714286,0.55,0.8148148148148148,0.5714285714285714,0.7916666666666666,0.75,0.8928571428571429,0.56,0.782608695652174,0.6785714285714286,0.5833333333333334,0.6,0.5263157894736842,0.5416666666666666,0.625,0.8,0.75,0.8,0.875,0.5,0.7692307692307693,0.8,0.5416666666666666,0.7391304347826086,0.5,0.6956521739130435,0.96,0.6666666666666666,0.7241379310344828,0.45454545454545453,0.7857142857142857,0.71875,0.7096774193548387,0.7096774193548387,0.6956521739130435,0.6363636363636364,0.8333333333333334,0.76,0.6666666666666666,0.7241379310344828,0.8518518518518519,0.8571428571428571,0.8461538461538461,0.7083333333333334,0.8064516129032258
