,74 Chevy Tailgate Support-RBS,Air Compressor 22,B&D Cordless Screwdriver,B&D Elec. Polisher,B&D Weed Trimmer,Battery Op. Toothbrush,Bissel Hand Vacuum,Black & Decker Elec. Knife,Black & Decker Sander,Braun Hand Blender,Bubble Machine,Bumble Ball Toy,Cadillac Slide-Out Visor-RBS,Corvette Vac 23,Crossfire Game,Dazey Fruit & Veg. Stripper-RBS,De walt sander,Dremel Electric Engraver-RBS,Durabuilt Hand Vacuum,Electric Can Opener,Electric Pencil Sharpener,Ertl Bumble Ball,F.Price Remote Control Car,Fisher Price Bubble Mower,Green Eagle Putting Cup,Hair Dryer,Hamilton  Elec. Mixer,Horseman Swimming Toy,Hot Glue Gun 21,Humidifier,Krups Cheese Grater,Mattel Bubble Extinguisher,Mini Pro Hair Dryer,Moen Kitchen Water Faucet,Mr. Coffee Coffee Maker-RBS,Mr. Coffee Iced Tea Maker-RBS,OverRider Toy Car,Paint Sprayer,Pneumatic Air Ratchet,Portable Fan,Power Caulk 20,Presto Popcorn Popper,Presto Salad Shooter,Radio Controlled Truck,Real Power Tool Shop,Regal Ware Electric Knife,SKIL Power Screwdriver-RBS,Salon Series 795 Hair Dryer,Salton Sandwich Maker,Stamp Machine 17,Super Maxx Ball Shooter-RBS,Takka-1000 Pasta Machine,Tape Rewinder 22,Toy Solar Car,Upright Vacuum Cleaner,Wagner Paint Roller,West Bend Iced Tea Maker-RBS,West Bend Mixer,WestBend Food Processor,Wet/Dry Vacuum,bicycle brake 18
74 Chevy Tailgate Support-RBS,0.0,3.5398897946715584,3.6324496446590953,2.8502387617227405,1.801183065792454,3.1076689385709413,1.0720610853265848,2.508393856825004,2.6921716569084646,1.5081175922247672,1.855888631122549,1.7909854032816481,2.8217437520907245,3.8547640415161135,1.4376614088886326,3.790316685267156,3.983191289573062,1.0847036413078726,3.368084029417429,1.9369918684543612,3.2523632891586423,1.4775148787690575,2.818005275649667,2.8376937420591672,1.3812544275191019,4.8523674842341356,2.40825741158987,0.9896470689531183,3.8225850702968915,3.722102140267988,3.5083429477397563,2.2720851456355042,2.248144210444014,2.72665551173485,5.447781084409599,4.933519650684989,1.4318645319039855,3.0378961975425027,2.786092671943419,2.226246599228113,1.4107075731282401,1.0032577591676042,2.8113445401729926,2.103677831758748,3.476314756742785,3.2751102939858145,2.8770845972195684,2.487441543199373,3.585525936701766,3.327533345107839,2.256532086491243,2.4224765355975237,1.5426409243428183,2.155758791408095,2.0143453644829874,1.4263802930612564,5.831087153590565,2.14432634062018,2.315093163452361,2.9287359785407845,2.5289222813232732
Air Compressor 22,3.5398897946715584,0.0,2.6760880101907745,2.7667524091840807,4.322190406392758,1.4576386287824625,2.8062596429114834,3.3538786856556273,1.6266843753634568,3.757313749693085,3.33822995642857,4.409246126722204,4.69587229730044,2.0521251284886657,4.276491057414036,3.5714125282749034,3.2930941932560818,3.5049720481967537,1.4798882464555625,2.512589167245284,3.725635083199225,3.279199076014201,1.2227243852819674,4.780573109845936,3.6426113415681254,2.3532407302757945,3.4291434769083473,3.322589940712298,1.4797263575701292,1.5098119319694523,4.721870202623764,3.1872052384197076,1.6857140382930966,5.36052419448908,4.2235316155316385,3.2058676272925655,3.87006632895596,2.133105235171386,2.8599467565687,2.8435286841569516,3.5411941547991814,3.323868445916861,2.661256724864348,3.379827691654417,6.2167889563359635,1.2721285713315764,2.6895058635858877,1.3548510292177984,2.8597229161251376,4.807384849782594,1.8211425100560206,1.743868447137293,2.7210198279834668,3.8708031156349496,4.10803351682496,2.6036328441488417,4.314158909036799,2.220373690801409,4.534598853557219,1.8533939104542103,5.092741661621638
B&D Cordless Screwdriver,3.6324496446590953,2.6760880101907745,0.0,1.7102815664939242,4.586174557389194,1.7802444949287108,3.374477380702694,2.9178370636110347,2.0097305488106865,3.9723916731351308,4.459326774904422,4.916733780665486,5.580394339956879,2.824292523450401,4.351678069713227,2.3640453366755865,2.3622115204995473,3.8097375759036476,1.852785675792118,2.5708929709252057,3.2189305771434777,4.1174156259702634,2.287236439237269,5.732084939529853,3.7972972790207766,2.795269318718264,4.671776172515756,3.7682325659935865,2.3105913266411204,2.6782090095455615,3.870450716095788,4.24293002119268,2.378621462231149,5.730871147429397,3.4237212748626296,2.6848005053003114,4.469057184402351,2.3519114813083593,3.2747605842270238,4.023890050315194,3.453648083514589,3.6851978081581365,2.6042722116236696,4.514504863145645,6.518925914950322,2.09444593966952,1.894798540959816,2.6653299825848498,1.610682211435892,4.413737035081949,2.368975619156722,2.724107070491854,3.691847473042904,4.852366311725306,4.933552999487807,3.134354082250753,3.6119497940989564,2.937469161950729,5.274890507560184,2.712834022145477,4.548619758595063
B&D Elec. Polisher,2.8502387617227405,2.7667524091840807,1.7102815664939242,0.0,3.701055040626128,1.8582818305374544,2.7315174873088854,1.667981583654143,1.6683574812622395,3.1462857645422004,3.966848150815607,4.211122093511645,5.115393038767871,2.759700468729695,3.4165186925047677,2.034730849310049,2.2514047923021834,2.8911659562607537,1.9472824962850361,1.8167449632691546,2.3513174043610334,3.5849032521368267,2.1579137436794134,5.202915031501651,3.145675358098549,3.3095976723931857,4.326251816404774,3.1326008457375973,2.4378411067920305,2.9776417051446145,2.9273194795927373,3.5745041587876276,1.8639083960750764,4.921964027113945,3.3757297144560923,3.0137414827973537,3.828672825279013,1.922573915494286,2.6377954713938796,3.4744568310167163,2.4372804876990446,3.021540567752376,2.061403340226097,4.11170775172809,5.788094575374872,2.1319204115583683,1.3040078212997555,2.3226695541071316,1.5391557132312013,3.561483554588588,1.9253113930527268,2.1949406595362984,3.1738922242225924,4.3037766887992195,4.412033975348021,2.3170469695337936,3.663583273294539,2.2524515373987892,4.577667321497601,2.4836497888869262,3.5236613645026833
B&D Weed Trimmer,1.801183065792454,4.322190406392758,4.586174557389194,3.701055040626128,0.0,4.0580446562314965,2.0823744984485995,2.666108672708926,3.42863932965728,1.036694979541364,2.2474091614162472,1.4811484166685502,2.808759548024548,4.097949738069116,0.8736474388793711,4.160372632175442,4.410654434147035,1.3545751522357667,4.201947768986115,2.4719077709145814,3.3459408534651893,1.8701088769635867,3.869400934317789,2.9632976534664888,1.646116910148181,5.537542284066254,2.838106670437416,1.5449966501312593,4.60954980116977,4.273420514988336,3.4282157026179028,2.009011424859709,3.064106291950954,2.1998801411898508,5.6684716144110565,5.482590259977614,1.5989256578121236,3.635701349835366,2.8610925578713817,2.3546697632343325,2.1265324226019744,1.6083695384198478,2.9689721081583897,2.5668011553394643,2.9951842121132444,4.19234894343345,3.6621208919367874,3.2994036609374757,4.483682445069641,3.281006212831991,3.1594443358713225,3.1108412262497764,2.0991517750925053,2.154231214158526,2.304580976165403,2.023675554295565,6.056010332192434,2.4606727637629424,2.271038640581968,3.6091571330427192,2.3763530634012073
Battery Op. Toothbrush,3.1076689385709413,1.4576386287824625,1.7802444949287108,1.8582818305374544,4.0580446562314965,0.0,2.72282362537543,2.7999469282005878,1.3209722990447517,3.530681263971809,3.4642601831510493,4.279003365915012,4.858157855305008,2.2726076468861627,3.9073318430838166,2.9696595288207295,2.8354092728322176,3.1994183840281307,0.9672797286076726,2.191752140538541,3.409543541196136,3.3757388231296526,1.3185195075825487,4.936528318278495,3.45767978383605,2.393290349116375,3.5988874295190394,3.2054835446537497,1.953080478976563,1.7446447042037485,4.149010268703371,3.4710894148634734,1.470436128309034,5.207724741233621,3.922935920674396,3.1173624026656976,3.8208488027171406,2.203835486693326,2.751316788905261,2.9912911843809766,2.8284969251038694,3.1705117035584958,2.536439477018478,3.4877825771250133,6.000562186345658,1.2661943918974443,1.7815798419014042,1.5885120983218546,2.190437201566615,4.522683787641681,1.5633195239672082,1.8111028974290948,2.8237961772442786,4.051492468067738,4.1826091481277645,2.4449096729216206,4.11057624872596,2.182123932946426,4.6014004301179225,2.0474445073001837,4.476827056103721
Bissel Hand Vacuum,1.0720610853265848,2.8062596429114834,3.374477380702694,2.7315174873088854,2.0823744984485995,2.72282362537543,0.0,2.492671463004167,2.1804096432867297,1.6642058482337447,1.6499263953246357,2.1369498655893495,2.716508103638931,3.271339099564606,1.9098874284768763,3.5691360876598197,3.687192879040075,1.342855256888733,2.905204546023469,1.5029590902216676,3.0623520045882486,1.1736308128744213,2.192261786456952,2.8586115943274364,1.251329660718232,4.321698177155679,2.2262078612978424,0.8870878758006597,3.12978148014346,3.162191171535859,3.672380310906844,1.7489519624379184,1.7075533987985358,3.042019034442589,5.079177226885914,4.400718905997783,1.5600108288749457,2.3882524631357307,2.4341207867013055,1.9101380431134911,1.892525904465965,0.9206762107405774,2.324911558738334,1.9552087116570127,3.9541910681215144,2.638977828788777,2.695045410830571,1.7893040131574507,3.232748472543607,3.309930504950135,1.702156984193432,1.8649943150383677,0.8679467774750739,1.947301041923864,2.018274299115219,0.9700221444438716,5.390853213206385,1.593434437207737,2.44727488351424,2.2701640948936137,3.064292582284462
Black & Decker Elec. Knife,2.508393856825004,3.3538786856556273,2.9178370636110347,1.667981583654143,2.666108672708926,2.7999469282005878,2.492671463004167,0.0,2.0388547685187994,2.0840741434991688,3.5672566519864244,3.5250610288704403,4.571414754405562,2.9614374770196417,2.4019970674899747,2.122449075729989,2.5162654210093076,2.1202095429007985,2.8293852153617447,1.5732253904376257,1.8325733838257054,3.0628300924850187,2.8189712715606663,4.75915335588685,2.4883437770594186,4.193460001169068,4.056790602060992,2.5850782438612137,3.117218004370248,3.5326699150284075,2.3921770475020887,2.801851177481766,2.1860290146945403,4.052033375393529,3.636144365175317,3.6926043455746598,3.299843182490974,2.0448455664660075,2.1947767076153446,3.0817183498564615,2.1547831304954967,2.428499218556785,1.7181312221657457,3.821862131973256,5.0289378048748175,2.8826792201626663,2.134217394594022,2.4833089853231374,2.616672254654388,3.039515251120134,2.326577726207368,2.3481628000988346,2.8728394815845144,3.705069811393792,3.9078581746814978,1.9624572487152816,4.025037653173507,1.8530570858317155,4.015859828230941,2.7967020322372145,2.870471498785273
Black & Decker Sander,2.6921716569084646,1.6266843753634568,2.0097305488106865,1.6683574812622395,3.42863932965728,1.3209722990447517,2.1804096432867297,2.0388547685187994,0.0,2.804114307100782,3.0578217388006155,3.8400818654762734,4.404955780733617,1.9746473540264713,3.252250163036317,2.282184175172123,2.0850434859007034,2.694610573971199,1.3044991967901869,1.4436998654347495,2.4334022270764466,2.7871252104522415,1.1330107289681652,4.557077778940538,2.770502251084436,2.802263595054998,3.3788367859349178,2.6825065628563185,1.753399184199774,2.1371123271343215,3.4265669432931087,2.575957149598091,0.8646751857540982,4.616525970720794,3.527717115800498,2.7761867595234935,3.341794728387393,1.2543064040473082,1.9674767684721741,2.5924998730231725,2.6628967803630217,2.62650032889984,1.6431387763846033,3.201227782254778,5.453337908722232,1.2902598725930363,1.6877517511566655,1.0592165701048701,2.23282366265477,3.621940344723751,1.3439504323705067,1.2715494193942476,2.3091469631663744,3.408173211834542,3.70534292989394,1.703057734331437,3.7523028245380687,1.3248940904211912,4.086511040958522,1.5045096221213632,3.8605435018749223
Braun Hand Blender,1.5081175922247672,3.757313749693085,3.9723916731351308,3.1462857645422004,1.036694979541364,3.530681263971809,1.6642058482337447,2.0840741434991688,2.804114307100782,0.0,2.1809476598962045,1.870469827855462,2.997345432630901,3.6049147770316763,1.0674608457931882,3.6433176197977315,3.861181385539435,0.9563772573126587,3.661185341293318,1.9342587500579,2.9515870467470413,1.5537993093916447,3.2531072327166624,3.1726503239229795,1.4796903992645374,5.006489990771357,2.6772594644579595,1.1503463602378745,3.9503287077092453,3.811252540005851,3.329650926187203,1.773954860605375,2.5489795945558167,2.5980535451853224,5.172405108398623,4.925936463653424,1.6648158625544687,2.9414777753843384,2.568091506237004,2.218889212749131,1.8780926214527325,1.1197277485852928,2.482478755172388,2.491112787766821,3.567850530751809,3.6072159466256863,3.2652502748442074,2.6593300032624465,3.909281975113708,3.24708986906915,2.675329428147447,2.636828881188527,1.880527723677571,2.238326115922065,2.311229606547006,1.5835679548818236,5.549878052829626,1.9912867146643993,2.4950188789373944,3.1711122940646272,2.665216080288043
