,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank,74 Chevy Tailgate Support-RBS,Air Compressor 22,B&D Cordless Screwdriver,B&D Elec. Polisher,B&D Weed Trimmer,Battery Op. Toothbrush,Bissel Hand Vacuum,Black & Decker Elec. Knife,Black & Decker Sander,Braun Hand Blender,Bubble Machine,Bumble Ball Toy,Cadillac Slide-Out Visor-RBS,Corvette Vac 23,Crossfire Game,Dazey Fruit & Veg. Stripper-RBS,De walt sander,Dremel Electric Engraver-RBS,Durabuilt Hand Vacuum,Electric Can Opener,Electric Pencil Sharpener,Ertl Bumble Ball,F.Price Remote Control Car,Fisher Price Bubble Mower,Green Eagle Putting Cup,Hair Dryer,Hamilton  Elec. Mixer,Horseman Swimming Toy,Hot Glue Gun 21,Humidifier,Krups Cheese Grater,Mattel Bubble Extinguisher,Mini Pro Hair Dryer,Moen Kitchen Water Faucet,Mr. Coffee Coffee Maker-RBS,Mr. Coffee Iced Tea Maker-RBS,OverRider Toy Car,Paint Sprayer,Pneumatic Air Ratchet,Portable Fan,Power Caulk 20,Presto Popcorn Popper,Presto Salad Shooter,Radio Controlled Truck,Real Power Tool Shop,Regal Ware Electric Knife,SKIL Power Screwdriver-RBS,Salon Series 795 Hair Dryer,Salton Sandwich Maker,Stamp Machine 17,Super Maxx Ball Shooter-RBS,Takka-1000 Pasta Machine,Tape Rewinder 22,Toy Solar Car,Upright Vacuum Cleaner,Wagner Paint Roller,West Bend Iced Tea Maker-RBS,West Bend Mixer,WestBend Food Processor,Wet/Dry Vacuum,bicycle brake 18
Perpetuum FSH/C,0.0,57.943759193454426,62.35305500670276,65.20261380767855,82.70167625968372,170.48602301710335,114.35230604492318,129.5795978027846,143.29220205410184,58.676890252454996,43.416240484125595,114.9151115299567,70.71541857602156,99.9901704245174,100.12549801778243,134.12354632756933,101.632234401567,111.24270733227608,94.75390352642165,63.63838513016739,68.49404746443889,151.7664824443871,105.81683034510164,102.88530399747987,122.63075488086588,136.7668036895637,167.45486274887978,203.04004244727338,83.61498097853358,163.95035104297062,213.84984486706023,106.64583804527811,135.11095158610354,108.47602635758656,91.97026405950606,131.9429568815259,152.72465023151807,209.6894529660829,230.02346728362107,95.86616865832201,97.7425434793251,100.80070610333496,88.46972887707139,79.49409623493783,96.02431806435372,92.90808959782748,80.53890721960201,82.18528403090318,87.13194944448541,93.51678984913485,85.61572730580194,89.00962432313344,93.92460247575605,86.1516992477196,85.93007247651575,82.27954931000396,82.41697374070962,96.86595857291657,83.8299397098298,83.06985556538113,85.70664391051204,99.98567960246741,88.92076685954304,80.82142021319282,112.97987887043385,87.95685168120488,89.5507196213991,93.76865233750931,104.32897471874276,81.74165141896987,90.83479447041263,101.51169546111566,88.70525137470756,94.40136420303892,95.65358893106466,88.33675642435979,97.85703998930474,90.80745973959827,88.34962418153896,90.25566606987636,88.6496115419042,78.13594784989378,87.81291074374329,78.38453402102726,90.38805416673807,97.30807806540096,99.29417154253065,91.03359310406302,86.4391924809596,102.3696675230839,90.6258054744674,88.37646652424668,78.27226628547244,86.86090945164543,93.6010204100655,95.48837101195443,86.35626392551391,73.83894109078969,91.04978339645578,87.9398831100687
Enocean Eco 100,57.943759193454426,0.0,92.19093910829052,95.01622400312156,112.75520552277771,135.4846636932856,124.1683286821801,106.24303941256102,108.5824618378648,102.37279722457217,86.69355721564416,79.63010139231575,94.66712316928029,91.96590738404372,130.3035263406922,109.0268860424529,100.24331717381746,100.27644349773763,104.93415861245418,102.16752441803439,107.53010351877491,129.22228752559695,101.00487083958114,104.5491002068849,125.8526744130836,142.36348353729682,164.49974806236196,184.64516658299266,86.12364666216646,137.03439153101198,183.50325674151557,120.44403311409422,137.53371823376006,110.29366193024762,87.52361843092976,150.4182975757737,162.62984345529617,186.31835439876613,203.1139802647033,108.00697140297879,117.08601678660227,119.33483683332548,106.47241630523547,100.9503145756922,115.61497153606496,111.32345708382812,101.95324051466217,104.80690478780909,109.85090021978138,114.79999389437688,109.80750960423242,111.77662375706178,106.92151524876132,102.8637623011906,99.62629549706129,105.37610318926681,103.25216768381105,118.37117290766295,96.74807952467529,105.94522729688477,114.26052609180331,121.20666070293552,111.24632689009503,101.3773839280629,129.0274769081976,110.29501667803368,107.78115505187223,106.55800354095834,126.1436369064606,101.3254800446289,113.55594181236795,117.08308576464671,111.12442431204278,115.25918413960393,118.16628259734496,113.66577581686455,116.00194528075686,115.81467664766011,113.54316522406194,107.24768974692627,113.94567153846596,103.23936133619563,110.82187250194977,105.44018309502951,103.57874507866671,115.11484009921242,119.49281650075558,108.21403801031278,106.37648190739955,120.91534551815377,117.79565283557388,102.63179052474288,105.32791535947469,111.69462569197594,111.33684752518576,116.01474221881767,113.50188987634824,101.1229867390004,116.71778063715429,105.23439306935931
Clarkson U prototype,62.35305500670276,92.19093910829052,0.0,69.52887706456414,31.17822518599516,145.82566114505448,74.70096311786762,160.3899302376322,134.31962830097072,58.24140247512286,81.74048831197146,123.7756414385826,96.31712037537952,124.31302525313347,56.87494962378307,156.76278761169448,124.53765768893778,146.64504970697016,121.26667926026613,106.57682023128271,92.56656029795195,176.3936515098782,148.94820318184142,141.38035507291755,101.72343509647118,120.86876482192308,178.67742343192128,180.26448280651428,129.6565011152876,147.7665212695015,178.50617812762667,127.51606582294484,160.58501752086994,133.34496121735748,110.57491771803961,156.01546971503896,125.18110578820864,162.10914672502133,178.78094715548093,126.62173532104703,121.49268704206423,120.98703525020377,110.99122364321035,108.50882151799726,120.63253062047959,119.55569970656336,112.26465176083626,111.89525007199367,112.86684235992104,127.47810307587646,114.659258910255,121.62059060980954,121.48563715591649,117.14766136724258,108.83841072556187,110.36176279477553,109.98364957461135,124.64786293835331,111.52804800410394,110.31117859580718,114.3308765780109,121.56635452002602,122.59920348926413,110.92324834045345,132.19452864613163,115.67798539045992,120.73217278961351,124.82294740463954,131.71571262199416,108.92973175976813,122.28826386472008,125.29696159240544,119.33085383087013,120.03283932650257,120.94036097344477,113.08835904994913,127.43093922698365,115.58639188522349,118.22026750437205,117.99334737526723,121.66592919216649,110.10080497564607,112.35533755583617,111.05680213514748,114.15707662850406,116.4010584420943,121.90263610711389,117.86012759918754,112.85474043715033,131.0038264546124,116.49916106927628,119.16274297666843,113.20320800459868,115.185356753398,123.9017598957179,120.7548465982011,114.37065354528644,105.51999942615967,122.75549901402391,116.59868473417852
Michigan U PFIG,65.20261380767855,95.01622400312156,69.52887706456414,0.0,51.34104802313246,163.09219304480632,90.2503999918288,107.0262310469744,135.19341758299532,65.37342818502523,41.52616583738248,104.43910066226755,59.14982049741512,84.11358940702381,58.494827091401405,165.41176839625183,146.99380648195256,121.03262330050717,95.65425285380317,95.16575398567292,115.02270909096673,150.78122510341524,111.30009681081235,115.02270909096673,113.58808275653948,118.62337084999805,168.60365025766123,179.29213156367274,103.66461875927567,157.0876132530339,197.5434655309308,96.33529924510064,148.7798609276926,121.53980462418018,98.76976112486228,178.47161850805375,154.76837520057472,190.44901805946435,210.49875742804437,103.71115981623655,100.64278904817922,101.2574621454921,100.7732551844361,89.58760899258692,104.70882273628939,100.61950576949772,92.02747600888996,98.83381188795514,102.4570773972032,106.53732501958032,95.50066819056784,101.1140315596418,100.29558434054435,92.6964121164692,93.02506083712251,93.16807189849541,94.70738969628735,100.99026027229084,95.91747953305509,86.01139655965449,99.11753857192582,115.15129360869382,102.54421538053856,92.93372512669819,124.60260479195276,103.52310884238199,101.67859361097476,97.8606620661522,113.54825655679232,83.14683993333945,100.23528670378437,112.45968981658405,101.43541787760029,99.67459192977327,101.74501172341465,100.0491038947753,105.197329036233,102.83531603061357,103.69068566623787,98.62351803379212,98.06435110009559,91.13257874307646,102.92163601216438,88.43944386931467,100.28618503561268,96.07091935945574,112.12982208327486,103.25240790117675,86.24394707420454,109.657686901819,106.63806510293813,99.17673656805324,92.93214105202178,97.38359555137075,102.04632753431446,100.4235359108853,98.65593379864036,90.18679979114633,97.07455846240283,93.08847848465956
U Texas prototype Induc Vib,82.70167625968372,112.75520552277771,31.17822518599516,51.34104802313246,0.0,132.09819598323068,65.71252037181569,151.79613212002897,119.96004130044423,47.76992068195071,73.07231536549602,131.04101643510944,85.7518198593367,112.71315828027431,29.768624347995527,179.06447502512987,146.8393451023732,138.3831380230764,113.00476757637239,126.9254414842637,114.86824771138737,196.9579179243654,141.51396745554203,158.4163020310053,78.8494614597111,101.07306239630505,170.0587589696266,157.14128969110175,142.55679445271056,128.58618642715123,167.45369303006106,113.7963319735071,179.51533373021712,152.2752774267047,129.50523392738683,178.31715712847438,117.36763018038573,153.04827303927533,170.14870307584619,134.12942802615532,122.82311432898204,121.2407156107087,119.4681871826444,114.11145163770757,124.92117155931982,124.2841884432977,120.49929759168887,120.12989590284627,120.85917048219218,133.38404037650082,119.09743579831401,129.1282833149178,125.51125801678171,119.66929731271992,117.43653311928665,114.30798778007139,118.21829540546395,121.82670740053932,119.76269383495655,114.57819132021628,118.70615933816387,126.27750526488866,129.2071819722193,119.28663117834485,140.35205698989236,124.34778929237092,124.65331851667261,126.62594469312685,136.5622882573462,106.71032297854002,126.92958398630705,133.1681308603859,126.85288283761562,123.36534767944269,124.08217414078769,121.08068717222031,132.94323685755876,123.21524344462249,126.0914367723525,119.13573951049173,126.01166423294843,114.0796778764083,121.1463003120379,116.17802990133005,122.7245590259038,112.49392876172016,129.91433922421342,121.66110775907157,113.27864657617678,133.2476128017176,124.73380690012888,124.87278944179663,121.08871357421637,120.44513619444966,129.3332208872589,124.07873843749667,122.48414052184832,113.63348640272157,124.85802582524619,124.34869514786823
Seiko Kinetic watch,170.48602301710335,135.4846636932856,145.82566114505448,163.09219304480632,132.09819598323068,0.0,119.64007858210006,123.56584038672933,28.215163912980298,142.15702758579235,160.13363907233685,127.37714360386346,164.5661502246867,97.80146814697596,139.82695440132568,181.95137773600675,170.81271522097836,155.7346843241575,151.5130664015498,214.70978824168333,204.77801201508925,219.6873760948733,138.72882386392808,202.17963340164744,112.1059025626444,136.00227810030046,162.54435401653794,116.16429183026113,188.77047520668484,51.52351119568634,88.91165387181994,188.43287062509984,249.76364247532874,207.54157042656198,199.7535426724984,218.9400581982178,151.6462339942924,89.88623723656437,125.38989518236022,166.57247885100065,172.42781183196615,166.86153088105277,163.92829935142026,165.56214952766348,164.6660031793475,164.2288986311179,168.11773253540585,167.09253077963731,157.68113719343762,169.52704322836024,162.74967666273824,169.7391758620256,168.36969215693279,161.50148473216092,160.17545183750684,164.38721927857097,169.82642052090188,166.81413282644075,164.76367809827457,169.03938125960383,168.11339147955715,152.42031416806776,166.7338912442933,167.9064887339938,169.6257454522697,167.08464958662034,156.41663462089014,172.93141175032338,176.98454991490826,162.6592447384246,172.91827416463104,164.32816862911227,170.26420668131215,173.03001367800903,173.9712106192039,167.1919189723148,168.9757566939902,169.30018918446842,169.31659278863907,162.20990918984927,173.08871716189532,166.06112783129672,168.28084564656638,169.38382934686348,163.93452858972492,161.69114002309664,163.6900528271695,164.83579859729755,174.52575758815686,175.945455559099,170.96184378484273,161.6003272135606,166.25669637282775,164.1748921674593,161.9692231156013,172.38659281895477,165.95631291174112,169.6233971234717,173.93254301646863,169.78496772020787
AA battery harvester,114.35230604492318,124.1683286821801,74.70096311786762,90.2503999918288,65.71252037181569,119.64007858210006,0.0,129.19180549150406,93.38072342593296,95.25675771234233,105.75162485326221,124.03723064277196,131.84609430514158,122.58114171156353,75.86289879380041,208.37104108376775,176.1459111610111,164.32184912992875,138.94347868322473,158.57607126950313,144.17481377002525,227.9165839357524,176.1414561747992,193.65568624501105,124.94373590551598,147.1673368421099,201.01742498101362,157.31110973757967,182.43981907358238,130.71791620992636,152.47549735101256,152.7080868296219,212.02135879797808,184.78130249446565,162.01125899514778,189.86318905380526,135.44984957782756,118.52060566047714,130.1310789958306,173.90944023750558,168.7215293977303,169.72191906530486,158.19263582677712,154.97366749344894,166.86609978940663,157.3925831683672,157.68571603722023,157.18049615808982,164.06404793485956,176.08777695135382,164.74651009390814,171.40958634811412,159.1515754434677,158.24888698502008,158.0802306067413,151.53895852578287,153.5853067300433,163.39497466119116,155.95277404997654,155.8478364881092,168.48326558398944,169.57093336972918,171.9086082569816,168.23746732011597,183.75789397157547,169.54068634158648,168.79126558244928,160.84511588971566,182.65430295897997,144.97966694888387,170.1969757330923,174.99103934650466,166.5985943326816,166.85450187721352,166.93263564097342,170.28044898298012,177.29349718900613,168.87081702002638,168.97657492171695,164.72888433423017,167.28466244355883,155.15155399983075,164.8466675213283,161.60450412181882,162.45510485200535,160.85943675956614,172.91741605914606,161.62440796560895,157.26750270477436,172.19374818711447,168.6134809291088,164.43543732664483,166.5529786943315,159.16332648659824,171.32085671014644,166.1703706007723,164.6976510319236,157.62234253131913,166.39592519626711,166.62821448305135
Socket,129.5795978027846,106.24303941256102,160.3899302376322,107.0262310469744,151.79613212002897,123.56584038672933,129.19180549150406,0.0,96.83241216593277,140.74504752683976,112.51073226795441,101.64208028199056,127.93293994324044,87.96663461269145,143.59569374310092,173.50042453903978,178.30154512284605,124.85081792169247,130.75133366476445,159.4399256191435,177.84771771829844,173.50042453903978,110.68678768973105,146.33044773186023,163.72767499118416,168.18065858960708,140.5267631183105,159.09672091948468,125.93717356277834,129.51599634309548,173.89213250674828,171.0070943059041,207.85133243328357,180.61127612977114,158.43632644554543,209.77935714894724,188.39040562486352,172.0014492307248,206.8746825975571,126.88778973720713,139.63069648989028,141.39228355447716,137.05782367882742,125.94530868385446,133.9505247781698,125.25799483325629,129.49772198182643,134.59988139433915,133.84641426499093,139.97874109398612,135.72263955042934,128.21332537204177,122.87058823179292,123.47722013557006,129.79390204569322,128.64894335296034,129.7592617962593,129.0476273148425,125.66227184199394,122.959441414612,140.57485054151655,145.32732299543557,136.05838098046272,124.61425922657375,152.86663350613833,138.7931478320543,132.14501934047462,120.1638365594547,145.53833693024478,122.86284137564174,133.7622052555889,141.09685654543398,132.7106918452886,135.9260910386153,137.03558755468217,137.48846808384337,136.0270600687856,143.45067122648234,138.02233065752873,129.9441352394261,130.63363446555698,131.15392256421907,138.86864229315162,132.05271239809656,129.83707397833314,136.7587807573201,143.10869423435295,125.06444052200713,128.69249212399592,132.06682837488927,138.0367252867506,126.76743603190344,131.4870114430729,128.31392743334365,130.5157972150401,135.2091606957816,130.09227445594257,129.76636863122152,129.46998048753252,122.01363079474291
Kinetic flashlight,143.29220205410184,108.5824618378648,134.31962830097072,135.19341758299532,119.96004130044423,28.215163912980298,93.38072342593296,96.83241216593277,0.0,128.91960974067973,133.10804311985407,99.63656236763708,136.82556898846036,69.82359557237262,126.68544904101796,176.34244789942733,164.04946798888116,150.46804914568943,145.09649659714455,187.5159672786818,177.75332300535834,211.4503079937078,112.07188551005018,189.8975430675323,121.27792376248183,142.01906833742336,153.3174919938587,132.9104414624448,161.30676389082458,44.568714450880435,86.04621270571113,160.56177915276615,222.77035847263045,195.53030216911796,172.76025866980007,210.70299009705232,167.26361720174629,115.2244032696339,150.72806121542973,143.79753089852753,150.9479595600787,153.26069765975345,145.25285836522175,140.0963107470081,147.2193020996952,139.67432948427466,144.10178316208825,145.78415698025577,138.81147597645264,148.22676032512425,141.4777268252836,145.72446547838035,140.63909958907152,139.43228214749254,143.22712697082721,142.5439481008152,142.05815529519822,146.4298372553058,139.42371967740903,143.58538239599386,148.64493489214468,139.56092080877193,143.79611413281782,144.06659737875307,156.07819646770128,146.3745536583986,135.5139967845019,145.2047740381018,153.2895325662878,136.15404091503652,147.1037980268988,144.8479902809364,142.53059720708816,148.3347703961036,149.46618540125564,147.44330594771696,145.58130952894,150.81834669040242,144.44379578339607,143.10362908168452,149.30497818580955,140.81898541022423,144.91713291023888,142.89444494603384,145.14447980019344,148.32187731618788,147.60554230435582,142.33514038973163,146.77331178501169,151.44983383573134,151.12314618271301,137.29598513910344,144.51275288753135,141.34267989044815,138.97111188503848,147.70948564746195,145.48163923306674,143.13005786700245,149.07262473020558,142.02065735014384
MIDE Voiture,58.676890252454996,102.37279722457217,58.24140247512286,65.37342818502523,47.76992068195071,142.15702758579235,95.25675771234233,140.74504752683976,128.91960974067973,0.0,30.800559774478636,125.67833964590308,64.7761724076741,91.2731478717466,69.95205885017073,169.47845857962798,137.2533286568713,129.02813803773077,103.6497675910268,116.79812403290848,86.93893705406563,199.13058487611718,118.22360510581603,146.59322638379655,78.81577457798164,97.96110430343353,127.78562464048028,157.36201106773666,107.12338011853859,124.85886075101196,172.44806757457738,90.95230887364733,164.93797227735985,137.6979159738474,114.92787247452951,168.73114068297247,126.39596443795442,179.95747258624937,199.17827961074815,106.8994348627455,103.41014741682599,101.05339507172872,97.18550052567977,89.59438032608597,100.58900287827494,101.88303282023273,92.36876713642121,92.46416863076267,93.95813180410451,102.46374101813925,94.51555625803998,100.0428905275569,102.35172670015348,92.8727418034784,94.36738706774727,86.11644009323874,94.80043038751859,96.34640813724198,96.18387287451682,90.5879676723147,91.41809784737583,98.65357578939094,98.82751693913127,87.99127859124998,116.50126433536445,96.02873441038052,97.83804336349728,100.16986709171019,109.78086541944089,83.50217213223002,99.65330437434731,108.45218019951852,98.12608618473777,98.25476789608996,99.45688997902252,95.27515607018674,104.50462940397526,97.790764604785,98.58057325700048,90.25367846580457,97.1083615212504,85.69466141679501,93.15390789745572,88.11805944245985,102.97003197648297,94.81090738140097,105.88699342411678,94.92124678570485,91.64942125307596,107.57740935571255,97.85272228472442,98.3546067731155,90.30286214364281,95.54829131840205,103.20411679004448,99.33734540397441,95.27827659996441,86.22239773759864,97.46422575921122,99.16042835434962
