,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank,74 Chevy Tailgate Support-RBS,Air Compressor 22,B&D Cordless Screwdriver,B&D Elec. Polisher,B&D Weed Trimmer,Battery Op. Toothbrush,Bissel Hand Vacuum,Black & Decker Elec. Knife,Black & Decker Sander,Braun Hand Blender,Bubble Machine,Bumble Ball Toy,Cadillac Slide-Out Visor-RBS,Corvette Vac 23,Crossfire Game,Dazey Fruit & Veg. Stripper-RBS,De walt sander,Dremel Electric Engraver-RBS,Durabuilt Hand Vacuum,Electric Can Opener,Electric Pencil Sharpener,Ertl Bumble Ball,F.Price Remote Control Car,Fisher Price Bubble Mower,Green Eagle Putting Cup,Hair Dryer,Hamilton  Elec. Mixer,Horseman Swimming Toy,Hot Glue Gun 21,Humidifier,Krups Cheese Grater,Mattel Bubble Extinguisher,Mini Pro Hair Dryer,Moen Kitchen Water Faucet,Mr. Coffee Coffee Maker-RBS,Mr. Coffee Iced Tea Maker-RBS,OverRider Toy Car,Paint Sprayer,Pneumatic Air Ratchet,Portable Fan,Power Caulk 20,Presto Popcorn Popper,Presto Salad Shooter,Radio Controlled Truck,Real Power Tool Shop,Regal Ware Electric Knife,SKIL Power Screwdriver-RBS,Salon Series 795 Hair Dryer,Salton Sandwich Maker,Stamp Machine 17,Super Maxx Ball Shooter-RBS,Takka-1000 Pasta Machine,Tape Rewinder 22,Toy Solar Car,Upright Vacuum Cleaner,Wagner Paint Roller,West Bend Iced Tea Maker-RBS,West Bend Mixer,WestBend Food Processor,Wet/Dry Vacuum,bicycle brake 18
Perpetuum FSH/C,0.0,14.422205101855946,20.149441679609872,15.491933384829665,25.69046515733025,38.729833462074154,35.74912586343894,22.045407685048588,30.692018506445603,12.727922061357855,5.291502622129176,25.690465157330255,14.071247279470285,10.677078252031308,31.144823004794873,34.69870314579492,26.832815729997467,29.799328851502672,24.939927826679842,13.190905958272912,16.186414056238643,34.69870314579493,14.422205101855946,16.186414056238643,28.425340807103776,33.852621759621506,32.771939216347874,53.25410782277741,6.4807406984078595,33.55592347112502,47.0319040652194,22.93468988235942,23.87467277262664,19.13112646970898,14.42220510185595,28.6356421265527,40.84115571332428,52.36410984634417,61.04096984812742,22.45317886552785,19.74635649975032,19.70649242082648,20.104546727051446,22.90120577925375,20.051541163493564,21.8744183208045,20.790227075134585,20.153241677303495,22.309534438499682,22.60602536918889,23.49323374658827,24.0809478503119,19.167288053597478,22.850772492532812,19.53526003780356,19.438126090328385,22.360033439012653,19.609373232151352,20.92581969857986,20.356459566485473,22.468932136722614,20.02116441623115,24.17822398278453,22.280381159763323,18.211568002901537,22.78425802567089,22.37437325824963,18.91571671970222,19.684477715919986,20.879265333789782,21.839460774499862,20.59522390126525,24.424253435413018,17.842955083943917,18.171974699542833,22.988295135236534,19.806192067022522,20.502761576902504,21.591064483669776,22.03929572909696,22.32294979271008,20.480311199653208,22.723480217917466,25.139610179953074,19.56892937535992,20.105543329613216,20.474736356326183,19.494487993896783,21.27855111371108,20.44956992950946,20.444305431593083,21.942352097215647,22.989877394932133,23.533392711496823,21.348130729527554,17.358371853703115,20.910732912318927,23.53193707377779,19.923846780572745,22.45794319760495
Enocean Eco 100,14.422205101855946,0.0,11.224972160321814,9.591663046625431,17.54992877478424,30.98386676965932,27.892651361962695,13.114877048603985,22.67156809750926,6.324555320336751,16.12451549659709,17.549928774784245,22.93468988235942,12.727922061357845,23.36664289109585,26.83281572999746,18.439088914585767,21.63330765278393,16.431676725154972,9.273618495495697,4.898979485566352,26.83281572999746,2.136474487466561e-14,4.898979485566349,20.49390153191919,26.191601707417586,24.779023386727726,45.82575694955842,16.970562748477132,25.690465157330244,39.49683531626301,14.491376746189431,15.165750888103094,9.48683298050513,1.9206557332534355e-14,20.49390153191919,33.166247903554,44.96665431183422,53.81449618829485,31.774449090459466,28.962885327464146,28.52833781392957,29.344984990487532,32.26035286611002,29.100694716062026,31.19794458458174,30.23484578771937,29.34682315817766,31.727979424610922,31.90304959449249,32.80486467993185,33.22116551414483,28.48805480977771,32.188499187076054,28.730920470041134,28.35016381069058,31.761451999091484,28.619539543001057,30.226694912453006,29.606037788733413,31.766300309835604,29.37128163611306,33.32349810952497,31.59405204205353,27.395560674536593,32.07537817455102,31.72431716723607,28.26960832417108,28.81980839664395,30.278030541398824,31.216756392639866,29.83483305348552,33.62866785389799,26.983279837701748,27.063892723236627,32.28944374685699,29.10051526534094,29.78420585899811,30.986502547794558,31.4584930185224,31.694387543486517,29.65820186623526,32.016885475650376,34.29285639896449,28.851296430343663,29.401258156997297,29.83243671528936,28.781881928088886,30.596650210718657,29.852254292331082,29.85151373724968,31.285588828744043,32.233657233165346,32.75709874666063,30.75672583960451,26.4852264954187,30.28156963567747,32.77436721995774,29.2881716850343,31.780451464644806
Clarkson U prototype,20.149441679609872,11.224972160321814,0.0,10.488088481701501,11.224972160321819,26.191601707417576,23.065125189341575,6.480740698407848,17.320508075688764,12.88409872672511,21.494185260204663,11.224972160321823,27.99999999999999,17.999999999999982,17.54992877478425,22.315913604421375,13.341664064126325,16.67333200053306,10.583005244258349,16.248076809271907,13.190905958272904,22.315913604421382,11.224972160321816,13.1909059582729,14.49137674618943,20.493901531919196,19.89974874213239,41.35214625627068,22.583179581272418,20.44504830026086,35.014282800023196,7.483314773547873,9.797958971132708,9.999999999999988,11.224972160321812,15.937377450509215,28.6705423736629,40.69397989875159,49.69909455915671,37.17057281883081,34.49290985893016,33.954655852523985,34.8067438896519,37.72904424832785,34.57621238136888,36.60060891255696,35.72893963468236,34.842187896722244,37.19299037655514,37.37474744412307,38.2506590523786,38.618643514071934,34.11673478270747,37.617739386575856,34.19087528164074,33.78762621093918,37.194319283309014,34.06263222549284,35.706613025037484,35.1339444423112,37.21346876027048,34.84544769806912,38.7411137525711,36.984267007419284,32.88311441699215,37.55322659320629,37.142688638287154,33.78690739195732,34.32036968949318,35.78773199621441,36.72337828626554,35.342562850558885,39.02858500353682,32.40857956889173,32.4459072446135,37.733530506241394,34.58167869090245,35.362781939520985,36.53862043687604,36.88867919232161,37.10541503078506,35.20039531392994,37.493210889512945,39.7240481320824,34.34008877366562,34.87680415568564,35.32169834314848,34.190059072347964,36.02522605421856,35.32371820687016,35.38203635063731,36.73003134404662,37.68132783621855,38.16797787693743,36.226370415982935,31.940834202288265,35.80408781168419,38.224506771720584,34.791033695809915,37.19734512082711
Michigan U PFIG,15.491933384829665,9.591663046625431,10.488088481701501,0.0,16.370705543744887,30.789608636681287,27.820855486487094,13.490737563232027,22.22611077089286,6.480740698407853,16.370705543744894,16.370705543744894,23.10844001658268,12.409673645990843,21.954498400100142,27.202941017470867,18.97366596101027,21.908902300206638,16.43167672515497,14.352700094407322,12.247448713915889,27.20294101747087,9.59166304662543,12.247448713915885,19.183326093250862,24.698178070456922,24.8596057893121,45.65084884205332,18.16590212458495,25.09980079602225,39.44616584663205,13.490737563232027,16.062378404209003,10.488088481701508,9.591663046625431,21.26029162546929,33.28663395418648,45.055521304275224,53.94441583704471,32.491803914279465,29.8923021281851,29.136825867570256,29.979408811147724,33.07515762375778,29.869721602384473,31.985556581184735,30.905421956090702,30.18454196033563,32.48111815234479,32.881099877575345,33.613086356613834,34.16723030722524,29.528409637063287,32.926394834317705,29.41716363964456,29.094149907337247,32.45344670616735,29.457930817376834,31.069697264718695,30.504243435208455,32.68549762445996,30.222879835226497,34.31360156016818,32.31336534540157,28.300456498497212,33.07494971758556,32.4717445682199,29.08594464557591,29.77409378436941,31.01517520362906,32.2056410133131,30.68491287943713,34.42717600062921,27.664979948821447,27.912311392965833,33.153440347004434,29.903857617890946,30.781340266104046,32.036414731491966,32.124854791108234,32.38598707817967,30.561155974800105,33.01024640476418,35.21363372331802,29.70691611648418,30.127289370396433,30.71513218675786,29.288482075316285,31.434066771255846,30.63970880202132,30.746364554758834,32.15713115165921,33.20063373468621,33.62918547217672,31.598301236944888,27.243343510791206,31.20629815765772,33.71576751441558,30.191792096874593,32.49076776792761
U Texas prototype Induc Vib,25.69046515733025,17.54992877478424,11.224972160321819,16.370705543744887,0.0,21.633307652783916,18.493242008906908,13.856406460551007,11.916375287812974,18.654758106177617,26.832815729997467,2.2340725312878307e-14,33.13608305156177,23.280893453645614,11.224972160321826,18.220867158288574,14.071247279470276,11.99999999999998,11.045361017187243,22.315913604421393,19.493588689617916,18.220867158288577,17.54992877478424,19.493588689617912,7.4833147735478756,14.491376746189434,15.297058540778343,37.094473981982816,28.071337695236394,15.2315462117278,30.7896086366813,7.483314773547876,16.431676725154972,16.67333200053306,17.549928774784238,16.8522995463527,24.49489742783177,36.68787265568826,45.8257569495584,42.540420218397095,39.9713318079581,39.40662611350991,40.237356371099736,43.15357682439116,40.05795630477351,41.97496157517306,41.16999338147119,40.31293447404871,42.61422752945914,42.80115558714882,43.658523671947336,43.99037867097458,39.67344061495777,43.01266270758281,39.6406553891326,39.304992481495475,42.59160645956986,39.565142939489036,41.137225746385,40.59889937674308,42.62143450153447,40.270811583700045,44.12813460054473,42.34959135241069,38.3836151347677,42.98441310615894,42.52912341953573,39.242062476676196,39.84721881300048,41.240324797458356,42.17495875320921,40.79309052231834,44.40240526287745,37.93906673549885,37.87971054905685,43.13966239378164,40.01181092444195,40.86506789854932,42.02354371915478,42.28371462054417,42.48634424679191,40.67587396203702,42.92319617700984,45.12205669071391,39.775445795803606,40.30321271330243,40.75868578986586,39.56669750457874,41.41833917961977,40.74767538869846,40.84928543108721,42.135523453590345,43.09009487545793,43.54952987266676,41.65001371739764,37.49478280928883,41.26611138032274,43.63561262562937,40.23723462905866,42.582718006007994
Seiko Kinetic watch,38.729833462074154,30.98386676965932,26.191601707417576,30.789608636681287,21.633307652783916,0.0,9.486832980505127,24.8193472919817,15.811388300841877,32.68026927673636,40.224370722237516,21.633307652783916,46.21688003316535,37.04051835490424,17.49285568453588,16.309506430300072,21.63330765278392,17.999999999999986,21.86321110907543,33.55592347112502,30.65941943351176,16.309506430300075,30.983866769659322,30.659419433511758,19.493588689617905,15.684387141358116,14.071247279470276,24.535688292770597,40.84115571332426,12.649110640673497,17.0293863659264,23.874672772626624,25.09980079602225,27.7488738510232,30.98386676965932,23.53720459187962,7.615773105863897,23.664319132398443,33.58571124749332,55.39697475162536,52.84995928865412,52.55391214853941,53.32614771782188,55.871601509832544,52.95934942110244,54.884305456696076,54.11097865595955,53.244605287669906,55.40659084234826,55.40919242049484,56.34793928706346,56.76171288262397,52.47514865576842,55.771679650680866,52.710464068120885,52.30301315033746,55.41426788664919,52.46442047310183,54.12206719537502,53.59085079478177,55.40533256366223,53.21041649080016,56.85245573397373,55.21588632553764,51.23801946006694,55.62330715465245,55.37965888127326,52.24137517108062,52.62613879198847,54.12399689994705,54.877990685973536,53.680831941898504,57.206154877576616,50.93225935377453,50.95633439983762,55.900863848077414,53.051336702756274,53.5419308965168,54.58854987561404,55.136359793686815,55.34516673223991,53.67889082513324,55.56851369144989,57.75811631277459,52.739719016013275,53.30912905780282,53.641598269900996,52.79371272660532,54.30652878057414,53.64558084830317,53.65439481699512,54.92277372622672,55.73950997098606,56.30469684265611,54.50064251396157,50.53839044043163,54.125272408195094,56.33018961355082,53.06011800264131,55.363305130084754
AA battery harvester,35.74912586343894,27.892651361962695,23.065125189341575,27.820855486487094,18.493242008906908,9.486832980505127,0.0,21.494185260204667,11.99999999999998,29.69848480983498,37.28270376461448,18.493242008906908,43.26661530556786,34.117444218463945,14.422205101855935,11.91637528781297,17.99999999999999,14.07124727947028,18.43908891458576,30.397368307141317,27.459060435491942,11.916375287812976,27.892651361962695,27.459060435491942,16.370705543744872,16.97056274847713,9.48683298050513,27.676705006196105,37.868192457522966,8.366600265340741,20.445048300260872,20.736441353327702,21.633307652783923,24.494897427831766,27.892651361962688,19.849433241279193,12.247448713915883,26.608269391300123,36.24913792078371,52.3431645708713,49.77710630028752,49.4658612279774,50.248485715048474,52.7945134351132,49.87992467059265,51.83186873859196,51.027369100316236,50.16383834995627,52.3312849200208,52.34940177472306,53.27863902411786,53.701881246092675,49.37232096476229,52.70657295573484,49.62960339315894,49.20331096688757,52.349090808573266,49.37418060290665,51.044525595856584,50.49793064715438,52.34072393863646,50.152235327682384,53.78814099401119,52.16482425034884,48.142108249843474,52.55706258497231,52.31952893547027,49.17697987460578,49.526988153118005,51.03337855210042,51.802833370293854,50.607726437928186,54.13450060615027,47.828723507204835,47.853776653994,52.832764507162466,49.983523073994306,50.45814751060441,51.51170794954865,52.07157801065842,52.287174997262824,50.58353362565019,52.50266431577129,54.68089245796926,49.68070522434223,50.23961506754059,50.576631606579475,49.73825889026708,51.24328558400062,50.58456257593677,50.57978262610458,51.86462545366254,52.680564937332214,53.24579787866048,51.4322419287442,47.42643667831159,51.04267712049014,53.259866468685914,50.00098523508268,52.29983614272832
Socket,22.045407685048588,13.114877048603985,6.480740698407848,13.490737563232027,13.856406460551007,24.8193472919817,21.494185260204667,0.0,16.248076809271915,15.491933384829649,23.70653918225938,13.856406460551009,29.99999999999999,20.493901531919178,19.949937343259997,20.049937655763404,10.392304845413257,14.422205101855953,8.485281374238566,16.24807680927191,12.6491106406735,20.049937655763408,13.114877048603987,12.649110640673499,16.970562748477125,22.84731931759172,18.055470085267785,40.02499219237902,24.331050121192863,19.595917942265416,33.49626844888846,10.4880884817015,5.099019513592785,8.48528137423856,13.114877048603985,12.727922061357852,26.87005768508881,39.012818406262305,48.00000000000001,38.86763836160947,36.1140130664571,35.7347159510709,36.58790019791468,39.301657745252506,36.211406439715816,38.319430106417435,37.41341383444897,36.469709886933224,38.81091473391822,38.884999386951456,39.823477696317674,40.230867906280466,35.67574157387026,39.23701999397157,35.92775836766065,35.41194711586642,38.84964341996399,35.6909104577509,37.42918346856705,36.82853441738637,38.8301388250171,36.52992930020202,40.32512062328223,38.686558890106795,34.46815678839476,39.04907021992283,38.82408008056046,35.52181890008897,35.86868055764258,37.42433855087405,38.23544685098576,36.961329474392386,40.63708383978887,34.07630770230538,34.16897153968008,39.349066291125126,36.33713872594167,36.88967430733265,38.0178376077497,38.561302817454894,38.795652128176705,36.89745194235683,38.993273833899195,41.206795556073025,36.05846376402224,36.59389680727785,36.96426470453532,36.095205448296646,37.705138952026985,37.01245810745693,36.97364260314641,38.33573120556271,39.192422101455804,39.75513626461361,37.858904402651305,33.6207734893437,37.40849041089208,39.798358958996175,36.410821094493826,38.83055863048843
Kinetic flashlight,30.692018506445603,22.67156809750926,17.320508075688764,22.22611077089286,11.916375287812974,15.811388300841877,11.99999999999998,16.248076809271915,0.0,24.248711305964274,32.09361307176242,11.91637528781297,38.26225293941798,28.774989139876304,12.32882800593794,11.224972160321803,14.899664425751329,11.401754250991363,12.649110640673511,25.922962793631438,22.803508501982748,11.224972160321808,22.67156809750926,22.803508501982744,9.165151389911665,15.297058540778348,7.483314773547873,32.218007387174026,32.92415526630865,8.48528137423856,25.57342370508884,14.628738838327783,18.220867158288584,19.595917942265416,22.671568097509258,17.378147196982752,18.708286933869697,31.62277660168377,40.987803063838385,47.51575649009035,44.869957219685745,44.505436924501915,45.331860564013425,48.039004161144824,44.9883769139621,46.96394179866602,46.17770431891504,45.23020762670391,47.542274710582106,47.57776725476113,48.531845552566004,48.87896700643064,44.573579437128934,47.92740336140945,44.68434053746618,44.24843637957535,47.54194069077915,44.50809319766503,46.172583506963846,45.63064556987838,47.522396439768045,45.21251584633758,48.99737652245753,47.32362496356803,43.27940504999303,47.74884604700738,47.49768124268601,44.25354395341355,44.72409166044985,46.21239074015671,46.969461839717354,45.69036118033121,49.30895033360607,42.947407238908404,42.91177022985134,48.05377964800867,45.05526596521956,45.70546151476299,46.80509738583666,47.25125267456783,47.46071068078993,45.71225544989443,47.691354197090256,49.8998997994986,44.760243474860786,45.306139096618885,45.670876993505466,44.751636555851626,46.385900397074465,45.71323415309927,45.72978988814757,47.00365292257569,47.85767089497524,48.402784927360955,46.566406522539225,42.52720090669994,46.17321552291934,48.51123614935121,45.11581601395555,47.51084472694329
MIDE Voiture,12.727922061357855,6.324555320336751,12.88409872672511,6.480740698407853,18.654758106177617,32.68026927673636,29.69848480983498,15.491933384829649,24.248711305964274,0.0,13.78404875209022,18.654758106177624,20.784609690826528,9.797958971132704,24.207436873820402,28.94822965226024,20.784609690826517,23.748684174075827,18.439088914585763,11.489125293076055,9.38083151964686,28.94822965226024,6.324555320336748,9.380831519646858,21.4476105895272,26.94438717061495,26.720778431774768,47.47630988187689,15.491933384829672,27.129319932501055,41.25530268947254,15.811388300841884,17.832554500127003,12.489995996796784,6.324555320336753,22.93468988235942,35.07135583350036,46.79743582719034,55.641710972974224,29.997071548650155,27.319747657154327,26.633804813909105,27.458325081385844,30.554718873084862,27.358026254536085,29.477608732299075,28.37145559322276,27.646784636072223,29.96157721208261,30.341937028103807,31.102454706676173,31.66263937975779,26.91911998520394,30.42449766989443,26.905459275498384,26.607999520982908,29.94849622570346,26.956332846952684,28.52492811431146,27.93869321014691,30.15741275474564,27.67057679128808,31.79959225780901,29.819775839451474,25.746266402990017,30.532684578344842,29.966043969010293,26.51071544695274,27.220070754532646,28.47700438824829,29.650345639452933,28.126040170284732,31.938360548140952,25.167248713713622,25.40147614622941,30.634594553184005,27.351274716362397,28.1917930371981,29.45977167605593,29.621569178066686,29.88674691452683,27.98668984279438,30.468777692597985,32.710854467592256,27.144844842777985,27.586806875754966,28.159777749100932,26.778706540433284,28.91832636425442,28.097824909776868,28.17713827516598,29.629841660365056,30.673199636606075,31.123089977859358,29.061645697275505,24.725357695917655,28.641812486143873,31.19299200021778,27.627335887995766,29.99712145821271
