Product,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Perpetuum FSH/C,0.0,0.3021368422011469,0.22967111348035674,0.2603997383663613,0.28286283439936377,0.6371126306987884,0.3675444679663241,0.5833333333333333,0.6024768040000374,0.2783121635129677,0.23019964108049895,0.5219085562662424,0.45566894604818264,0.6310676063136891,0.3263669302913922,0.4629138444704254,0.4107443490112105,0.4338614829277022,0.39951942323092315,0.23019964108049895,0.31534680311854246,0.5225900839737114,0.5657740351473803,0.46749195798108856,0.5370899501137243,0.5635642195280153,0.6605499485217896,0.6445906733445446,0.5285954792089683,0.7113248654051871,0.7495102835659402,0.5051283406946065,0.562341365406817,0.5357929174514724,0.5037417544541489,0.4161257918788578,0.5,0.6019457106489786,0.5833333333333333
Enocean Eco 100,0.3021368422011469,0.0,0.4026842785663638,0.41934275414592725,0.4439293255989122,0.43019711770181024,0.4115101136635003,0.43007842113093664,0.3758122160676407,0.5165062215847718,0.4842733030237567,0.26598670979056405,0.6201314118012069,0.4703591022971503,0.47766255419490666,0.3403297527060697,0.3968776129535452,0.3678604587589861,0.4412623046654073,0.3956327769809648,0.4903528085623745,0.40029977518733606,0.48051948051948057,0.4266469096326714,0.5261964585206572,0.5532937371596734,0.5939033974178849,0.5039458499781195,0.42429226691020216,0.49636064748413744,0.5629811387329694,0.5395297348426399,0.5418612448373004,0.5140704692501376,0.48051948051948057,0.4567142684843666,0.5347578948007646,0.49998263798461207,0.488233684280841
Clarkson U prototype,0.22967111348035674,0.4026842785663638,0.0,0.2878306924826527,0.06905066374873725,0.5195361165024541,0.24213525325492646,0.6255345690529512,0.5215256235306545,0.2587506833388987,0.40700054667111907,0.549870650603785,0.5282718234751367,0.67520082282354,0.12552536780479373,0.448356026461049,0.39477246733119753,0.515430162808683,0.4860360732453377,0.33287561500500884,0.2967891535922569,0.5402966887175409,0.6655031959971638,0.5311927690615046,0.40567836118725453,0.43966818531947416,0.6264454568796494,0.5436965485646781,0.6368634803987185,0.5923128758363944,0.6140810713094591,0.5764289619079421,0.5785736391726574,0.5530098437323259,0.522147422853091,0.40029977518733606,0.3837368907842854,0.4480611085177477,0.44365135973581327
Michigan U PFIG,0.2603997383663613,0.41934275414592725,0.2878306924826527,0.0,0.20440774704184506,0.6225743219518014,0.29835358455437666,0.4221872955987197,0.5865508847026385,0.3327993591454702,0.19935923097456443,0.5138047343033497,0.37724763122047245,0.5614709903464854,0.19039380877246903,0.5034636735631517,0.50970966215454,0.42426523139711636,0.3893410614340497,0.2794233078771079,0.43033410601543765,0.45381004091946686,0.5354742033167419,0.43033410601543765,0.5292434582379959,0.5158179738649582,0.6368634803987185,0.6057087535278847,0.5423956846775706,0.6997597116154617,0.7134224418546017,0.49674008804115477,0.5448075053340542,0.5171954504147325,0.4838602259074909,0.5141872932765282,0.4915248201268734,0.544598365651682,0.5377498364789759
U Texas prototype Induc Vib,0.28286283439936377,0.4439293255989122,0.06905066374873725,0.20440774704184506,0.0,0.47138746048621116,0.1768773698910162,0.5517892714996022,0.4654775161751512,0.17192132878917477,0.30993444065764586,0.5809523809523809,0.4632549598783068,0.6220355269907727,0.06066356337227574,0.48644740898690453,0.4365638301809889,0.4586680380392333,0.42583074823678535,0.3789409965918811,0.3453463292920229,0.572039507489087,0.5996291144312167,0.5635642195280153,0.3545027756320972,0.3914193805498154,0.5652995575355824,0.5044053722166479,0.6619382981085933,0.5514573864274698,0.5808505344035331,0.5268121878795284,0.6076734091090001,0.5838748107117605,0.5551434604791297,0.4417094737609175,0.33067197877273957,0.40053499787722935,0.4023856953328031
Seiko Kinetic watch,0.6371126306987884,0.43019711770181024,0.5195361165024541,0.6225743219518014,0.47138746048621116,0.0,0.34733058425023156,0.34510170071421964,0.0871290708247231,0.5678791892748876,0.6818019484660536,0.41445995623088006,0.8472222222222222,0.3545027756320973,0.46525921006687676,0.43722110427798955,0.47076225324284304,0.44529980377477085,0.5097096621545398,0.6857303194726456,0.6645898033750315,0.5614709903464854,0.47768069122665935,0.6273220037500351,0.40943051092308247,0.44320574601578255,0.5174449798803449,0.2745237498899883,0.7113248654051871,0.1750420886156947,0.28416601040912104,0.722208050248142,0.7738664915666773,0.6801989254665843,0.7435887029658146,0.5232687053772038,0.4284523933505918,0.21997608093106058,0.27422526139757686
AA battery harvester,0.3675444679663241,0.4115101136635003,0.24213525325492646,0.29835358455437666,0.1768773698910162,0.34733058425023156,0.0,0.3851126771894817,0.28503647680026856,0.33056131860479687,0.3914193805498154,0.39525684318523635,0.5266353687968712,0.4444444444444444,0.1715831304204859,0.5470891863421616,0.5030960050000468,0.5225900839737114,0.4936303164581666,0.4522774424948338,0.42264973081037427,0.6225743219518014,0.6469060681981003,0.6150998205402495,0.43072495744668904,0.4632823427337245,0.6166302448098032,0.3880972697666266,0.7018576030000281,0.40663389603607003,0.4455173759330624,0.5826875752341591,0.6540004692615453,0.6330120782912132,0.6076734091090001,0.45839743969093594,0.4097081701019025,0.2950954154205965,0.2972716310736935
Socket,0.5833333333333333,0.43007842113093664,0.6255345690529512,0.4221872955987197,0.5517892714996022,0.34510170071421964,0.3851126771894817,0.0,0.2825948572188174,0.6150998205402494,0.5381197846482993,0.3027833112216036,0.6938137821521027,0.34119215413158765,0.4854191828614801,0.5166224600233827,0.6071628993408069,0.4338614829277021,0.49959951935910263,0.5790154287158978,0.6804951747886532,0.5166224600233827,0.47660263165086014,0.5435645354123615,0.6142416250947702,0.5999338679006806,0.49991733487585077,0.378033678352953,0.5580582617584078,0.40460753489819845,0.4833649598547517,0.670085560463071,0.7127865210482236,0.6953641020775287,0.6743305263605353,0.6107505279192385,0.5833333333333333,0.42530911974946284,0.4652777777777778
Kinetic flashlight,0.6024768040000374,0.3758122160676407,0.5215256235306545,0.5865508847026385,0.4654775161751512,0.0871290708247231,0.28503647680026856,0.2825948572188174,0.0,0.5696685170880648,0.6514314988413326,0.3585730194101814,0.8326403296511993,0.29289321881345254,0.45606218430878,0.47157709244321244,0.5168742463631643,0.4936303164581668,0.5703310755763402,0.6557348136704518,0.6325765385825233,0.5996796154872821,0.42782786472867074,0.6734013676289097,0.5169541084603522,0.5445799659573511,0.5120499635257334,0.35097914503812844,0.683772233983162,0.1527848930171276,0.2648529558852949,0.6956941656551315,0.7522831528465689,0.737256606345486,0.7191154972304383,0.5648058601107554,0.5155186048750455,0.2990647958421496,0.3478135065625614
MIDE Voiture,0.2783121635129677,0.5165062215847718,0.2587506833388987,0.3327993591454702,0.17192132878917477,0.5678791892748876,0.33056131860479687,0.6150998205402494,0.5696685170880648,0.0,0.16666666666666663,0.5859606643945874,0.4107443490112104,0.5892080818711254,0.22215553173740255,0.5348697452904683,0.4896896369201712,0.5206050029955501,0.49152482012687326,0.4444444444444443,0.2884875264621146,0.6692407077621108,0.6373796661885789,0.6310676063136891,0.33184689521893906,0.37005921165128797,0.47504934304273994,0.4870108239574229,0.5917517095361369,0.5416666666666667,0.602294160665797,0.47619047619047605,0.6209765042566926,0.5979848738963152,0.5702277525197972,0.49435010315256833,0.42264973081037416,0.5260029508378992,0.5188747756753118
Bistable buckling harvester,0.23019964108049895,0.4842733030237567,0.40700054667111907,0.19935923097456443,0.30993444065764586,0.6818019484660536,0.3914193805498154,0.5381197846482993,0.6514314988413326,0.16666666666666663,0.0,0.5583580420208933,0.29289321881345254,0.5070496982453505,0.3517962764478356,0.603088849314533,0.5645351568385462,0.4770236396315094,0.44529980377477085,0.33333333333333337,0.36754446796632423,0.603088849314533,0.5648555994262947,0.5572811275764269,0.4654775161751512,0.49604736932103033,0.5968378954568243,0.5896086591659384,0.5101020514433643,0.6625000000000001,0.7071438819448141,0.4285714285714286,0.5451718051080312,0.5175818486755783,0.4842733030237567,0.568512088023525,0.5381197846482993,0.6276968632035862,0.6150998205402495
Heel-impact shoe harvester,0.5219085562662424,0.26598670979056405,0.549870650603785,0.5138047343033497,0.5809523809523809,0.41445995623088006,0.39525684318523635,0.3027833112216036,0.3585730194101814,0.5859606643945874,0.5583580420208933,0.0,0.6746999756838223,0.37005921165128797,0.5348048123367461,0.44365135973581316,0.5492510641447912,0.5037790348692972,0.5789425487069759,0.5859606643945874,0.5635642195280153,0.44365135973581316,0.5996291144312167,0.5635642195280153,0.5573733318620095,0.5479115398370057,0.5218295132891406,0.35572698388164226,0.4365638301809889,0.3789409965918813,0.4161846729192067,0.5662445055562344,0.5684407500199002,0.5422622917829365,0.5106578065270426,0.5905869474246728,0.6493996079285779,0.4433539266002844,0.4422266489772829
Innowattech road/rail,0.45566894604818264,0.6201314118012069,0.5282718234751367,0.37724763122047245,0.4632549598783068,0.8472222222222222,0.5266353687968712,0.6938137821521027,0.8326403296511993,0.4107443490112104,0.29289321881345254,0.6746999756838223,0.0,0.7633176843984357,0.49581582663448376,0.7076473268976569,0.6792498504502079,0.6610165467512489,0.6404537522466626,0.4696699141100893,0.49688470506254734,0.7076473268976569,0.8100657059006034,0.6645898033750315,0.6220355269907728,0.6436516774501009,0.7327387580875756,0.733992041626329,0.6632123429727184,0.8379546959780829,0.8593897520446487,0.6296107336641894,0.6649873949135959,0.6446654727406493,0.6201314118012069,0.7139612232263223,0.7006179203265005,0.731866777820052,0.7278344730240913
Piezo backpack straps,0.6310676063136891,0.4703591022971503,0.67520082282354,0.5614709903464854,0.6220355269907727,0.3545027756320973,0.4444444444444444,0.34119215413158765,0.29289321881345254,0.5892080818711254,0.5070496982453505,0.37005921165128797,0.7633176843984357,0.0,0.6449641987516368,0.6603168897566212,0.6273220037500351,0.606136819278312,0.5822450110779875,0.6348516283298893,0.6535898384862247,0.6603168897566212,0.5144958437723878,0.6535898384862247,0.5974412199087301,0.6204639423617052,0.6549672203288229,0.4848778036300684,0.6645898033750315,0.31534680311854246,0.40591147421399554,0.6087696017820242,0.6496754751273146,0.6284247292698534,0.6027693267228628,0.7045804216496014,0.6837722339831621,0.4335588159629793,0.4729537233052701
U Texas prototype Piezo Vib,0.3263669302913922,0.47766255419490666,0.12552536780479373,0.19039380877246903,0.06066356337227574,0.46525921006687676,0.1715831304204859,0.4854191828614801,0.45606218430878,0.22215553173740255,0.3517962764478356,0.5348048123367461,0.49581582663448376,0.6449641987516368,0.0,0.46936147305050613,0.47074387597503686,0.49150716381907866,0.46066190102753535,0.41661664880305194,0.38505995373190915,0.5578012275420885,0.6239170390203328,0.5387949652989319,0.3503510043669652,0.34667205659996636,0.5100040424499748,0.46796560951559163,0.6295207131825258,0.5462573935134849,0.578154608470214,0.5555174467070872,0.6314733381181452,0.6091184475029479,0.5821300433559253,0.42313510312751956,0.3263669302913922,0.39667930109603444,0.4012150491479042
WindTamer,0.4629138444704254,0.3403297527060697,0.448356026461049,0.5034636735631517,0.48644740898690453,0.43722110427798955,0.5470891863421616,0.5166224600233827,0.47157709244321244,0.5348697452904683,0.603088849314533,0.44365135973581316,0.7076473268976569,0.6603168897566212,0.46936147305050613,0.0,0.08853456962470008,0.19726797857264222,0.24317699223084033,0.34881764340665544,0.3135935270163559,0.3538461538461538,0.550224831390502,0.41165159458544787,0.45303032609126836,0.4374313228738055,0.37492369208200604,0.4655207991003467,0.4936303164581667,0.5736305998495959,0.48204194862283933,0.46842256604624943,0.4711141146520549,0.3455371069940799,0.40029977518733606,0.24738219099361825,0.3554966133645103,0.36504533955999685,0.35549661336451044
Leviathan,0.4107443490112105,0.3968776129535452,0.39477246733119753,0.50970966215454,0.4365638301809889,0.47076225324284304,0.5030960050000468,0.6071628993408069,0.5168742463631643,0.4896896369201712,0.5645351568385462,0.5492510641447912,0.6792498504502079,0.6273220037500351,0.47074387597503686,0.08853456962470008,0.0,0.21715124806401853,0.16966350829396304,0.28556549168823964,0.24691990490411342,0.4429933481039834,0.6052289830241386,0.41905249806888756,0.39990080185102095,0.43422105013899637,0.4599382751326784,0.5392607008791349,0.6111111111111112,0.6257724004081257,0.5129118129529476,0.41678815648019574,0.4197411468143405,0.2819663026205591,0.3420483050402311,0.17427717615522953,0.29289321881345254,0.3033694539807641,0.29289321881345254
