,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Perpetuum FSH/C,0.0,71.01545568791256,57.4827186813107,74.39817373344617,94.12805355196048,164.80867672135298,124.45561041968504,147.47918750324476,145.0310237603864,88.6012053978138,69.6087518990402,121.47560917976143,96.30082973797977,129.40309669387312,112.00427048446409,94.90337878585241,86.51775799644139,132.7955461563337,113.75818399139213,46.942663277425154,66.43292683412434,112.96404419823945,108.43424824305212,85.293115656499,131.97691233392817,145.83784648701186,168.52572151430545,217.41312478484798,87.09047472468359,170.5556397458771,215.99062736467533,127.56068270284764,100.82348567303086,93.83813161225119,87.56019862032136,98.57123962576162,163.2179596587426,208.74266205123254,222.93532937410245
Enocean Eco 100,71.01545568791256,0.0,66.57435412274755,116.1322647965343,106.62431449734585,119.69856274820182,109.42976469226858,105.26776376312044,100.71212046776974,121.54754240654745,121.49597524984068,62.25589018470961,136.39735433893256,102.6270105179699,124.4263422580045,70.72341134020236,67.33350070808008,97.25453929539178,104.38432915924041,88.79462579032192,93.67382910673537,92.57505752521088,108.05134806796669,102.48467863295792,123.1600044992969,136.16931852744108,154.54463739326354,175.80388089500275,91.40486620938599,131.32118245017668,174.04201116693557,147.89752065266205,116.49219436874428,96.12729197644703,88.6467888830216,100.9788110811433,150.77246052183614,164.18589847871436,177.41756471318948
Clarkson U prototype,57.4827186813107,66.57435412274755,0.0,94.93481867248774,52.63343053070258,129.94059862676323,92.18673875694435,146.27658840523583,125.98983732154105,84.19996910513257,109.24300438231893,113.04245275795844,127.56171966440508,151.0259310687885,75.2404598984528,91.76579221911497,86.9771643210443,137.8111429042693,135.08619994529315,72.73278363317316,69.2118796837503,113.5704579701399,133.89835436338646,110.81222652721128,104.76640587601042,116.07818037607274,156.52108831238814,181.83101219945613,118.4618686930267,141.46764082250604,181.19186139503336,150.85494452660706,119.40783174597193,117.62489917780447,110.52029245220577,98.76552828700409,125.30801306413832,170.11063441551036,183.20905211362953
Michigan U PFIG,74.39817373344617,116.1322647965343,94.93481867248774,0.0,56.56949908355318,154.27597473562102,105.25055480343022,106.00553579392205,133.26260994854746,65.38999558333069,43.35508970300828,134.63259130685765,74.78322259127928,120.72926208747002,55.68489799982869,123.60532542853824,118.568138378364,107.90436074082594,82.92299862258709,81.41792927102757,101.25359347622502,110.02723654348151,103.16378612187532,86.25576048481123,108.57111819800559,107.72958328659568,140.92233499634924,192.04540919544482,118.8021836750785,153.38445711266513,191.2669982954505,104.99688367517719,99.7281108632263,121.36038897922103,111.33201517337255,131.13065658285157,129.25198494186023,187.6029193250193,201.4672856331176
U Texas prototype Induc Vib,94.12805355196048,106.62431449734585,52.63343053070258,56.56949908355318,0.0,109.27952707409753,68.35691668488285,120.4907178489476,104.86827039530142,43.83680989310131,80.90514455594291,137.901359178194,112.10122813248525,136.30469611555216,29.651042498264815,131.65891435031216,127.05719170913979,117.58885666742293,111.11882124640931,112.87322951787674,110.04940004304231,122.79906734047506,113.52871460173833,121.35982605921699,68.66837879335962,83.76629174684767,125.24913214345423,160.9998621126234,148.46452058112502,114.90153171342868,163.3046418655464,125.97609595734231,129.68543490593044,154.31472130650275,145.495228358125,139.5414216927953,95.64088281436909,152.94315014195627,165.94868975628134
Seiko Kinetic watch,164.80867672135298,119.69856274820182,129.94059862676323,154.27597473562102,109.27952707409753,0.0,77.83321024107542,108.03991620330004,25.094706502851633,140.63092970598052,169.78937693718999,118.45797964691522,196.71633460560446,111.38459812501428,114.71955659593604,142.0717227096985,142.27418155978506,120.03264793640015,133.08442219058264,177.95466071151557,176.44490754773386,154.78261971756177,120.50280921578653,170.80438550257256,106.02414637609468,113.45568184960861,134.85370754270255,100.15700908328972,194.31342556500118,56.43528967572085,82.82098739066946,168.346551762017,190.84192717928244,191.85401195304973,192.83488592704376,159.03294323583523,111.36780016747507,84.66369564186094,100.1237631313413
AA battery harvester,124.45561041968504,109.42976469226858,92.18673875694435,105.25055480343022,68.35691668488285,77.83321024107542,0.0,96.69014608986609,58.022440909471385,108.52195537393165,129.1042481654979,106.24132465953211,161.75956745144452,132.7336669176454,74.69858159260362,138.39290117811174,134.9195931245118,114.76380804578919,119.2628800675723,137.5668022518145,134.84643375339166,127.4495287501522,122.87809752532434,145.56477409808983,107.31854217050484,119.32498664284215,138.87034164680875,125.45103947943099,184.8147043347019,99.5532689325238,129.74419841478905,161.3722786102841,154.12178908454396,181.44123800982857,175.82067171362667,145.22798241322036,114.08234689851415,110.19432428075115,120.99117561009362
Socket,147.47918750324476,105.26776376312044,146.27658840523583,106.00553579392205,120.4907178489476,108.03991620330004,96.69014608986609,0.0,85.6177399071026,135.26699111838823,128.02969474220825,86.72323243931923,148.88153607249495,95.09693369566783,107.24788283792114,137.79274136557362,139.1367415532147,94.0266177487546,98.12975523415545,152.03446128001895,159.58170406252196,123.71672495672003,101.83882633942272,120.14335965395857,126.5512606530719,122.49043631764467,124.10972818482676,141.10780574474398,133.5511807164112,115.23222448432688,146.8520022478719,135.38981617985286,152.12516106601913,158.22078057774732,149.83129344935307,155.05694074941363,132.56478251788846,139.77582605270095,154.83497861998578
Kinetic flashlight,145.0310237603864,100.71212046776974,125.98983732154105,133.26260994854746,104.86827039530142,25.094706502851633,58.022440909471385,85.6177399071026,0.0,132.03753718909167,147.89009843706654,99.44967565611704,174.4169837174801,92.44722971140231,109.43951493719503,130.78845480987192,130.4794125657758,110.72269051692274,121.93106552674462,158.73325221188097,156.911773025072,144.06483841040122,100.70292350530244,160.09598817117725,110.09281330919978,121.2291773222329,132.29263215617354,120.7862098301922,175.0723686683979,54.99001061993792,89.90213938777669,162.93884200412018,172.98926634042382,179.24581028101704,173.75818631555225,148.2734955806413,122.35601337484682,106.1024695183135,121.41669400127009
MIDE Voiture,88.6012053978138,121.54754240654745,84.19996910513257,65.38999558333069,43.83680989310131,140.63092970598052,108.52195537393165,135.26699111838823,132.03753718909167,0.0,38.257499400128616,137.83581871693676,79.19826833975873,123.49803911310913,61.44610628503973,150.92175146869903,144.12444727074222,144.61863229107692,131.901335878973,127.58487183629688,108.07920882772123,147.9043558368798,115.42927231610184,137.9223447053517,70.3462070943624,85.33529489490948,106.37456973480653,173.26487596844603,123.29917938535013,118.83394338455254,173.92070836166178,107.6892621671022,145.55717048729474,148.7192211381789,138.67793209012802,156.68547041669274,129.88422983918798,190.78567219046897,204.23760861866919
Bistable buckling harvester,69.6087518990402,121.49597524984068,109.24300438231893,43.35508970300828,80.90514455594291,169.78937693718999,129.1042481654979,128.02969474220825,147.89009843706654,38.257499400128616,0.0,140.70751982502924,46.15315489205291,105.02459895842887,96.74327015660116,147.80367150799887,140.96697597100297,137.8657110816071,111.71005112126886,106.05027632613638,106.97543943141673,139.81009828949195,102.39875884241033,112.04556849119966,102.88198816434156,117.87146573325923,137.24562055147842,205.68659932557915,104.25240335045349,147.66657540406945,203.26580238221928,98.6664122826523,123.28549326707265,124.03224182873011,113.36202174734565,153.41778829018355,161.66510812343583,222.50115049109877,236.6401981955012
Heel-impact shoe harvester,121.47560917976143,62.25589018470961,113.04245275795844,134.63259130685765,137.901359178194,118.45797964691522,106.24132465953211,86.72323243931923,99.44967565611704,137.83581871693676,140.70751982502924,0.0,158.74186188629938,107.48433547960131,127.50086049076826,94.86793296555861,96.71600619983977,106.99960318254615,116.08907251323609,121.16480399717518,106.22333393249696,117.99838168198285,142.23890182355382,135.00494745199288,123.51247090649511,119.35410594864078,127.18738515010503,127.44642985733284,105.22746907066059,112.49797739623091,127.67445341792718,132.30571292283707,144.34924915567134,106.63893637383913,101.55421116199751,114.02155698988115,147.04205194661523,137.66679237147122,149.28462659207304
Innowattech road/rail,96.30082973797977,136.39735433893256,127.56171966440508,74.78322259127928,112.10122813248525,196.71633460560446,161.75956745144452,148.88153607249495,174.4169837174801,79.19826833975873,46.15315489205291,158.74186188629938,0.0,125.73769409476611,125.02573703705795,163.96515919074355,157.13820586528212,167.16211303117063,141.08709664772655,124.65713334512539,125.1310497445126,162.032954577555,132.44290658418973,130.3120221550991,131.80754639557196,146.31757782701968,173.33646262517226,236.36237910818096,117.03583781755941,172.89142058059355,230.7040078741753,135.36472611377812,145.41015193838786,138.93362091782197,128.26340083643754,169.8406745603849,192.30030343762385,252.54944921934725,267.09420240227655
Piezo backpack straps,129.40309669387312,102.6270105179699,151.0259310687885,120.72926208747002,136.30469611555216,111.38459812501428,132.7336669176454,95.09693369566783,92.44722971140231,123.49803911310913,105.02459895842887,107.48433547960131,125.73769409476611,0.0,155.36023418576178,158.29910443643072,150.84775816096246,127.88739512414747,112.79233805659486,146.78830828279968,152.08885572267454,150.58571388062362,87.68056921932383,134.31182481149787,132.9927229325877,148.30389464035534,159.05842695946777,175.71870016774588,136.9312169968562,101.84931507921128,144.87978810585224,137.73098943626673,147.73025275629033,136.00021421146891,128.3752938298891,180.6690982015073,178.40194609830587,175.82178712956636,195.38737330766844
U Texas prototype Piezo Vib,112.00427048446409,124.4263422580045,75.2404598984528,55.68489799982869,29.651042498264815,114.71955659593604,74.69858159260362,107.24788283792114,109.43951493719503,61.44610628503973,96.74327015660116,127.50086049076826,125.02573703705795,155.36023418576178,0.0,133.8635802838652,131.16608401275445,122.61191087708751,116.82435696713347,116.62856814994925,114.31301610613568,125.13892864180761,130.29341606002635,123.44020639017242,73.23304721612408,67.18331991773347,110.4841372808971,150.03317311302865,150.54990620412306,119.98380704965643,153.90578306472014,119.43215630463004,133.58910022709992,158.13557010974378,150.03295526502302,128.65940361278462,84.81880227435356,142.37450786173582,155.64578934746436
WindTamer,94.90337878585241,70.72341134020236,91.76579221911497,123.60532542853824,131.65891435031216,142.0717227096985,138.39290117811174,137.79274136557362,130.78845480987192,150.92175146869903,147.80367150799887,94.86793296555861,163.96515919074355,158.29910443643072,133.8635802838652,0.0,12.84494536693193,70.01356429136273,83.6990833177216,65.59063239375662,61.422751369457046,90.97302481556306,143.55803012053067,108.6425089714252,143.81702053227986,141.23863700794752,138.45197377325783,156.06258098289777,108.91096761334676,164.1957462611234,157.2917764063909,144.53535588605422,107.12866917271836,76.59551953358135,81.2087971794374,55.198486535930996,126.83942756441176,134.32315711330352,145.83187280887086
Leviathan,86.51775799644139,67.33350070808008,86.9771643210443,118.568138378364,127.05719170913979,142.27418155978506,134.9195931245118,139.1367415532147,130.4794125657758,144.12444727074222,140.96697597100297,96.71600619983977,157.13820586528212,150.84775816096246,131.16608401275445,12.84494536693193,0.0,68.33939142255537,76.55373409744298,57.07887678175426,53.152874283904794,93.19510614676533,141.11509421203718,104.38337129852782,138.49091367198727,137.29826940873738,140.73615722051468,160.17710880071195,109.47239921587547,162.88012745226067,159.11718877831163,138.53055635428157,99.88814057713078,69.98654809915685,73.95776235302203,46.828419384168775,122.28611815405736,132.93301762762712,143.18814542607703
Enviro Engergies,132.7955461563337,97.25453929539178,137.8111429042693,107.90436074082594,117.58885666742293,120.03264793640015,114.76380804578919,94.0266177487546,110.72269051692274,144.61863229107692,137.8657110816071,106.99960318254615,167.16211303117063,127.88739512414747,122.61191087708751,70.01356429136273,68.33939142255537,0.0,26.155659960338234,105.65713812928381,110.1885456096984,85.63824556111096,102.30068340349371,106.04772412118811,130.04722741215966,128.47668068250454,117.47592316163198,128.65298138262625,137.90448074868556,147.2127322445468,135.03972874530191,104.65435213825343,100.55567663715452,105.0228776968907,107.26559680383124,104.61264703083633,95.52853595382534,107.47510672836961,119.13227477268538
Four Seasons,113.75818399139213,104.38432915924041,135.08619994529315,82.92299862258709,111.11882124640931,133.08442219058264,119.2628800675723,98.12975523415545,121.93106552674462,131.901335878973,111.71005112126886,116.08907251323609,141.08709664772655,112.79233805659486,116.82435696713347,83.6990833177216,76.55373409744298,26.155659960338234,0.0,89.93380232410811,110.3362830816267,96.34596600574757,108.00235222412823,93.05429213035436,124.18397107210866,123.9067870441835,120.8169798181799,146.9419769151601,136.02339556422172,153.436430047323,150.5665219738763,82.6634921840741,86.1742597875743,92.38261555619559,92.16289380091727,108.39256272552747,93.00617081570462,127.75611754839029,139.3768691250888
Humdinger Wind Belt,46.942663277425154,88.79462579032192,72.73278363317316,81.41792927102757,112.87322951787674,177.95466071151557,137.5668022518145,152.03446128001895,158.73325221188097,127.58487183629688,106.05027632613638,121.16480399717518,124.65713334512539,146.78830828279968,116.62856814994925,65.59063239375662,57.07887678175426,105.65713812928381,89.93380232410811,0.0,35.207878277562024,108.880475402921,141.4442953306687,79.76187009632679,149.54238829297555,149.45981487365955,165.89835264616767,199.25949999725765,105.33934803867318,186.59254082561085,190.32966708412366,124.91943658894868,70.44538335434109,62.023414885545634,56.485831982339796,68.12093634523549,138.67069193217716,174.835287127371,190.10152855471813
Michigan U piezo flag,66.43292683412434,93.67382910673537,69.2118796837503,101.25359347622502,110.04940004304231,176.44490754773386,134.84643375339166,159.58170406252196,156.911773025072,108.07920882772123,106.97543943141673,106.22333393249696,125.1310497445126,152.08885572267454,114.31301610613568,61.422751369457046,53.152874283904794,110.1885456096984,110.3362830816267,35.207878277562024,0.0,116.03776692446358,149.30263449807893,106.49218828749684,129.53100011752713,129.09764114819302,144.83189457662596,175.31262030896843,96.65013491048407,166.4056811671232,167.9416149810896,124.10837032281408,88.22895979875284,66.32005540408137,59.67614568143625,64.38616865997534,135.87734277910192,174.9550356021743,188.569412934074
