,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Perpetuum FSH/C,0.0,57.94375919345443,62.35305500670275,65.20261380767853,82.70167625968372,170.48602301710332,114.35230604492318,129.5795978027846,143.29220205410184,58.67689025245501,43.416240484125595,114.9151115299567,70.71541857602156,99.99017042451742,100.12549801778243,134.12354632756936,101.63223440156702,111.24270733227607,94.75390352642165,63.63838513016739,68.49404746443889,151.7664824443871,105.81683034510164,102.88530399747987,122.63075488086588,136.76680368956372,167.4548627488798,203.0400424472734,83.6149809785336,163.9503510429706,213.84984486706023,106.6458380452781,135.11095158610354,108.47602635758658,91.97026405950606,131.9429568815259,152.7246502315181,209.6894529660829,230.023467283621
Enocean Eco 100,57.94375919345443,0.0,92.19093910829054,95.01622400312156,112.75520552277771,135.48466369328563,124.1683286821801,106.243039412561,108.5824618378648,102.37279722457218,86.69355721564415,79.63010139231575,94.6671231692803,91.96590738404372,130.3035263406922,109.02688604245289,100.24331717381747,100.27644349773762,104.93415861245421,102.16752441803439,107.53010351877492,129.22228752559695,101.00487083958114,104.54910020688492,125.85267441308362,142.36348353729682,164.49974806236196,184.64516658299266,86.12364666216645,137.03439153101198,183.50325674151557,120.44403311409424,137.53371823376006,110.29366193024764,87.52361843092977,150.41829757577366,162.62984345529617,186.3183543987661,203.11398026470326
Clarkson U prototype,62.35305500670275,92.19093910829054,0.0,69.52887706456416,31.17822518599516,145.82566114505448,74.70096311786763,160.3899302376322,134.31962830097072,58.241402475122854,81.74048831197148,123.7756414385826,96.31712037537952,124.31302525313345,56.87494962378307,156.76278761169445,124.53765768893777,146.64504970697013,121.26667926026613,106.57682023128268,92.56656029795194,176.3936515098782,148.9482031818414,141.38035507291755,101.72343509647119,120.86876482192311,178.6774234319213,180.2644828065143,129.65650111528757,147.7665212695015,178.5061781276267,127.51606582294485,160.5850175208699,133.3449612173575,110.57491771803963,156.01546971503893,125.18110578820863,162.1091467250213,178.78094715548082
Michigan U PFIG,65.20261380767853,95.01622400312156,69.52887706456416,0.0,51.34104802313246,163.09219304480632,90.25039999182879,107.0262310469744,135.19341758299532,65.37342818502522,41.52616583738248,104.43910066226755,59.14982049741512,84.11358940702382,58.494827091401405,165.4117683962518,146.99380648195256,121.03262330050718,95.65425285380317,95.16575398567292,115.02270909096671,150.7812251034152,111.30009681081236,115.02270909096673,113.58808275653948,118.62337084999805,168.60365025766123,179.29213156367274,103.66461875927568,157.08761325303388,197.54346553093083,96.33529924510064,148.77986092769262,121.53980462418018,98.76976112486228,178.4716185080537,154.76837520057472,190.44901805946435,210.49875742804426
U Texas prototype Induc Vib,82.70167625968372,112.75520552277771,31.17822518599516,51.34104802313246,0.0,132.09819598323068,65.71252037181569,151.796132120029,119.96004130044422,47.7699206819507,73.07231536549602,131.0410164351094,85.75181985933672,112.71315828027431,29.768624347995527,179.0644750251299,146.83934510237322,138.38313802307638,113.00476757637239,126.9254414842637,114.86824771138738,196.95791792436538,141.51396745554203,158.4163020310053,78.8494614597111,101.07306239630506,170.0587589696266,157.14128969110178,142.55679445271056,128.58618642715123,167.45369303006106,113.7963319735071,179.51533373021715,152.27527742670472,129.50523392738683,178.31715712847435,117.36763018038572,153.04827303927536,170.1487030758461
Seiko Kinetic watch,170.48602301710332,135.48466369328563,145.82566114505448,163.09219304480632,132.09819598323068,0.0,119.64007858210007,123.56584038672933,28.215163912980294,142.15702758579235,160.13363907233685,127.37714360386346,164.56615022468668,97.80146814697596,139.82695440132568,181.95137773600672,170.8127152209784,155.73468432415746,151.51306640154976,214.7097882416833,204.77801201508922,219.6873760948733,138.72882386392806,202.17963340164746,112.10590256264439,136.00227810030046,162.54435401653794,116.16429183026113,188.7704752066848,51.52351119568634,88.91165387181994,188.43287062509987,249.76364247532874,207.54157042656198,199.75354267249838,218.94005819821777,151.64623399429243,89.88623723656437,125.38989518236014
AA battery harvester,114.35230604492318,124.1683286821801,74.70096311786763,90.25039999182879,65.71252037181569,119.64007858210007,0.0,129.19180549150406,93.38072342593293,95.25675771234233,105.75162485326223,124.03723064277196,131.84609430514158,122.58114171156352,75.86289879380041,208.37104108376775,176.1459111610111,164.32184912992875,138.94347868322475,158.57607126950313,144.17481377002522,227.9165839357524,176.1414561747992,193.65568624501108,124.94373590551598,147.16733684210988,201.01742498101365,157.3111097375797,182.43981907358238,130.71791620992636,152.4754973510126,152.70808682962186,212.02135879797808,184.7813024944657,162.01125899514776,189.86318905380526,135.44984957782756,118.52060566047716,130.13107899583056
Socket,129.5795978027846,106.243039412561,160.3899302376322,107.0262310469744,151.796132120029,123.56584038672933,129.19180549150406,0.0,96.83241216593277,140.74504752683976,112.51073226795441,101.64208028199057,127.93293994324044,87.96663461269144,143.59569374310092,173.50042453903978,178.30154512284608,124.85081792169245,130.75133366476445,159.4399256191435,177.84771771829847,173.50042453903978,110.68678768973106,146.33044773186026,163.7276749911842,168.18065858960708,140.52676311831053,159.09672091948468,125.93717356277836,129.5159963430955,173.89213250674825,171.0070943059041,207.8513324332836,180.61127612977117,158.4363264455454,209.77935714894724,188.39040562486358,172.0014492307248,206.87468259755707
Kinetic flashlight,143.29220205410184,108.5824618378648,134.31962830097072,135.19341758299532,119.96004130044422,28.215163912980294,93.38072342593293,96.83241216593277,0.0,128.91960974067976,133.10804311985407,99.6365623676371,136.82556898846033,69.82359557237262,126.68544904101797,176.34244789942733,164.0494679888812,150.4680491456894,145.09649659714455,187.51596727868179,177.75332300535834,211.4503079937078,112.07188551005018,189.89754306753233,121.27792376248186,142.01906833742336,153.3174919938587,132.91044146244477,161.30676389082453,44.568714450880435,86.04621270571113,160.56177915276615,222.77035847263045,195.53030216911796,172.76025866980007,210.70299009705232,167.26361720174626,115.22440326963391,150.72806121542965
MIDE Voiture,58.67689025245501,102.37279722457218,58.241402475122854,65.37342818502522,47.7699206819507,142.15702758579235,95.25675771234233,140.74504752683976,128.91960974067976,0.0,30.800559774478636,125.67833964590307,64.7761724076741,91.27314787174659,69.95205885017073,169.478458579628,137.25332865687128,129.02813803773077,103.6497675910268,116.79812403290848,86.93893705406563,199.13058487611718,118.22360510581605,146.59322638379658,78.81577457798164,97.96110430343354,127.78562464048026,157.3620110677367,107.1233801185386,124.85886075101197,172.44806757457738,90.95230887364734,164.93797227735982,137.6979159738474,114.92787247452951,168.73114068297247,126.3959644379544,179.9574725862494,199.1782796107481
