,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Perpetuum FSH/C,0.0,71.5,57.5,61.5,85.5,205.0,140.5,157.0,172.0,64.0,42.0,141.5,75.5,128.0,107.5,127.5,106.0,139.0,118.0,47.5,71.5,139.0,119.0,95.0,144.0,161.0,181.5,259.0,83.0,209.5,259.5,124.0,121.5,111.0,97.5,115.0,181.0,241.0,271.0
Enocean Eco 100,71.5,0.0,90.0,108.0,118.0,155.5,133.0,119.5,122.5,123.5,109.5,76.0,132.0,106.5,136.0,108.0,104.5,115.5,126.5,92.0,114.0,125.5,126.5,107.5,146.5,161.5,187.0,213.5,88.5,164.0,216.0,147.5,138.0,119.5,106.0,123.5,185.5,199.5,223.5
Clarkson U prototype,57.5,90.0,0.0,78.0,28.0,177.5,109.0,179.5,164.5,69.5,99.5,152.0,120.0,172.5,50.0,114.0,100.5,149.5,144.5,74.0,70.0,141.5,156.5,121.5,118.5,133.5,181.0,227.5,128.5,192.0,234.0,163.5,142.0,137.5,126.0,109.5,143.5,199.5,225.5
Michigan U PFIG,61.5,108.0,78.0,0.0,58.0,209.5,113.0,125.5,178.5,79.5,47.5,160.0,86.0,138.5,62.0,140.0,134.5,127.5,108.5,68.0,102.0,141.5,126.5,101.5,146.5,151.5,183.0,245.5,116.5,224.0,264.0,135.5,140.0,135.5,120.0,143.5,169.5,223.5,253.5
U Texas prototype Induc Vib,85.5,118.0,28.0,58.0,0.0,165.5,81.0,167.5,152.5,49.5,87.5,180.0,124.0,176.5,22.0,142.0,128.5,137.5,132.5,102.0,98.0,167.5,152.5,147.5,106.5,121.5,169.0,213.5,156.5,188.0,230.0,159.5,168.0,165.5,154.0,137.5,123.5,179.5,205.5
Seiko Kinetic watch,205.0,155.5,177.5,209.5,165.5,0.0,124.5,134.0,35.0,193.0,219.0,147.5,255.5,131.0,169.5,176.5,175.0,170.0,191.0,223.5,221.5,222.0,174.0,222.0,153.0,162.0,216.5,126.0,230.0,69.5,123.5,251.0,267.5,234.0,245.5,196.0,180.0,96.0,128.0
AA battery harvester,140.5,133.0,109.0,113.0,81.0,124.5,0.0,132.5,93.5,126.5,142.5,128.0,179.0,157.5,81.0,189.0,177.5,182.5,179.5,155.0,151.0,210.5,197.5,196.5,161.5,176.5,226.0,164.5,209.5,145.0,179.0,214.5,217.0,216.5,207.0,174.5,180.5,132.5,150.5
Socket,157.0,119.5,179.5,125.5,167.5,134.0,132.5,0.0,99.0,175.0,145.0,95.5,175.5,97.0,155.5,167.5,182.0,135.0,150.0,167.5,195.5,177.0,136.0,155.0,192.0,193.0,184.5,170.0,144.0,146.5,196.5,189.0,209.5,193.0,179.5,201.0,219.0,178.0,212.0
Kinetic flashlight,172.0,122.5,164.5,178.5,152.5,35.0,93.5,99.0,0.0,174.0,186.0,116.5,222.5,96.0,156.5,168.5,167.0,166.0,187.0,190.5,188.5,214.0,141.0,212.0,175.0,188.0,199.5,157.0,197.0,57.5,113.5,226.0,238.5,224.0,214.5,190.0,204.0,127.0,159.0
MIDE Voiture,64.0,123.5,69.5,79.5,49.5,193.0,126.5,175.0,174.0,0.0,38.0,169.5,85.5,142.0,71.5,163.5,142.0,163.0,150.0,109.5,79.5,191.0,149.0,155.0,94.0,113.0,137.5,209.0,117.0,175.5,227.5,128.0,169.5,151.0,137.5,151.0,157.0,219.0,247.0
Bistable buckling harvester,42.0,109.5,99.5,47.5,87.5,219.0,142.5,145.0,186.0,38.0,0.0,159.5,49.5,106.0,109.5,167.5,146.0,145.0,124.0,77.5,85.5,171.0,121.0,121.0,126.0,145.0,165.5,241.0,87.0,201.5,253.5,106.0,137.5,119.0,103.5,155.0,189.0,247.0,279.0
Heel-impact shoe harvester,141.5,76.0,152.0,160.0,180.0,147.5,128.0,95.5,116.5,169.5,159.5,0.0,182.0,106.5,174.0,140.0,150.5,157.5,170.5,154.0,150.0,161.5,184.5,165.5,178.5,179.5,183.0,157.5,124.5,136.0,166.0,175.5,186.0,153.5,142.0,171.5,229.5,171.5,193.5
Innowattech road/rail,75.5,132.0,120.0,86.0,124.0,255.5,179.0,175.5,222.5,85.5,49.5,182.0,0.0,140.5,146.0,188.0,166.5,185.5,164.5,100.0,106.0,191.5,158.5,135.5,162.5,181.5,205.0,279.5,102.5,236.0,292.0,151.5,158.0,141.5,126.0,177.5,227.5,281.5,315.5
Piezo backpack straps,128.0,106.5,172.5,138.5,176.5,131.0,157.5,97.0,96.0,142.0,106.0,106.5,140.5,0.0,198.5,196.5,175.0,174.0,155.0,146.5,158.5,200.0,119.0,156.0,177.0,196.0,209.5,211.0,129.0,109.5,167.5,158.0,176.5,152.0,136.5,198.0,238.0,199.0,235.0
U Texas prototype Piezo Vib,107.5,136.0,50.0,62.0,22.0,169.5,81.0,155.5,156.5,71.5,109.5,174.0,146.0,198.5,0.0,138.0,144.5,149.5,148.5,120.0,116.0,165.5,166.5,149.5,112.5,109.5,159.0,201.5,162.5,194.0,234.0,173.5,182.0,181.5,172.0,139.5,125.5,181.5,207.5
WindTamer,127.5,108.0,114.0,140.0,142.0,176.5,189.0,167.5,168.5,163.5,167.5,140.0,188.0,196.5,138.0,0.0,21.5,70.5,83.5,94.0,88.0,118.5,174.5,126.5,145.5,144.5,142.0,212.5,140.5,214.0,206.0,155.5,138.0,96.5,110.0,70.5,134.5,162.5,182.5
