Product,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Perpetuum FSH/C,0.0,0.12202380952380952,0.11011904761904762,0.10714285714285714,0.15178571428571427,0.39880952380952384,0.24107142857142858,0.26785714285714285,0.3273809523809524,0.10714285714285714,0.07142857142857142,0.25892857142857145,0.125,0.21428571428571427,0.19345238095238096,0.27976190476190477,0.21428571428571427,0.24107142857142858,0.20238095238095238,0.08928571428571429,0.13095238095238096,0.30952380952380953,0.22321428571428573,0.19047619047619047,0.27976190476190477,0.32142857142857145,0.36904761904761907,0.5119047619047619,0.16071428571428573,0.39880952380952384,0.5238095238095238,0.23809523809523808,0.2648809523809524,0.23214285714285715,0.19940476190476192,0.22023809523809523,0.3392857142857143,0.4791666666666667,0.5357142857142857
Enocean Eco 100,0.12202380952380952,0.0,0.20238095238095238,0.19345238095238096,0.24404761904761904,0.3005952380952381,0.27380952380952384,0.22321428571428573,0.22916666666666666,0.22916666666666666,0.1875,0.1488095238095238,0.21726190476190477,0.19345238095238096,0.2857142857142857,0.22321428571428573,0.22321428571428573,0.22023809523809523,0.24107142857142858,0.17559523809523808,0.22916666666666666,0.25892857142857145,0.22023809523809523,0.19940476190476192,0.3005952380952381,0.34226190476190477,0.36607142857142855,0.4375,0.1636904761904762,0.3125,0.4375,0.28273809523809523,0.2857142857142857,0.25297619047619047,0.22023809523809523,0.25892857142857145,0.37797619047619047,0.42857142857142855,0.4791666666666667
Clarkson U prototype,0.11011904761904762,0.20238095238095238,0.0,0.14583333333333334,0.041666666666666664,0.37202380952380953,0.17261904761904762,0.3482142857142857,0.33035714285714285,0.12797619047619047,0.18154761904761904,0.32142857142857145,0.21726190476190477,0.30654761904761907,0.08333333333333333,0.3005952380952381,0.23511904761904762,0.32142857142857145,0.28273809523809523,0.1636904761904762,0.15178571428571427,0.3601190476190476,0.3333333333333333,0.2708333333333333,0.24702380952380953,0.28869047619047616,0.40773809523809523,0.4791666666666667,0.2708333333333333,0.3898809523809524,0.49107142857142855,0.3244047619047619,0.3273809523809524,0.29464285714285715,0.2619047619047619,0.24107142857142858,0.28869047619047616,0.39880952380952384,0.4494047619047619
Michigan U PFIG,0.10714285714285714,0.19345238095238096,0.14583333333333334,0.0,0.11607142857142858,0.4226190476190476,0.20535714285714285,0.22023809523809523,0.35119047619047616,0.1488095238095238,0.08333333333333333,0.28273809523809523,0.14285714285714285,0.23214285714285715,0.12202380952380952,0.32142857142857145,0.2857142857142857,0.25297619047619047,0.21428571428571427,0.125,0.20238095238095238,0.2916666666666667,0.24702380952380953,0.20238095238095238,0.30357142857142855,0.32142857142857145,0.39285714285714285,0.5119047619047619,0.20833333333333334,0.43452380952380953,0.5416666666666666,0.2619047619047619,0.28869047619047616,0.25595238095238093,0.22321428571428573,0.2916666666666667,0.35119047619047616,0.46130952380952384,0.5178571428571429
U Texas prototype Induc Vib,0.15178571428571427,0.24404761904761904,0.041666666666666664,0.11607142857142858,0.0,0.3541666666666667,0.13095238095238096,0.33035714285714285,0.3125,0.09821428571428571,0.1636904761904762,0.3630952380952381,0.22321428571428573,0.3125,0.041666666666666664,0.34226190476190477,0.2767857142857143,0.30357142857142855,0.2648809523809524,0.20535714285714285,0.19345238095238096,0.4017857142857143,0.3273809523809524,0.3125,0.22916666666666666,0.2708333333333333,0.3898809523809524,0.46130952380952384,0.3125,0.38392857142857145,0.4851190476190476,0.31845238095238093,0.36904761904761907,0.33630952380952384,0.30357142857142855,0.28273809523809523,0.25892857142857145,0.36904761904761907,0.41964285714285715
Seiko Kinetic watch,0.39880952380952384,0.3005952380952381,0.37202380952380953,0.4226190476190476,0.3541666666666667,0.0,0.28869047619047616,0.25595238095238093,0.07142857142857142,0.38095238095238093,0.4166666666666667,0.3125,0.47023809523809523,0.25,0.36607142857142855,0.35714285714285715,0.35714285714285715,0.3482142857142857,0.38095238095238093,0.4523809523809524,0.4523809523809524,0.4583333333333333,0.33035714285714285,0.42857142857142855,0.31547619047619047,0.35714285714285715,0.4166666666666667,0.27976190476190477,0.42857142857142855,0.14285714285714285,0.26785714285714285,0.5238095238095238,0.5625,0.47619047619047616,0.49702380952380953,0.39880952380952384,0.375,0.22321428571428573,0.30952380952380953
AA battery harvester,0.24107142857142858,0.27380952380952384,0.17261904761904762,0.20535714285714285,0.13095238095238096,0.28869047619047616,0.0,0.2708333333333333,0.21726190476190477,0.22321428571428573,0.25297619047619047,0.2857142857142857,0.3125,0.28273809523809523,0.13095238095238096,0.43154761904761907,0.36607142857142855,0.39285714285714285,0.3541666666666667,0.29464285714285715,0.28273809523809523,0.49107142857142855,0.4166666666666667,0.4017857142857143,0.31845238095238093,0.3601190476190476,0.4791666666666667,0.38392857142857145,0.4017857142857143,0.31845238095238093,0.40773809523809523,0.40773809523809523,0.4583333333333333,0.4255952380952381,0.39285714285714285,0.33630952380952384,0.3482142857142857,0.2916666666666667,0.33035714285714285
Socket,0.26785714285714285,0.22321428571428573,0.3482142857142857,0.22023809523809523,0.33035714285714285,0.25595238095238093,0.2708333333333333,0.0,0.18452380952380953,0.30952380952380953,0.24404761904761904,0.18154761904761904,0.2857142857142857,0.16666666666666666,0.3125,0.35119047619047616,0.36904761904761907,0.2767857142857143,0.2976190476190476,0.2916666666666667,0.35714285714285715,0.35119047619047616,0.24702380952380953,0.2857142857142857,0.38095238095238093,0.39880952380952384,0.3333333333333333,0.35119047619047616,0.25,0.27380952380952384,0.39880952380952384,0.3869047619047619,0.41369047619047616,0.38095238095238093,0.3482142857142857,0.375,0.43452380952380953,0.38392857142857145,0.47023809523809523
Kinetic flashlight,0.3273809523809524,0.22916666666666666,0.33035714285714285,0.35119047619047616,0.3125,0.07142857142857142,0.21726190476190477,0.18452380952380953,0.0,0.3333333333333333,0.34523809523809523,0.24107142857142858,0.39880952380952384,0.17857142857142858,0.3244047619047619,0.35119047619047616,0.35119047619047616,0.3482142857142857,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.44642857142857145,0.25892857142857145,0.40476190476190477,0.35714285714285715,0.39880952380952384,0.375,0.3392857142857143,0.35714285714285715,0.1130952380952381,0.23809523809523808,0.4523809523809524,0.49107142857142855,0.4583333333333333,0.4255952380952381,0.3869047619047619,0.4166666666666667,0.28869047619047616,0.375
MIDE Voiture,0.10714285714285714,0.22916666666666666,0.12797619047619047,0.1488095238095238,0.09821428571428571,0.38095238095238093,0.22321428571428573,0.30952380952380953,0.3333333333333333,0.0,0.06547619047619048,0.3125,0.14285714285714285,0.23214285714285715,0.13988095238095238,0.3333333333333333,0.26785714285714285,0.3005952380952381,0.2619047619047619,0.19047619047619047,0.13095238095238096,0.4107142857142857,0.28273809523809523,0.2857142857142857,0.19047619047619047,0.23214285714285715,0.2916666666666667,0.4226190476190476,0.21428571428571427,0.3333333333333333,0.4583333333333333,0.24404761904761904,0.31845238095238093,0.2857142857142857,0.25297619047619047,0.27380952380952384,0.30357142857142855,0.44345238095238093,0.5
