Product,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Perpetuum FSH/C,0.0,0.47674418604651164,0.4065934065934066,0.42857142857142855,0.4857142857142857,0.8072289156626506,0.6,0.75,0.7746478873239436,0.4444444444444444,0.375,0.7073170731707317,0.6363636363636364,0.7741935483870968,0.5462184873949579,0.6762589928057554,0.6153846153846154,0.6428571428571429,0.6017699115044248,0.38461538461538464,0.4943820224719101,0.7222222222222222,0.7281553398058253,0.6464646464646465,0.7230769230769231,0.75,0.8157894736842105,0.8269230769230769,0.6923076923076923,0.8481012658227848,0.88,0.6896551724137931,0.7355371900826446,0.7090909090909091,0.6767676767676768,0.6218487394957983,0.7169811320754716,0.8009950248756219,0.8
Enocean Eco 100,0.47674418604651164,0.0,0.576271186440678,0.5909090909090909,0.6212121212121212,0.6273291925465838,0.6052631578947368,0.6048387096774194,0.5620437956204379,0.6814159292035398,0.6631578947368421,0.43103448275862066,0.7849462365591398,0.6435643564356436,0.6575342465753424,0.5319148936170213,0.5769230769230769,0.5522388059701493,0.6183206106870229,0.5673076923076923,0.6581196581196581,0.5918367346938775,0.6491228070175439,0.5982142857142857,0.696551724137931,0.7232704402515723,0.754601226993865,0.7101449275362319,0.6111111111111112,0.6774193548387096,0.7461928934010152,0.7037037037037037,0.7058823529411765,0.68,0.6491228070175439,0.635036496350365,0.7175141242937854,0.7058823529411765,0.7092511013215859
Clarkson U prototype,0.4065934065934066,0.576271186440678,0.0,0.44954128440366975,0.13333333333333333,0.6944444444444444,0.4084507042253521,0.7697368421052632,0.6894409937888198,0.4174757281553398,0.6039603960396039,0.7105263157894737,0.73,0.8110236220472441,0.23529411764705882,0.6273291925465838,0.5683453237410072,0.6835443037974683,0.6551724137931034,0.5045871559633027,0.4594594594594595,0.7076023391812866,0.8,0.6946564885496184,0.5804195804195804,0.6178343949044586,0.7740112994350282,0.7285067873303167,0.7913043478260869,0.7485714285714286,0.7746478873239436,0.7315436241610739,0.7333333333333333,0.7122302158273381,0.6875,0.574468085106383,0.5739644970414202,0.6504854368932039,0.6593886462882096
Michigan U PFIG,0.42857142857142855,0.5909090909090909,0.44954128440366975,0.0,0.35135135135135137,0.7802197802197802,0.48936170212765956,0.5967741935483871,0.7468354430379747,0.5,0.358974358974359,0.6834532374100719,0.5925925925925926,0.7222222222222222,0.3445378151260504,0.6835443037974683,0.6808510638297872,0.6071428571428571,0.5669291338582677,0.4375,0.6017699115044248,0.6405228758169934,0.6974789915966386,0.6017699115044248,0.6986301369863014,0.6923076923076923,0.7857142857142857,0.7818181818181819,0.7142857142857143,0.8295454545454546,0.8465116279069768,0.6666666666666666,0.708029197080292,0.6825396825396826,0.6521739130434783,0.6853146853146853,0.6820809248554913,0.7380952380952381,0.7435897435897436
U Texas prototype Induc Vib,0.4857142857142857,0.6212121212121212,0.13333333333333333,0.35135135135135137,0.0,0.6467391304347826,0.30985915492957744,0.7115384615384616,0.6363636363636364,0.3142857142857143,0.5238095238095238,0.7349397590361446,0.6944444444444444,0.7777777777777778,0.11764705882352941,0.6571428571428571,0.6078431372549019,0.6296296296296297,0.5973154362416108,0.5609756097560976,0.52,0.7297297297297297,0.7534246575342466,0.7241379310344828,0.5238095238095238,0.5652173913043478,0.7237569060773481,0.6888888888888889,0.813953488372093,0.712707182320442,0.7442922374429224,0.6903225806451613,0.7560975609756098,0.738562091503268,0.7183098591549296,0.6129032258064516,0.5087719298245614,0.5961538461538461,0.6103896103896104
Seiko Kinetic watch,0.8072289156626506,0.6273291925465838,0.6944444444444444,0.7802197802197802,0.6467391304347826,0.0,0.5159574468085106,0.5276073619631901,0.16666666666666666,0.7441860465116279,0.8383233532934131,0.5932203389830508,0.9349112426035503,0.5833333333333334,0.6373056994818653,0.6091370558375635,0.6451612903225806,0.6190476190476191,0.6808510638297872,0.8260869565217391,0.8085106382978723,0.719626168224299,0.6686746987951807,0.782608695652174,0.585635359116022,0.6153846153846154,0.6829268292682927,0.4392523364485981,0.8571428571428571,0.3,0.44554455445544555,0.8421052631578947,0.875,0.8163265306122449,0.8608247422680413,0.6907216494845361,0.6,0.3694581280788177,0.4482758620689655
AA battery harvester,0.6,0.6052631578947368,0.4084507042253521,0.48936170212765956,0.30985915492957744,0.5159574468085106,0.0,0.5652173913043478,0.4451219512195122,0.5319148936170213,0.6296296296296297,0.5714285714285714,0.7608695652173914,0.6551724137931034,0.2953020134228188,0.7073170731707317,0.6721311475409836,0.6875,0.664804469273743,0.6470588235294118,0.6129032258064516,0.7674418604651163,0.7954545454545454,0.7714285714285715,0.6045197740112994,0.6335078534031413,0.7630331753554502,0.5682819383259912,0.8490566037735849,0.5783783783783784,0.6199095022624435,0.7405405405405405,0.7938144329896907,0.7814207650273224,0.7674418604651163,0.6312849162011173,0.582089552238806,0.4666666666666667,0.4805194805194805
Socket,0.75,0.6048387096774194,0.7697368421052632,0.5967741935483871,0.7115384615384616,0.5276073619631901,0.5652173913043478,0.0,0.4460431654676259,0.7647058823529411,0.7192982456140351,0.46564885496183206,0.8421052631578947,0.5283018867924528,0.65625,0.686046511627907,0.7560975609756098,0.6078431372549019,0.6666666666666666,0.7368421052631579,0.8108108108108109,0.686046511627907,0.6484375,0.7058823529411765,0.7619047619047619,0.7528089887640449,0.6706586826347305,0.5841584158415841,0.7368421052631579,0.5822784810126582,0.67,0.8024691358024691,0.8323353293413174,0.8205128205128205,0.8068965517241379,0.7590361445783133,0.7448979591836735,0.6262135922330098,0.6723404255319149
Kinetic flashlight,0.7746478873239436,0.5620437956204379,0.6894409937888198,0.7468354430379747,0.6363636363636364,0.16666666666666666,0.4451219512195122,0.4460431654676259,0.0,0.7368421052631579,0.8111888111888111,0.5294117647058824,0.9241379310344827,0.5,0.6264367816091954,0.6413043478260869,0.6820809248554913,0.6610169491525424,0.7272727272727273,0.8,0.7804878048780488,0.75,0.6126760563380281,0.8095238095238095,0.6818181818181818,0.7052631578947368,0.6774193548387096,0.5377358490566038,0.8333333333333334,0.26573426573426573,0.43243243243243246,0.8216216216216217,0.859375,0.850828729281768,0.8411764705882353,0.7222222222222222,0.6829268292682927,0.4801980198019802,0.5454545454545454
MIDE Voiture,0.4444444444444444,0.6814159292035398,0.4174757281553398,0.5,0.3142857142857143,0.7441860465116279,0.5319148936170213,0.7647058823529411,0.7368421052631579,0.0,0.3055555555555556,0.7446808510638298,0.6153846153846154,0.7428571428571429,0.3949579831932773,0.7133757961783439,0.6666666666666666,0.696551724137931,0.6666666666666666,0.6153846153846154,0.4489795918367347,0.8117647058823529,0.7786885245901639,0.7741935483870968,0.5161290322580645,0.5652173913043478,0.6621621621621622,0.7029702970297029,0.75,0.717948717948718,0.7777777777777778,0.6507936507936508,0.7697841726618705,0.75,0.7264957264957265,0.6715328467153284,0.6296296296296297,0.7303921568627451,0.7368421052631579
