,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Perpetuum FSH/C,0.0,15.98162383159868,23.764982709903716,21.033550033847913,33.247178824056505,53.12727211593809,49.92033371084189,31.230632727420645,41.60707764574017,17.90666317262698,10.622357855452886,32.84654641325087,18.35738172995943,11.260948657806662,40.148607543609835,39.514626013844264,31.60849810752087,40.29087272575919,33.91552268028933,17.43422821758908,19.18631986816245,41.76076022670973,18.521816117649898,18.63070189001157,37.264171430341975,43.2526043755988,45.62323620543278,73.30757032886342,8.828072029207895,46.03159556208626,64.25921843330057,27.042810157735644,29.19602652378411,19.45553536767705,13.731875832641762,34.68344063478629,55.21599414715299,73.94104822452543,85.08717277321041
Enocean Eco 100,15.98162383159868,0.0,12.154147700612027,14.611257046274837,22.96469778656292,41.639355638256795,38.34942628390579,20.22096341643515,30.198373998988817,14.46487050928876,17.862418114503072,20.864830830514524,29.438704549655245,12.840764514392859,30.000817392933918,27.170900128334008,19.281405167616697,29.4977759780329,23.479462624594394,9.047835283296804,7.730886732494891,30.241171526546843,8.139692612598916,6.134859197168398,26.733706401260157,32.67859792845938,35.37728526108438,61.31336367873308,21.013963270525913,34.753865084302376,52.24615349512567,17.28387568049003,18.674144612183976,8.565892090402992,6.862503871840691,23.258922492251692,44.575106591047344,62.120671229277576,73.76723248391663
Clarkson U prototype,23.764982709903716,12.154147700612027,0.0,12.720342865772148,15.743805412548767,33.94588877955967,31.711442501426422,13.151756118936566,22.408546484789536,14.544399711772616,24.387047085094338,12.931886988152959,36.27338704573369,19.64060277390924,23.01959231173067,17.678096333973308,10.021004464200349,22.23703569618383,16.510696280242453,12.706898462057316,9.55274591806272,22.21276534284426,10.563632563767513,11.250305491963076,19.216109103052247,25.47989158088943,28.92182576120139,53.5164580439787,27.960921379973104,27.099103287853435,45.07111270262679,11.131436639317764,10.40680104031549,12.896530001679398,14.614287831581118,14.453245080230245,37.49063487116711,54.22142154846076,66.16552654054031
Michigan U PFIG,21.033550033847913,14.611257046274837,12.720342865772148,0.0,17.26547124182879,37.523976402830144,36.03206091090741,13.425935244254825,26.137100801628808,5.791405597899286,20.40225939563899,20.975798037384465,31.050785696989195,16.228534940144687,24.823071128792524,25.185119331676237,18.882853381907267,23.10586944596414,16.08373271709772,14.052944112329401,12.689007261533686,25.940183501521172,11.401243626177777,14.115802054139678,21.113950819934033,27.628392872587543,29.869991428303873,57.339761736752486,24.77167302645827,30.425914104486253,48.7251370298971,9.325386251762321,15.74954780001776,15.895609495419667,14.36509008014404,18.971147093872894,40.21637487002785,58.39838872309529,69.17870949739681
U Texas prototype Induc Vib,33.247178824056505,22.96469778656292,15.743805412548767,17.26547124182879,0.0,23.751544298587397,23.338516795788603,11.830816916899057,14.42686755270058,20.681259053310768,33.65975711414921,17.039647987952694,44.10975718254705,28.348377907485897,12.106568284725725,18.86591094206762,16.67765106312571,13.064416355666067,12.395470538098628,23.409867737871856,20.94593747847711,17.89806876902991,20.70573945840274,21.1447298273083,6.176184850386738,14.422873786310934,18.112986304243808,44.65272355840993,36.863908182925194,16.50131439556248,35.81159805514301,11.59168866683405,16.413399571436116,21.558517017315634,24.090895417176096,16.249582488449175,27.683257835900164,45.63369801146306,56.462824258604876
Seiko Kinetic watch,53.12727211593809,41.639355638256795,33.94588877955967,37.523976402830144,23.751544298587397,0.0,16.08000557352815,26.99876510371825,15.037181936979744,41.19399662643945,54.392802539933406,25.671560643450462,66.00984631485919,47.61406745675559,20.1245522754076,21.95526875582807,28.030212000446824,19.04240024798315,25.999947081645917,42.05040284544412,38.859725695635625,19.234342385902302,39.4558656880858,38.7499190897218,19.964952557042995,16.103936241250352,20.407196134972075,26.351423852271854,57.52100777114085,9.519884649607535,18.050806225814846,31.188497603949433,30.054992300238876,38.05939707981054,42.835228087304024,25.447313478538124,18.00043239033349,28.488427471940014,39.36296183541757
AA battery harvester,49.92033371084189,38.34942628390579,31.711442501426422,36.03206091090741,23.338516795788603,16.08000557352815,0.0,26.33158205557569,17.489257764094603,38.79644052160528,50.96497024787657,24.21190788654174,61.92534015837486,45.922099764960876,20.196576885423266,22.573752772329907,25.6519404133506,20.86011204074235,26.17194116426603,38.017079212677366,35.67247718390491,17.603332543147463,36.90558457591245,35.92018143387352,21.554604415516515,17.606360585072046,18.84506862509981,30.98027204829814,54.82437550323762,16.16119155540213,20.519185436461903,29.76715411614138,27.266162580138513,35.524294514241305,39.98441522296157,23.71312603163087,18.18486222939262,29.549437266969708,40.395457452859546
Socket,31.230632727420645,20.22096341643515,13.151756118936566,13.425935244254825,11.830816916899057,26.99876510371825,26.33158205557569,0.0,15.304421416394186,17.33641498695542,31.360440579962233,14.434327109886599,42.867694034771894,25.741983233028353,18.165389767875553,16.33319045848782,12.34175215952331,12.867867586671776,6.024240777371841,20.032169215693266,17.278511333529888,15.293157127701804,17.172777550028368,18.120594243571748,13.682509539439016,19.412976760675534,21.436003987669483,46.771282012714764,35.41807152713917,20.238089211488592,38.373987802188324,8.168320030221471,11.460987147183046,18.41591866170742,21.49558501437197,10.063122394308921,31.005602172526654,47.980842919630184,58.825156875664334
Kinetic flashlight,41.60707764574017,30.198373998988817,22.408546484789536,26.137100801628808,14.42686755270058,15.037181936979744,17.489257764094603,15.304421416394186,0.0,29.62001575496459,42.93164843854833,16.336942734537722,54.18427306609341,36.52645671255017,15.234154176137976,14.799299356396801,17.096962255230583,10.105564496504378,14.630252944933703,30.322508194791506,27.537968465287303,10.884936597216061,27.918619717929946,27.57256010124996,11.798512776335004,14.354581416622494,17.786524742388515,37.09990127622406,45.672341820582275,8.17463072449008,28.446524559301373,19.45219286517235,19.175858351886244,26.869466536901346,31.46500404822225,15.539423400830422,22.137831372968684,38.25947251496765,48.856749381355925
MIDE Voiture,17.90666317262698,14.46487050928876,14.544399711772616,5.791405597899286,20.681259053310768,41.19399662643945,38.79644052160528,17.33641498695542,29.62001575496459,0.0,16.94646297649087,23.718281948965654,28.098477609440284,14.820507568168981,28.296650050940816,28.13707624170997,21.372554263604282,26.802534949196673,20.26808924945945,13.594864708633228,13.255579515016064,28.803803194420144,12.603221070189646,14.954682250393088,25.003390517920757,31.44434549601223,33.31873140028709,60.76618610639941,21.880972035874215,34.06156403761008,52.07986880597551,12.983930271269523,17.1566402190174,17.224712421840294,14.580325893509947,21.5655635031699,43.43865923414595,61.36019261100525,72.09682543946823
Bistable buckling harvester,10.622357855452886,17.862418114503072,24.387047085094338,20.40225939563899,33.65975711414921,54.392802539933406,50.96497024787657,31.360440579962233,42.93164843854833,16.94646297649087,0.0,34.56864468230483,17.010578953312976,12.869058023046312,40.64161972846556,39.91664496552991,32.1280816324361,40.22746873066387,33.708624189471784,16.142546223701522,18.568915267109517,42.31277351370529,18.922110264432185,19.334589141587763,37.752755400514886,43.820202954822925,45.74075522980423,73.78804006660079,11.690771518634872,47.34325558324715,64.74956884915208,26.743975383009953,29.401893575955704,22.16706648383415,16.813276003196734,34.88962520449729,55.80206771514226,74.06251657244071,85.48394620329107
