,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Perpetuum FSH/C,0.0,14.422205101855946,20.149441679609872,15.491933384829663,25.690465157330248,38.729833462074154,35.74912586343894,22.045407685048588,30.692018506445606,12.727922061357855,5.291502622129176,25.690465157330255,14.071247279470285,10.677078252031308,31.144823004794873,34.69870314579492,26.832815729997467,29.799328851502672,24.939927826679842,13.190905958272912,16.186414056238643,34.69870314579492,14.422205101855944,16.186414056238643,28.425340807103776,33.852621759621506,32.771939216347874,53.25410782277741,6.4807406984078595,33.55592347112502,47.0319040652194,22.93468988235942,23.87467277262664,19.13112646970898,14.42220510185595,28.6356421265527,40.84115571332428,52.36410984634417,61.04096984812742
Enocean Eco 100,14.422205101855946,0.0,11.224972160321814,9.591663046625431,17.54992877478424,30.98386676965932,27.892651361962695,13.114877048603985,22.67156809750926,6.324555320336751,16.12451549659709,17.549928774784245,22.93468988235942,12.727922061357845,23.36664289109585,26.83281572999746,18.439088914585767,21.63330765278393,16.431676725154972,9.273618495495697,4.898979485566352,26.83281572999746,2.136474487466561e-14,4.898979485566349,20.49390153191919,26.191601707417586,24.779023386727726,45.82575694955842,16.970562748477132,25.690465157330244,39.49683531626301,14.491376746189431,15.165750888103094,9.48683298050513,1.9206557332534355e-14,20.49390153191919,33.166247903554,44.96665431183422,53.81449618829485
Clarkson U prototype,20.149441679609872,11.224972160321814,0.0,10.488088481701501,11.224972160321819,26.191601707417576,23.065125189341575,6.480740698407848,17.320508075688764,12.88409872672511,21.494185260204663,11.224972160321823,27.99999999999999,17.999999999999982,17.54992877478425,22.315913604421375,13.341664064126324,16.67333200053306,10.583005244258349,16.24807680927191,13.190905958272905,22.315913604421382,11.224972160321816,13.190905958272902,14.49137674618943,20.493901531919192,19.89974874213239,41.35214625627068,22.583179581272418,20.44504830026086,35.014282800023196,7.483314773547873,9.797958971132708,9.999999999999988,11.224972160321812,15.937377450509215,28.6705423736629,40.69397989875159,49.69909455915671
Michigan U PFIG,15.491933384829663,9.591663046625431,10.488088481701501,0.0,16.370705543744887,30.789608636681283,27.820855486487094,13.490737563232027,22.22611077089286,6.480740698407853,16.370705543744894,16.370705543744894,23.10844001658268,12.409673645990843,21.954498400100142,27.202941017470867,18.97366596101027,21.908902300206638,16.431676725154972,14.352700094407322,12.247448713915889,27.20294101747087,9.59166304662543,12.247448713915885,19.18332609325086,24.698178070456922,24.8596057893121,45.65084884205332,18.16590212458495,25.099800796022254,39.44616584663204,13.490737563232027,16.062378404209003,10.488088481701508,9.591663046625431,21.26029162546929,33.28663395418648,45.05552130427522,53.94441583704471
U Texas prototype Induc Vib,25.690465157330248,17.54992877478424,11.224972160321819,16.370705543744887,0.0,21.633307652783916,18.493242008906908,13.856406460551007,11.916375287812974,18.654758106177617,26.832815729997467,2.2340725312878304e-14,33.13608305156177,23.280893453645614,11.224972160321826,18.220867158288574,14.071247279470276,11.99999999999998,11.045361017187245,22.315913604421393,19.493588689617916,18.220867158288577,17.54992877478424,19.493588689617912,7.4833147735478756,14.491376746189434,15.297058540778343,37.094473981982816,28.071337695236394,15.2315462117278,30.7896086366813,7.483314773547876,16.431676725154972,16.67333200053306,17.549928774784238,16.8522995463527,24.49489742783177,36.68787265568826,45.8257569495584
Seiko Kinetic watch,38.729833462074154,30.98386676965932,26.191601707417576,30.789608636681283,21.633307652783916,0.0,9.486832980505126,24.8193472919817,15.811388300841877,32.68026927673636,40.224370722237516,21.633307652783916,46.21688003316535,37.04051835490424,17.49285568453588,16.309506430300072,21.63330765278392,17.999999999999986,21.86321110907543,33.55592347112502,30.65941943351176,16.309506430300075,30.983866769659322,30.659419433511758,19.493588689617905,15.684387141358116,14.071247279470276,24.535688292770597,40.841155713324255,12.649110640673497,17.029386365926403,23.874672772626624,25.099800796022247,27.7488738510232,30.983866769659315,23.53720459187962,7.615773105863897,23.664319132398443,33.58571124749332
AA battery harvester,35.74912586343894,27.892651361962695,23.065125189341575,27.820855486487094,18.493242008906908,9.486832980505126,0.0,21.494185260204667,11.99999999999998,29.69848480983498,37.28270376461448,18.493242008906908,43.26661530556786,34.117444218463945,14.422205101855933,11.91637528781297,17.99999999999999,14.071247279470276,18.43908891458576,30.397368307141317,27.459060435491942,11.916375287812974,27.892651361962695,27.459060435491942,16.370705543744876,16.97056274847713,9.48683298050513,27.676705006196105,37.868192457522966,8.366600265340741,20.445048300260876,20.736441353327702,21.633307652783923,24.494897427831766,27.892651361962688,19.849433241279193,12.247448713915883,26.608269391300123,36.24913792078371
Socket,22.045407685048588,13.114877048603985,6.480740698407848,13.490737563232027,13.856406460551007,24.8193472919817,21.494185260204667,0.0,16.248076809271915,15.491933384829649,23.70653918225938,13.856406460551009,29.999999999999986,20.493901531919178,19.949937343259997,20.049937655763404,10.392304845413257,14.422205101855953,8.485281374238564,16.24807680927191,12.649110640673499,20.049937655763408,13.114877048603987,12.649110640673499,16.970562748477125,22.84731931759172,18.055470085267785,40.02499219237902,24.331050121192867,19.595917942265416,33.49626844888846,10.4880884817015,5.099019513592785,8.48528137423856,13.114877048603983,12.727922061357852,26.87005768508881,39.012818406262305,48.00000000000001
Kinetic flashlight,30.692018506445606,22.67156809750926,17.320508075688764,22.22611077089286,11.916375287812974,15.811388300841877,11.99999999999998,16.248076809271915,0.0,24.248711305964274,32.09361307176242,11.91637528781297,38.26225293941798,28.774989139876304,12.328828005937941,11.224972160321803,14.899664425751329,11.401754250991363,12.649110640673511,25.922962793631438,22.80350850198275,11.224972160321808,22.67156809750926,22.803508501982744,9.165151389911665,15.297058540778348,7.483314773547873,32.218007387174026,32.92415526630865,8.48528137423856,25.57342370508884,14.628738838327783,18.220867158288588,19.595917942265416,22.671568097509258,17.378147196982752,18.708286933869697,31.62277660168377,40.987803063838385
MIDE Voiture,12.727922061357855,6.324555320336751,12.88409872672511,6.480740698407853,18.654758106177617,32.68026927673636,29.69848480983498,15.491933384829649,24.248711305964274,0.0,13.78404875209022,18.654758106177624,20.784609690826525,9.797958971132704,24.207436873820402,28.94822965226024,20.784609690826517,23.748684174075827,18.439088914585763,11.489125293076057,9.38083151964686,28.94822965226024,6.324555320336748,9.380831519646858,21.447610589527198,26.944387170614945,26.720778431774768,47.47630988187689,15.49193338482967,27.12931993250106,41.25530268947254,15.811388300841884,17.832554500127003,12.489995996796784,6.324555320336753,22.93468988235942,35.07135583350036,46.79743582719034,55.641710972974224
