,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Perpetuum FSH/C,13.0,16.872804296188527,18.216041941070117,17.59289590135815,19.578695730820385,22.333641998741076,21.985045249437448,20.02108958651313,20.90593284365348,16.360743375962958,15.161151134361718,19.578695730820385,18.038365084587365,17.02251064820127,20.812033114242375,21.82125129733879,21.321855061712487,21.544881663085906,20.459227252639202,17.20223653133275,18.489594901551527,21.82125129733879,16.872804296188527,18.489594901551527,20.31616654634883,21.407694838001365,21.773485032334314,24.428877046448935,13.979815747363652,21.142083744896485,23.137933097615814,18.87424904064742,21.04560421224319,19.46072942823508,16.872804296188527,21.3956939135297,22.188068612534817,23.911883162711415,26.27525056241461
Enocean Eco 100,16.872804296188527,13.0,15.703070149508356,16.119796941635457,17.903163691988212,21.098660666501296,20.6123415455017,17.568897777416428,18.99926412935649,14.944866971651448,18.54187809400321,17.903163691988215,20.410419481247764,17.886231599425184,19.910936929557362,20.162772878292177,19.528526328621737,19.826346067228965,18.217828155010015,15.377847589924471,15.173599426758539,20.162772878292177,13.0,15.173599426758539,19.173863647511542,20.525540117671735,20.12446864310438,23.41126137135246,17.573995005056627,19.236782057373137,22.08516214189029,16.717196852634665,19.19510229993429,16.82611883500485,13.0,19.604452097195004,21.015668419676874,22.87972695146677,25.19715006233723
Clarkson U prototype,18.216041941070117,15.703070149508356,8.0,11.177307217885755,10.849489525182848,15.478110456577394,15.080556220290868,11.27216786551653,12.984265272485414,16.580585789327927,19.719923260013484,10.849489525182847,21.48845151541894,19.300816314444134,13.415156780729221,14.919798928764669,13.829512860964897,14.193637733077457,12.127049415916106,16.849674391235276,16.855786605874567,14.919798928764669,15.703070149508354,16.855786605874567,12.502531787072217,14.14916067220058,14.642913898014504,18.92366948514728,18.96824476165233,13.318362762597168,16.83727347821091,9.350153348907257,13.499239646618486,11.603943526647308,15.703070149508356,14.21356302978916,15.80488911566605,17.92124751406479,20.62633335912062
Michigan U PFIG,17.59289590135815,16.119796941635457,11.177307217885755,8.0,12.657109310998415,17.03593844873171,16.675999366402998,13.776079208612492,15.13968815347825,14.989265484777235,17.800576226646957,12.65710931099842,20.261900655675163,17.701291402095134,13.764040725903053,16.580179698928745,15.670800066081766,15.956029877196785,14.447452983392296,17.84333978831096,17.88062410475236,16.580179698928745,16.11979694163546,17.880624104752357,13.402275731372246,14.269918662127258,16.289651697925834,19.61226781627221,18.323156847261505,15.294994554486337,18.08763328898137,11.898552973019271,15.314333811559845,12.94181707011128,16.119796941635457,16.036955343271664,17.343541281583274,18.735167628906936,21.058045294050736
U Texas prototype Induc Vib,19.578695730820385,17.903163691988212,10.849489525182848,12.657109310998415,8.0,14.543737327755029,14.17834974483064,11.704716834861019,12.18359664124175,17.688917691847568,20.53782098465508,8.0,22.578301663390537,20.50929482355984,11.659385922025107,14.254318885223281,13.90596047333352,13.634551198701875,12.062427483894512,18.93422746519634,18.384857757789465,14.254318885223281,17.903163691988215,18.38485775778947,10.522547648721922,12.455153932501233,13.823543652483897,17.6402181819858,20.266450741895312,12.362288509451659,15.758149767973471,9.59456999971541,14.56014280182631,12.76577063591095,17.903163691988212,14.306244904752994,14.980141445676642,16.585598455338317,19.47239504406658
Seiko Kinetic watch,22.333641998741076,21.098660666501296,15.478110456577394,17.03593844873171,14.543737327755029,8.0,9.205418056967156,15.469940318419754,12.55869151515715,21.182518634518487,23.270617579414093,14.543737327755029,24.324285913347115,23.13349442807018,13.17677307211576,11.159490519104601,11.921248521285516,11.094847399925031,14.696327216267122,21.926146915356075,21.424784631096436,11.159490519104601,21.098660666501296,21.424784631096436,14.088383633163511,12.653705805763872,10.200934289744039,13.47610183659238,22.871109774320594,11.743952919384537,11.335049880735223,14.979998981964389,12.660741467472628,16.26147639389205,21.098660666501296,12.205281399191303,10.337238008057549,13.183984697973003,16.59013072151398
AA battery harvester,21.985045249437448,20.6123415455017,15.080556220290868,16.675999366402998,14.17834974483064,9.205418056967156,8.0,14.879467193284716,12.038845633599102,20.906378119436688,23.052847169745213,14.178349744830639,24.040444676216005,22.8288572114118,12.959335657900096,10.418107236548042,10.767353870758994,9.923104409275668,14.074863089229067,21.453922276687546,20.94102265860887,10.418107236548042,20.6123415455017,20.94102265860887,13.729219504907936,12.696603372831357,9.012101071779432,13.83213140227651,22.499228434251968,11.382135222248333,11.830809547034145,14.557095736593267,11.886364612554358,15.712592344494798,20.6123415455017,11.232715490729746,10.48314463028023,13.71175545229969,17.00861411259674
Socket,20.02108958651313,17.568897777416428,11.27216786551653,13.776079208612492,11.704716834861019,15.469940318419754,14.879467193284716,8.0,12.8008395980002,18.65465455345538,21.307293162162125,11.70471683486102,22.529783706911626,20.788652884490702,14.94071066763263,14.371321618517255,13.06461928343328,13.60548270461212,10.27054303035126,17.459021633396787,16.29964046250885,14.371321618517255,17.568897777416428,16.29964046250885,13.860981308543439,15.609209055527034,14.26320912842119,18.97799514460472,20.58521839770754,13.633456345174908,16.875404660184994,11.588161067794852,12.616089555853785,9.712238866570432,17.568897777416428,13.438254594128015,15.631567503393937,17.956898655599474,20.55858933968231
Kinetic flashlight,20.90593284365348,18.99926412935649,12.984265272485414,15.13968815347825,12.18359664124175,12.55869151515715,12.038845633599102,12.8008395980002,8.0,19.711577085497336,22.129843851611426,12.183596641241746,23.547546935683513,21.997189934924446,10.669001310974997,12.510679746439417,12.438212602964255,11.905219700500044,11.79007285615899,19.243362670042753,18.953545026440864,12.510679746439417,18.99926412935649,18.953545026440864,11.699917584780616,12.026201142984224,11.663398390193523,16.701378327524097,21.495450696071185,9.47923959508228,14.377251871560723,12.520304960148108,12.875987939357065,13.621332498908261,18.999264129356483,13.248226704550666,13.199982585117867,15.662723580770622,18.6135823912188
MIDE Voiture,16.360743375962958,14.944866971651448,16.580585789327927,14.989265484777235,17.688917691847568,21.182518634518487,20.906378119436688,18.65465455345538,19.711577085497336,13.0,17.121388632700306,17.688917691847575,19.45809395750765,16.606047785974464,18.974815750618916,20.684872678223737,20.063934408296195,20.36684363530719,19.233494571115738,16.781951154727025,16.823970311307622,20.684872678223734,14.944866971651448,16.82397031130762,18.463188209628303,19.43627932234271,20.64280567545136,22.812133770793753,17.17077827920851,19.784742095760727,21.90119044874238,17.099401698050634,19.848080311819658,18.162721967638653,14.944866971651448,20.19737453903031,21.26495546699816,22.303595971594035,24.771512063981113
Bistable buckling harvester,15.161151134361718,18.54187809400321,19.719923260013484,17.800576226646957,20.53782098465508,23.270617579414093,23.052847169745213,21.307293162162125,22.129843851611426,17.121388632700306,13.0,20.53782098465508,17.20822936176393,16.706637024476272,21.01148258581495,22.83915047166751,22.335527820179355,22.578659710442874,21.745328116374854,18.72343982153732,19.8608779303408,22.83915047166751,18.54187809400321,19.8608779303408,20.914607430452218,21.01198257525108,22.81866277004909,24.399648554185703,15.56830388497195,22.217500108872553,23.610118312230934,20.132764547635585,22.0430261722369,20.770907614219784,18.54187809400321,22.38789459502577,23.225398362244324,23.94235543870173,25.291322664820925
Heel-impact shoe harvester,19.578695730820385,17.903163691988215,10.849489525182847,12.65710931099842,8.0,14.543737327755029,14.178349744830639,11.70471683486102,12.183596641241746,17.688917691847575,20.53782098465508,8.0,22.578301663390537,20.509294823559845,11.659385922025107,14.25431888522328,13.90596047333352,13.634551198701875,12.062427483894512,18.93422746519634,18.38485775778947,14.254318885223281,17.903163691988215,18.38485775778947,10.522547648721925,12.455153932501233,13.823543652483897,17.6402181819858,20.266450741895312,12.362288509451657,15.758149767973471,9.594569999715413,14.56014280182631,12.765770635910947,17.903163691988215,14.306244904752994,14.980141445676642,16.58559845533832,19.47239504406658
Innowattech road/rail,18.038365084587365,20.410419481247764,21.48845151541894,20.261900655675163,22.578301663390537,24.324285913347115,24.040444676216005,22.529783706911626,23.547546935683513,19.45809395750765,17.20822936176393,22.578301663390537,13.0,17.928584740549955,23.381490727142722,23.703768485078655,23.277581336702816,23.51092284151525,22.973201062656816,20.671408937773176,21.459484161395196,23.70376848507865,20.410419481247764,21.459484161395196,23.085468510416668,23.61229809251469,23.75233620323082,25.971627959837768,17.85525589628914,23.784656639927377,24.899293574874914,22.025670522818057,23.105769523308627,22.14282662383308,20.410419481247764,23.366793744485843,24.196308030160246,25.458937009965403,26.98240693933833
Piezo backpack straps,17.02251064820127,17.886231599425184,19.300816314444134,17.701291402095134,20.50929482355984,23.13349442807018,22.8288572114118,20.788652884490702,21.997189934924446,16.606047785974464,16.706637024476272,20.509294823559845,17.928584740549955,13.0,21.389384750824696,22.48658612227982,21.843264706285733,22.186466776611386,21.3443848326521,18.384448351204888,19.352909671354226,22.48658612227982,17.886231599425184,19.352909671354226,21.119034257298555,21.56740945583859,22.51445519384113,24.930881723681868,17.837456281586856,22.193230102082893,23.884224984510535,19.875987592868622,21.622318826925078,20.32004804288999,17.886231599425184,21.94117105734054,23.08875996832253,24.438225661157535,25.629909388668064
U Texas prototype Piezo Vib,20.812033114242375,19.910936929557362,13.415156780729221,13.764040725903053,11.659385922025107,13.17677307211576,12.959335657900096,14.94071066763263,10.669001310974997,18.974815750618916,21.01148258581495,11.659385922025107,23.381490727142722,21.389384750824696,8.0,13.856699913659632,13.639901194360231,13.194300235141393,14.045508639842392,21.12326635916193,20.85099970702078,13.856699913659632,19.91093692955736,20.85099970702078,10.394648153236476,9.509491531462219,13.014422895052,16.435758971917185,21.334026981742124,10.61151528756673,14.71197306014635,12.52195175330315,14.047521518529654,15.719731194977193,19.910936929557362,14.452817926405691,13.97694026130483,15.69072197851305,18.271342953199813
