,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Perpetuum FSH/C,0.0,9.992821092540058,10.52221836687671,10.608006971660021,12.806348381962493,19.609281606180154,15.626853358912344,15.636766058176166,17.540181452697247,9.722840108997762,7.9369320517963855,15.41554159011473,10.20969530148188,13.395702596081108,14.910793884294526,15.943362382442993,13.663921181299017,14.747354181083656,13.500244623651518,8.74872883491904,10.121680294912496,16.963914506656998,13.790121066097571,12.831449940107879,16.325219441831322,18.108092785112238,18.54323427588722,22.82730586225608,11.374729775152618,19.233795514603766,22.3718654926923,14.490752552501,14.920605902475511,13.866668463798977,12.783821637983651,13.725484644930253,18.03993241297336,22.038348747665236,23.412858544419052
Enocean Eco 100,9.992821092540058,0.0,13.29169186598829,13.419494243139091,15.173672923423451,17.346658679220646,16.321075053135235,14.565458760699794,15.04687788305084,13.915804058820996,12.638481015535218,12.141777018360719,12.454632403139797,12.89384152344851,16.993954906888664,13.946972224678891,13.187816552267549,14.19280108025003,14.471575571651867,11.915648308528995,12.9712329320101,15.403183758701692,14.005178645710883,12.87862948705336,16.22241678741539,18.01180091535086,18.630313792806067,21.58311743111988,11.990557758125366,17.34322572580505,20.678956532579246,15.552689318732792,14.927061019663878,13.919556325762382,12.902125705902707,14.641024887744823,18.73597863129697,20.800406147024116,22.01026747597599
Clarkson U prototype,10.52221836687671,13.29169186598829,0.0,12.343301299416073,7.219981345542838,18.78300548243659,13.209317820455446,18.199742653535385,17.81736315158325,11.43744810374473,13.296482150753533,16.83065254720915,14.116804787131358,16.536995334210985,10.466866499338867,16.88339813796472,14.79424380552724,17.097330891265425,16.05857815732957,12.332534905781792,11.692430182607431,18.121059304410192,17.4960144781884,15.749648312297973,15.128227619097546,17.021593718242347,19.894453892436974,21.7894804026873,15.699787165803176,18.80089040503875,20.969118924274945,17.055823635942904,16.48742889032716,15.581515973002796,14.680217606440172,14.837422689395805,16.33830840128763,19.758443527608765,20.871905551448855
Michigan U PFIG,10.608006971660021,13.419494243139091,12.343301299416073,0.0,11.133493957435082,20.050874923795813,14.113694278436022,14.1181305623216,18.067893975634295,11.890172871695935,9.046520629595706,15.905473883696434,10.834499798530329,13.703438512789171,11.730858397574107,17.258616748449676,16.334821143885264,14.946083974170094,13.766640376495353,10.986156844758355,13.515958013522793,16.092290879613074,14.689324880945184,13.515958013522793,16.78627713239459,17.50571390844842,19.149544477982474,22.210650171494617,13.708144893353797,19.87897896027454,22.139491379108136,15.013879130022358,15.514598047181664,14.54439360652538,13.56935257437666,16.38676071134202,18.164141965173616,21.32659165272802,22.53784976652456
U Texas prototype Induc Vib,12.806348381962493,15.173672923423451,7.219981345542838,11.133493957435082,0.0,17.862780457619547,11.098145809071797,17.88631325992469,17.045230802477967,10.127553511774972,12.914784038252385,18.36150597128673,14.278655351769832,16.564401399651505,7.561838179341349,18.38707514696586,16.490323209368512,16.251983107922495,15.204899640214803,14.329877687357634,13.777666345245597,19.541940078637356,17.38363539300361,17.373079786105322,13.922297896415474,15.954604560209171,19.438588497681717,20.836850577242956,17.344146609916123,18.096420902231905,20.137250770405192,16.48938338152162,18.049883801392372,17.226582996131484,16.416181525662633,16.529279111048233,14.845965820624118,18.50293544479061,19.517994118057118
Seiko Kinetic watch,19.609281606180154,17.346658679220646,18.78300548243659,20.050874923795813,17.862780457619547,0.0,16.77991259654579,16.130084805154596,8.252073574057542,18.556613302873455,19.61168359723464,17.71829861224732,19.576530852002268,15.45338224929161,18.162535065257327,18.835024533881768,18.446173892710153,17.9892061400879,18.471843000284316,20.7020846785817,20.50935537150938,21.221908241571832,17.450997395938717,20.45523183305185,15.817548668610431,17.629845900822843,18.94863128376148,17.14489021714236,20.509746588013197,10.241059884505054,14.789134723702789,21.52411092276416,22.59670493989531,21.122576968666035,21.274375981656096,19.635733302776003,18.013239207487175,13.880094095409657,16.838269972871625
AA battery harvester,15.626853358912344,16.321075053135235,13.209317820455446,14.113694278436022,11.098145809071797,16.77991259654579,0.0,16.495656214911282,14.51541235877286,14.88017952027565,15.699643798617132,16.71947840258303,16.873647779180008,16.73988690978634,11.168507722297091,20.39293670308791,18.70525545864682,18.419698131209838,17.509637226489644,16.88611302077833,16.370961646478644,21.456852006166883,19.57946272417023,19.585661756360597,16.29823900507976,18.06452146971237,21.365731841198553,19.657502027442916,19.63634221326588,17.271167614769727,19.128764936564956,18.665952169441287,20.12943787263024,19.398789719836078,18.68817213834629,17.50503611596866,17.035678079272223,16.947663504105094,17.78200547291925
Socket,15.636766058176166,14.565458760699794,18.199742653535385,14.1181305623216,17.88631325992469,16.130084805154596,16.495656214911282,0.0,13.682306176227671,16.693680335838824,14.684742297437854,13.952694138283245,15.275451521610565,12.336966551103593,17.4143869618165,18.186552220291002,18.41366060105975,15.933666036889568,16.207853154232325,16.18493614376604,17.796869016203043,18.186552220291002,14.753722379858715,15.947818385424972,18.77109612906349,19.430523346197507,16.9904951452838,19.3298737427156,15.076753685821576,16.367383010610233,19.806768265681473,18.985118920183613,19.317040898530394,18.504889673240807,17.694892495780547,18.46801384539916,20.102030567193513,19.743070848935073,22.01371348000036
Kinetic flashlight,17.540181452697247,15.04687788305084,17.81736315158325,18.067893975634295,17.045230802477967,8.252073574057542,14.51541235877286,13.682306176227671,0.0,17.446804468873744,17.54490046635822,15.529524846313873,17.500694636695638,12.845169929150362,17.460313683342896,18.225065330148706,17.700562576125986,17.342507333748465,17.726057631413685,18.757647885195656,18.561895840269763,20.502933372765266,15.175524458402116,19.39524224999533,16.754682933919277,18.48727477147624,18.23873554575432,18.729010667139274,18.51368786986178,9.779719750022116,14.558430583433813,19.69877797320693,20.836620913517528,20.10723195371409,19.391264143015068,18.837689907331765,18.965505101838446,16.031441524445405,18.68928596631441
MIDE Voiture,9.722840108997762,13.915804058820996,11.43744810374473,11.890172871695935,10.127553511774972,18.556613302873455,14.88017952027565,16.693680335838824,17.446804468873744,0.0,7.744119095215083,17.229999494357546,10.957804067343075,13.871928566483174,12.671979504986252,17.674680669668078,15.650940403035738,15.610918402858836,14.47425953533859,13.013140599754932,11.067087088069318,19.50022466235842,15.040261353536184,15.924328998401784,13.36534858204007,15.47664355988007,16.49064193279388,20.618462825750854,13.760690320555005,17.359510386594888,20.68454564706793,14.26168139557302,16.795231953329832,15.866838697944296,14.930478419569235,15.70505693406826,16.332660035347423,20.811177964669927,22.052352079312627
