,Perpetuum FSH/C,Enocean Eco 100,Clarkson U prototype,Michigan U PFIG,U Texas prototype Induc Vib,Seiko Kinetic watch,AA battery harvester,Socket,Kinetic flashlight,MIDE Voiture,Bistable buckling harvester,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Leviathan,Enviro Engergies,Four Seasons,Humdinger Wind Belt,Michigan U piezo flag,Nova Energy tuna turbine,Columbia Power Manta buoy,Wing Wave Generator,Solar heat engine w/ mirrors,Tracking system,Inflatable mat,Big Belly trash compactor,Transparent film on window,Seiko Solar watch,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt TE-power ring,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,Kinesis wind/solar,Hymini wind/solar/crank
Perpetuum FSH/C,1.0,0.6666666666666667,0.7109375000000001,0.7024793388429753,0.6408450704225352,0.3399014778325123,0.5290697674418604,0.42675159235668797,0.38547486033519546,0.6949152542372882,0.7623762376237622,0.45625,0.5922330097087378,0.44615384615384607,0.5833333333333334,0.46590909090909094,0.5324675324675324,0.5030674846625767,0.5466666666666666,0.7391304347826089,0.6507936507936509,0.42541436464088395,0.4642857142857142,0.5294117647058824,0.43712574850299407,0.4033149171270719,0.3439153439153439,0.2979591836734693,0.5304347826086956,0.3128205128205128,0.2573839662447257,0.4771241830065358,0.4367088607594937,0.4693877551020408,0.5073529411764706,0.5256410256410257,0.41836734693877564,0.3235294117647059,0.3129770992366412
Enocean Eco 100,0.6666666666666667,1.0,0.5612903225806453,0.5578231292517005,0.514792899408284,0.48989898989899,0.5132275132275133,0.5341614906832297,0.5574712643678161,0.4866666666666665,0.5227272727272727,0.673202614379085,0.43846153846153846,0.5289855072463768,0.4754098360655737,0.5786516853932585,0.5508982035928143,0.5672514619883041,0.5178571428571429,0.5815602836879431,0.5000000000000001,0.5271739130434783,0.5099337748344372,0.5503355704697986,0.445054945054945,0.41326530612244905,0.3849999999999999,0.3975409836065573,0.5669291338582677,0.4531249999999999,0.37179487179487186,0.44767441860465107,0.44508670520231225,0.47530864197530864,0.5099337748344372,0.5000000000000001,0.40654205607476634,0.40248962655601667,0.39015151515151525
Clarkson U prototype,0.7109375000000001,0.5612903225806453,1.0,0.6643835616438355,0.9014084507042254,0.42396313364055305,0.6759776536312849,0.38095238095238093,0.4393939393939393,0.6928571428571428,0.5579710144927537,0.42857142857142866,0.46715328467153283,0.37195121951219506,0.8205128205128204,0.48989898989899,0.5511363636363635,0.44615384615384607,0.4780219780219781,0.6232876712328766,0.6554054054054054,0.4182692307692308,0.3672316384180791,0.4583333333333333,0.5388888888888889,0.5000000000000001,0.35981308411214946,0.37596899224806196,0.40131578947368424,0.38207547169811323,0.3399999999999999,0.4139784946236558,0.41176470588235287,0.43750000000000006,0.4666666666666668,0.5449438202247192,0.529126213592233,0.44855967078189307,0.4323308270676691
Michigan U PFIG,0.7024793388429753,0.5578231292517005,0.6643835616438355,1.0,0.7364864864864866,0.35159817351598166,0.6123595505617977,0.5403726708074534,0.39487179487179486,0.6350364963503649,0.756521739130435,0.4602272727272727,0.5932203389830509,0.46206896551724136,0.7371794871794872,0.44615384615384607,0.46067415730337075,0.519774011299435,0.5609756097560976,0.6842105263157895,0.5466666666666666,0.48421052631578954,0.4679487179487179,0.5466666666666666,0.442622950819672,0.4404145077720207,0.3560975609756098,0.3307392996108949,0.4814814814814814,0.3145539906103287,0.27777777777777773,0.47928994082840226,0.4425287356321838,0.47239263803680975,0.506578947368421,0.4555555555555555,0.4380952380952381,0.37246963562753044,0.35793357933579334
U Texas prototype Induc Vib,0.6408450704225352,0.514792899408284,0.9014084507042254,0.7364864864864866,1.0,0.4615384615384615,0.7541899441340782,0.4248704663212436,0.48019801980198024,0.7676056338028168,0.6126760563380281,0.39901477832512305,0.48275862068965525,0.38953488372093026,0.9102564102564101,0.4575471698113209,0.5105263157894737,0.48743718592964835,0.521505376344086,0.56875,0.5987654320987655,0.3918918918918919,0.3989071038251366,0.423076923076923,0.5815217391304348,0.5404040404040403,0.39908256880733944,0.40839694656488557,0.36746987951807225,0.408256880733945,0.36328125000000006,0.44270833333333337,0.38308457711442795,0.40526315789473694,0.4301675977653631,0.5052083333333334,0.5817307692307693,0.49387755102040826,0.47388059701492546
Seiko Kinetic watch,0.3399014778325123,0.48989898989899,0.42396313364055305,0.35159817351598166,0.4615384615384615,1.0,0.5688888888888888,0.5700000000000001,0.8674033149171272,0.3875598086124402,0.3137254901960785,0.5093457943925234,0.23300970873786409,0.5359116022099448,0.46521739130434775,0.48717948717948717,0.46188340807174877,0.4823008849557523,0.431111111111111,0.3122171945701358,0.3244444444444445,0.3864541832669323,0.4532019704433497,0.3484162895927602,0.5137614678899082,0.48275862068965525,0.42148760330578505,0.6254980079681274,0.29756097560975614,0.7563451776649748,0.6234309623430961,0.2845528455284552,0.2529644268774703,0.313304721030043,0.2770562770562771,0.41991341991342,0.48987854251012136,0.6875000000000001,0.6133828996282527
AA battery harvester,0.5290697674418604,0.5132275132275133,0.6759776536312849,0.6123595505617977,0.7541899441340782,0.5688888888888888,1.0,0.5404040404040403,0.63681592039801,0.5786516853932585,0.5058139534883721,0.5317073170731708,0.39999999999999997,0.4780219780219781,0.763440860215054,0.4008264462809918,0.44090909090909086,0.42358078602620075,0.4490740740740741,0.4789473684210525,0.5052083333333334,0.3452380952380952,0.34272300469483563,0.3632075471698113,0.5000000000000001,0.469298245614035,0.35080645161290325,0.5113636363636365,0.31122448979591844,0.5180180180180181,0.4689922480620154,0.3828828828828829,0.3333333333333333,0.3500000000000001,0.36842105263157904,0.4768518518518519,0.5084033613445379,0.6032388663967613,0.585820895522388
Socket,0.42675159235668797,0.5341614906832297,0.38095238095238093,0.5403726708074534,0.4248704663212436,0.5700000000000001,0.5404040404040403,1.0,0.6477272727272727,0.39884393063583823,0.4569536423841059,0.6369047619047618,0.36423841059602646,0.6083916083916084,0.46700507614213194,0.4354066985645933,0.38308457711442795,0.5105263157894737,0.46524064171123,0.4235294117647059,0.35135135135135137,0.4354066985645933,0.496969696969697,0.44508670520231225,0.375609756097561,0.3767441860465117,0.45098039215686286,0.5062761506276151,0.4437086092715233,0.5282051282051282,0.43459915611814354,0.3467336683417086,0.31862745098039214,0.3367875647668394,0.3571428571428572,0.37931034482758624,0.3733905579399141,0.4691358024691358,0.41911764705882365
Kinetic flashlight,0.38547486033519546,0.5574712643678161,0.4393939393939393,0.39487179487179486,0.48019801980198024,0.8674033149171272,0.63681592039801,0.6477272727272727,1.0,0.40740740740740744,0.35555555555555546,0.5736842105263157,0.26373626373626374,0.6178343949044586,0.48341232227488157,0.46606334841628955,0.4380952380952381,0.4532710280373832,0.3990610328638497,0.35025380710659904,0.36318407960198995,0.36708860759493667,0.5139664804469273,0.3365853658536585,0.43661971830985924,0.40969162995594716,0.4349775784753363,0.5421686746987951,0.33701657458563544,0.7888888888888891,0.6396396396396395,0.31531531531531526,0.27947598253275113,0.29357798165137616,0.3091787439613527,0.40092165898617516,0.42148760330578505,0.5941422594142258,0.5298507462686567
MIDE Voiture,0.6949152542372882,0.4866666666666665,0.6928571428571428,0.6350364963503649,0.7676056338028168,0.3875598086124402,0.5786516853932585,0.39884393063583823,0.40740740740740744,1.0,0.7981651376146789,0.41011235955056174,0.582608695652174,0.45070422535211263,0.6987179487179488,0.422680412371134,0.4767441860465116,0.445054945054945,0.47928994082840226,0.5460992907801419,0.6740740740740739,0.3333333333333333,0.40251572327044033,0.40372670807453415,0.6024844720496895,0.5542857142857142,0.47027027027027024,0.405857740585774,0.45864661654135336,0.4196891191709845,0.34468085106382984,0.4969325153374233,0.39204545454545464,0.4181818181818181,0.44805194805194803,0.47126436781609193,0.48743718592964835,0.3817427385892116,0.3660377358490567
