,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Columbia Power Manta buoy,Inflatable mat,Transparent film on window,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,74 Chevy Tailgate Support-RBS,B&D Cordless Screwdriver,B&D Weed Trimmer,Bissel Hand Vacuum,Bumble Ball Toy,Cadillac Slide-Out Visor-RBS,Crossfire Game,Dazey Fruit & Veg. Stripper-RBS,Dremel Electric Engraver-RBS,Green Eagle Putting Cup,Hot Glue Gun 21,Moen Kitchen Water Faucet,Paint Sprayer,Pneumatic Air Ratchet,Power Caulk 20,Presto Popcorn Popper,Real Power Tool Shop,SKIL Power Screwdriver-RBS,Salton Sandwich Maker,Stamp Machine 17,Super Maxx Ball Shooter-RBS,Wagner Paint Roller,bicycle brake 18
Heel-impact shoe harvester,0.0,109.00453087465775,80.3643925210409,111.82297044043015,122.78071146963647,122.10024174315822,156.04211575518596,108.18379337286085,140.7004138316552,123.7756414385826,166.71370853256232,116.703608729732,166.71370853256232,177.13529088091428,109.18179651602998,126.77584261736634,113.15116970005539,120.22246666728704,122.72827941253931,119.07171545120192,115.42005863729204,107.31133188938678,110.66940023380417,112.26556702430643,114.96621264908684,122.34934722935226,123.85389067757744,127.73781135382308,123.85081817632933,124.55475929635074,117.39480882485724,125.46530086745676,113.41924435272642,117.20201450906404,124.36731257099407,120.14711349496724,100.62682406634379
Innowattech road/rail,109.00453087465775,0.0,67.96254789353037,76.90635769040556,149.1212337679599,88.20892600825096,159.4193183377791,85.09472292151702,194.7068650227042,93.7264135423431,144.6772229721106,94.6671231692803,152.12586469376052,147.08606298467478,57.34769082020781,57.684660500436145,41.844256462503175,53.19551792358875,47.806284226381926,53.19869671151248,44.94087458095712,46.76934265308132,49.042920056680074,46.23331449597632,52.77517855496322,52.73904898642476,57.165212773184464,53.63135740057288,51.60819714856636,51.38415506180028,43.901185274113246,51.890635984352166,58.402825118496956,42.66012677116086,64.05150479373233,54.5708049203048,51.69003906237669
Piezo backpack straps,80.3643925210409,67.96254789353037,0.0,112.05863531674152,150.64648636009042,65.07806707197489,153.49592920825972,104.92685352854593,128.15060868285804,103.26440847026143,157.11887548421586,107.10877568138554,167.25109234711317,156.62405791259314,81.28837722147223,91.43558913140686,74.99912270955811,76.01222409931918,78.21225504009522,78.81790864058813,73.56118176579666,80.53612483614963,79.61988808935831,81.07060599802658,83.67635920041808,74.98461747013422,82.86084170145455,87.38153901146501,81.78230807824147,80.39392836700745,76.80134444482302,86.71716856957174,86.72801068598467,81.71133946394727,89.45545307601037,78.36113551232272,80.46354637349211
U Texas prototype Piezo Vib,111.82297044043015,76.90635769040556,112.05863531674152,0.0,158.8358777884988,134.31196505518608,149.44353767364646,128.63047136910475,165.98206489575725,116.33571862842115,180.97047071088537,130.96037090805507,154.39186699264954,112.12719472781274,119.46707593425573,106.8485567670737,103.14725568128782,112.96313978337182,108.54210981159147,115.90319217312683,108.41020962387243,102.0031800184211,108.33053739042913,103.90970086694033,112.44430524631268,115.07560931783983,116.96648312712472,110.12324546662485,109.54264505913225,114.25397247665472,102.50487066426872,102.14566666343877,108.2131329448679,101.2329025574174,119.82064862116358,114.85505349191548,108.2540738587419
WindTamer,122.78071146963647,149.1212337679599,150.64648636009042,158.8358777884988,0.0,146.97429174591852,121.084262156266,124.31500802569576,181.47567243328248,127.0141858087864,147.998384923633,100.27644349773762,100.17419174279563,135.78688740388552,147.5638273677735,163.29255121212705,153.47862603626425,159.90000348458,155.33094743789505,154.06116738070332,153.97129467162466,144.61309918340208,161.83563740099564,147.9415885132849,163.6599722718147,166.40917264261984,160.61827746913013,151.9880688177825,158.1200833718863,157.34422675757853,154.67747893585928,163.67126591330936,159.67043237407978,160.83059250607917,162.20532493839292,158.8636470627789,147.9491497278645
Columbia Power Manta buoy,122.10024174315822,88.20892600825096,65.07806707197489,134.31196505518608,146.97429174591852,0.0,136.04164946112263,100.0075235614372,167.23474970492933,108.29828532697027,139.46734668705147,121.38172861457993,182.5447301345702,172.5165099093687,98.29588121082382,105.22070694724049,92.12331910213383,101.95213724625481,90.53946274182515,94.970745375383,92.38805328728077,101.39940338099917,95.80165105197597,89.09346215412198,96.87657051613522,93.05394103256386,88.6436766084625,102.9378561964303,92.55126344305111,98.56958633963178,89.94923706113504,101.5205496622006,100.77233827701073,90.31509745396511,107.43404678043588,87.51512715690951,92.81749794291952
Inflatable mat,156.04211575518596,159.4193183377791,153.49592920825972,149.44353767364646,121.084262156266,136.04164946112263,0.0,132.3343205871894,120.61075780410656,108.9858794703373,194.85617307172848,144.85234343616736,157.1630982279072,118.22316001007079,167.88985440482676,166.7344162613109,164.43863979703477,168.01288068900402,167.33215995342482,168.0228105370774,166.1888176132121,167.09859644311098,168.6966643239568,146.66604579864304,160.16169662447123,171.2082949825609,162.8448453856886,166.8587242999025,161.6362650679881,161.49203949030368,163.9054937173895,166.391170092399,149.13121324171706,164.6292950992564,162.52436494207697,166.90319957604555,163.522537979027
Transparent film on window,108.18379337286085,85.09472292151702,104.92685352854593,128.63047136910475,124.31500802569576,100.0075235614372,132.3343205871894,0.0,206.30283438450263,104.34673161502269,121.4170505692813,86.12364666216648,138.2356063766609,169.44770382995333,78.65986392659977,90.73510315752033,74.25675836256454,88.89987076590342,83.60314420761428,82.74057699666584,84.51931662712093,83.12317502247753,78.02770372157545,63.33335522109162,80.44615409989055,85.07808372999361,81.30755267491834,90.09990874916697,81.8770069240239,79.4218575940102,74.24929812669984,91.80664181891784,82.0290497161602,81.9012586055443,93.41622937725435,82.07185144455775,81.72349367765788
Seiko Thermic watch,140.7004138316552,194.7068650227042,128.15060868285804,165.98206489575725,181.47567243328248,167.23474970492933,120.61075780410656,206.30283438450263,0.0,137.46797017768003,214.91274490886508,164.90264510603473,195.11893692904775,127.64333881112393,201.72339864039552,199.61152380927558,198.0221784888761,189.7779500306234,198.1365783091964,203.59303298204114,197.3432926534858,197.66779233821418,197.15972610240559,198.05491925708827,198.22477304168987,200.39916471074892,199.0893358829529,196.73830530223154,196.85613448936354,200.18631023381263,200.79802683408977,195.93240611091346,187.26145463830434,202.0604741294089,193.43857518674344,196.90440824484384,197.49867436596358
Enocean ECT 310 Perpetuum,123.7756414385826,93.7264135423431,103.26440847026143,116.33571862842115,127.0141858087864,108.29828532697027,108.9858794703373,104.34673161502269,137.46797017768003,0.0,101.69242582631873,51.68232602348843,119.42043841957656,94.21673764481436,127.89410618961313,124.59932175129126,112.53933945361322,119.55985907661244,118.77804295212492,122.95676748088607,115.81148449616605,118.46858575842549,114.38616021906212,115.10649438889249,119.44740708579471,122.37614000914347,125.36674065000224,119.95151281509042,119.76702759538749,114.14539937085773,111.05680213514749,118.54665867243968,115.24052368807344,110.63556753102834,125.34568769372274,124.3184299678745,118.8040074101326
Micropelt TE-power probe,166.71370853256232,144.6772229721106,157.11887548421586,180.97047071088537,147.998384923633,139.46734668705147,194.85617307172848,121.4170505692813,214.91274490886508,101.69242582631873,0.0,50.010099802830304,112.80877510958555,171.493881584691,166.74673541522782,168.0226869454166,151.8009673319229,156.8337343545059,161.10441760252098,163.81169540770273,159.0020295945411,156.69239016926934,155.08334042478225,156.30096505802223,155.7570557210407,158.32104160044935,159.16331064090997,159.3191140415311,161.4598906504015,155.08698586440525,154.6045832505367,165.48696897232077,164.2028162634169,148.96602843726814,168.63497652249305,161.79313886183476,158.90212991768706
Micropelt STM-PEM,116.703608729732,94.6671231692803,107.10877568138554,130.96037090805507,100.27644349773762,121.38172861457993,144.85234343616736,86.12364666216648,164.90264510603473,51.68232602348843,50.010099802830304,0.0,92.27991265603963,121.4837817818607,117.15948543605903,118.67258758058053,102.44854768298123,108.30360893449107,111.30574271152143,114.22444542853395,109.42740371354205,106.68229036643908,106.34179009293665,107.06212426276701,113.10284678552907,113.4399158549784,118.37253644352195,109.30901423870083,115.44241124777498,106.55686044439038,105.44018309502952,116.02436130158605,115.22146100685573,105.28307560964974,119.68200127881661,117.08434102281137,108.89203011485672
Solar powered Sterling engine,166.71370853256232,152.12586469376052,167.25109234711317,154.39186699264954,100.17419174279563,182.5447301345702,157.1630982279072,138.2356063766609,195.11893692904775,119.42043841957656,112.80877510958555,92.27991265603963,0.0,86.31337928672416,163.5577818639158,167.23019432984327,149.6568166410584,151.94790100495817,153.50067328500532,161.16510089111173,152.74924638365135,151.3049099855273,160.48852341924467,156.429414574601,159.05329049202942,161.74035763868892,167.77255618523589,147.4187115756949,158.31255599273362,149.37592633466568,152.89492523141692,163.50688963763054,160.27437962563945,157.78936875887712,166.92531850337323,164.60225723290566,162.42250247828952
Solar/wind streetlamp,177.13529088091428,147.08606298467478,156.62405791259314,112.12719472781274,135.78688740388552,172.5165099093687,118.22316001007079,169.44770382995333,127.64333881112393,94.21673764481436,171.493881584691,121.4837817818607,86.31337928672416,0.0,175.51272407139297,161.76993210189397,157.45440732792736,158.1490606563012,159.33139586318515,172.73670313380762,159.4292667554415,156.04995348071657,169.33862364168886,165.1220291220554,164.94040159669154,172.6510480703888,175.18199225675016,151.84651424030687,160.56833125717495,159.32000287977166,160.2781860674803,154.03279672274502,159.23347851122148,161.7136251273839,165.858912046139,171.32088994079163,173.34962770970898
74 Chevy Tailgate Support-RBS,109.18179651602998,57.34769082020781,81.28837722147223,119.46707593425573,147.5638273677735,98.29588121082382,167.88985440482676,78.65986392659977,201.72339864039552,127.89410618961313,166.74673541522782,117.15948543605903,163.5577818639158,175.51272407139297,0.0,38.87809875845049,28.707827892540042,37.30831066824903,32.00018989664999,19.093184734493164,33.281896267426596,33.59462661480945,36.359399601650495,34.8342289755528,48.09218354651526,30.17806458548279,38.82506925247962,37.848975466788055,41.342277186124136,40.001816379345726,30.46651124845472,39.39673573602712,49.91628126412728,37.39392124516989,43.14090069270344,36.23491903815743,34.272093490363076
B&D Cordless Screwdriver,126.77584261736634,57.684660500436145,91.43558913140686,106.8485567670737,163.29255121212705,105.22070694724049,166.7344162613109,90.73510315752033,199.61152380927558,124.59932175129126,168.0226869454166,118.67258758058053,167.23019432984327,161.76993210189397,38.87809875845049,0.0,30.661294313816725,46.27295203883593,33.07417449519208,36.785929961447714,37.40113271874423,38.67222497843591,36.136775847358955,39.44904960159844,52.385601422296745,42.812160822590734,46.97435486514315,38.0621751781839,37.66011507989414,47.613042843444326,31.070029451733696,10.13825307234314,47.208956914344,41.378335235198264,51.23347355852199,39.67514548255739,45.865141994591056
B&D Weed Trimmer,113.15116970005539,41.844256462503175,74.99912270955811,103.14725568128782,153.47862603626425,92.12331910213383,164.43863979703477,74.25675836256454,198.0221784888761,112.53933945361322,151.8009673319229,102.44854768298123,149.6568166410584,157.45440732792736,28.707827892540042,30.661294313816725,0.0,26.06441339786994,24.890333639618365,26.5448813682253,25.206216071757527,26.206654411650096,23.85922228187312,27.75840204125688,38.02478719370416,24.7075078483497,34.8717879494836,30.11009317151803,28.27495947736671,26.438122389371703,17.082419940525973,28.122042124144492,38.52322264962661,24.88190404317605,37.110268709711605,25.5458479261621,29.54931252737922
Bissel Hand Vacuum,120.22246666728704,53.19551792358875,76.01222409931918,112.96313978337182,159.90000348458,101.95213724625481,168.01288068900402,88.89987076590342,189.7779500306234,119.55985907661244,156.8337343545059,108.30360893449107,151.94790100495817,158.1490606563012,37.30831066824903,46.27295203883593,26.06441339786994,0.0,31.94414322803847,32.45753159583369,30.389482426458727,31.15933748327925,27.41976539344409,37.981180744502055,41.314828243351485,28.463926102780984,38.473660260112666,35.227930331875406,38.454164022443585,21.010358208332804,30.55479661799223,40.39068414480583,42.530665378807505,36.00047023731528,33.63256584864502,34.214239301452906,42.53096312154604
Bumble Ball Toy,122.72827941253931,47.806284226381926,78.21225504009522,108.54210981159147,155.33094743789505,90.53946274182515,167.33215995342482,83.60314420761428,198.1365783091964,118.77804295212492,161.10441760252098,111.30574271152143,153.50067328500532,159.33139586318515,32.00018989664999,33.07417449519208,24.890333639618365,31.94414322803847,0.0,25.575051677641166,28.309952724655343,32.36038691654387,31.539613827515243,31.75819976896239,46.249736006992364,27.949599406334123,35.92246093194368,26.822059716247512,29.860574146080403,33.1999074686652,18.04079578060476,29.81206851932644,45.43995452010376,32.79888902221258,44.85435764541117,26.52596228524503,33.52267946196468
Cadillac Slide-Out Visor-RBS,119.07171545120192,53.19869671151248,78.81790864058813,115.90319217312683,154.06116738070332,94.970745375383,168.0228105370774,82.74057699666584,203.59303298204114,122.95676748088607,163.81169540770273,114.22444542853395,161.16510089111173,172.73670313380762,19.093184734493164,36.785929961447714,26.5448813682253,32.45753159583369,25.575051677641166,0.0,25.464842613844056,34.306126928365956,29.563123778492155,29.831441445332516,43.90213161374316,22.444951922717074,36.868927723803694,33.73756847073834,33.87796754863186,34.16599702879448,23.940296274118737,38.0221317583653,44.942895240186616,31.668605155996133,38.16946962253527,32.9888454997086,29.24835535775758
Crossfire Game,115.42005863729204,44.94087458095712,73.56118176579666,108.41020962387243,153.97129467162466,92.38805328728077,166.1888176132121,84.51931662712093,197.3432926534858,115.81148449616605,159.0020295945411,109.42740371354205,152.74924638365135,159.4292667554415,33.281896267426596,37.40113271874423,25.206216071757527,30.389482426458727,28.309952724655343,25.464842613844056,0.0,30.313511613273914,31.02762268254285,31.360134319539327,32.56868319730494,26.90036998849667,37.97176172703534,31.790335947528433,29.769193678068714,28.7709072075862,24.75198900307631,32.244440529172905,39.51830440718075,28.10229895375546,34.997504226873886,27.46527204867222,29.21041106529721
Dazey Fruit & Veg. Stripper-RBS,107.31133188938678,46.76934265308132,80.53612483614963,102.0031800184211,144.61309918340208,101.39940338099917,167.09859644311098,83.12317502247753,197.66779233821418,118.46858575842549,156.69239016926934,106.68229036643908,151.3049099855273,156.04995348071657,33.59462661480945,38.67222497843591,26.206654411650096,31.15933748327925,32.36038691654387,34.306126928365956,30.313511613273914,0.0,29.18673853149775,35.73038846527115,43.47021253732348,36.17869890425097,40.182163822016776,36.825733259858744,36.89289996968308,36.951982409799164,27.43733981123551,36.40862568545867,39.60986760444537,37.3582320025931,45.081407950626165,35.171843036957554,34.94160759208039
Dremel Electric Engraver-RBS,110.66940023380417,49.042920056680074,79.61988808935831,108.33053739042913,161.83563740099564,95.80165105197597,168.6966643239568,78.02770372157545,197.15972610240559,114.38616021906212,155.08334042478225,106.34179009293665,160.48852341924467,169.33862364168886,36.359399601650495,36.136775847358955,23.85922228187312,27.41976539344409,31.539613827515243,29.563123778492155,31.02762268254285,29.18673853149775,0.0,29.760121279401375,35.98168000998134,30.195529776499058,40.56687802821606,37.240606761570184,34.454885948024845,33.7896470306391,23.562772714355262,33.990415365814265,35.123572305175905,30.507750647321913,38.07693114303774,33.64228885310975,31.36416935857618
