,Heel-impact shoe harvester,Innowattech road/rail,Piezo backpack straps,U Texas prototype Piezo Vib,WindTamer,Columbia Power Manta buoy,Inflatable mat,Transparent film on window,Seiko Thermic watch,Enocean ECT 310 Perpetuum,Micropelt TE-power probe,Micropelt STM-PEM,Solar powered Sterling engine,Solar/wind streetlamp,74 Chevy Tailgate Support-RBS,B&D Cordless Screwdriver,B&D Weed Trimmer,Bissel Hand Vacuum,Bumble Ball Toy,Cadillac Slide-Out Visor-RBS,Crossfire Game,Dazey Fruit & Veg. Stripper-RBS,Dremel Electric Engraver-RBS,Green Eagle Putting Cup,Hot Glue Gun 21,Moen Kitchen Water Faucet,Paint Sprayer,Pneumatic Air Ratchet,Power Caulk 20,Presto Popcorn Popper,Real Power Tool Shop,SKIL Power Screwdriver-RBS,Salton Sandwich Maker,Stamp Machine 17,Super Maxx Ball Shooter-RBS,Wagner Paint Roller,bicycle brake 18
Heel-impact shoe harvester,0.0,33.13608305156177,23.280893453645618,12.328828005937938,11.999999999999991,20.97617696340302,15.297058540778348,28.071337695236398,30.789608636681287,11.224972160321817,16.43167672515497,17.549928774784245,16.431676725154972,18.493242008906915,42.540420218397095,39.406626113509915,43.15357682439116,41.97496157517306,43.658523671947336,43.99037867097458,43.01266270758281,39.640655389132604,42.59160645956986,42.34959135241069,39.24206247667621,44.40240526287745,40.01181092444195,40.86506789854931,42.28371462054417,42.4863442467919,45.12205669071391,40.30321271330242,39.56669750457874,41.418339179619764,40.74767538869845,41.650013717397634,42.582718006007994
Innowattech road/rail,33.13608305156177,0.0,15.874507866387539,32.58834147360064,37.38983819167983,18.49324200890692,40.32369030731191,13.416407864998734,54.4242592967511,27.999999999999996,31.559467676118985,22.93468988235942,31.559467676118988,43.26661530556786,16.12340663062848,13.907497255753544,16.37085431109369,15.952250745968232,17.233767722864624,18.180284169742464,16.209942714022404,12.899761403528188,16.22555950450942,15.796199055565133,14.127561876470846,18.001635328576295,14.366084880842273,14.560659755365084,15.650948007359185,16.264069782086363,18.384776310850242,13.688872712995943,13.454697168882063,14.391682468571894,14.720448357593659,15.428751823156487,15.071224106883887
Piezo backpack straps,23.280893453645618,15.874507866387539,0.0,22.49444375840398,28.319604517012586,7.071067811865462,31.208973068654466,12.806248474865699,45.49725266430929,17.999999999999996,22.627416997969505,12.727922061357852,22.62741699796951,34.11744421846395,25.38134177396539,22.31909741178432,25.885828504364863,24.95059935861762,26.627105549151423,27.32256818991561,25.70414788890023,22.190501412060204,25.260023089850627,25.276173700209117,22.141733208829166,27.350664973690243,22.801622930997205,23.697708068533103,24.79251910086503,25.361384303348384,28.248893783651074,22.883955116775834,22.14722420024064,24.383462453715516,23.589413365561064,24.506383312281272,25.255391541020455
U Texas prototype Piezo Vib,12.328828005937938,32.58834147360064,22.49444375840398,0.0,19.287301521985906,20.78460969082653,18.81488772222678,28.46049894151542,33.0454232837166,16.06237840420901,21.494185260204667,20.493901531919203,21.494185260204674,21.494185260204667,42.418031567254346,39.21898631031889,43.07513061534601,41.94831918852998,43.586088571498635,44.12377142045431,42.87350172385355,39.508044552282165,42.408505170853694,42.236142997040616,39.22612325466714,44.33865964234052,39.98542969277401,40.96761848435355,42.07471965996907,42.324818140284854,45.166359162544865,40.176363320206114,39.25148934073765,41.41768185281169,40.694074737256344,41.64067966265292,42.41392186101112
WindTamer,11.999999999999991,37.38983819167983,28.319604517012586,19.287301521985906,0.0,25.690465157330255,9.486832980505135,31.937438845342626,26.981475126464066,16.673332000533055,14.071247279470285,21.63330765278393,14.071247279470285,14.07124727947028,46.21440261017677,43.252594336568485,46.610194550162525,45.70616894770379,47.113263578206755,47.55935291159292,46.5509183163797,43.433933212793804,46.1930704178247,46.042572275883536,43.020965693844545,47.963988114806355,43.81973396504289,44.2560416480166,45.9163518472721,46.14835908615051,48.49742261192856,44.07187634536338,43.604254212026596,45.09129423668919,44.437565458662604,45.26794075923208,46.14788697020652
Columbia Power Manta buoy,20.97617696340302,18.49324200890692,7.071067811865462,20.78460969082653,25.690465157330255,0.0,28.6705423736629,12.727922061357855,43.12771730569564,15.297058540778353,19.748417658131483,9.165151389911674,19.74841765813149,31.654383582688816,27.494204505416885,24.297221797720734,28.021699430799575,26.95891324480381,28.58121416498092,29.14868501524907,27.913305790347348,24.39904436490109,27.433531476131613,27.318207889333955,23.956579654281427,29.442949947785326,24.77788846509634,25.598918597443248,27.10845672096053,27.378515723792212,30.199337741082996,25.082934265788793,24.32279704290478,26.390124017126038,25.53788898574608,26.50859974059796,27.495537845405508
Inflatable mat,15.297058540778348,40.32369030731191,31.208973068654466,18.81488772222678,9.486832980505135,28.6705423736629,0.0,34.8998567332303,23.748684174075816,19.89974874213239,18.0,24.779023386727733,18.0,9.486832980505131,49.28274488047937,46.36625035448346,49.70800179475308,48.77292536239071,50.20096105281172,50.634889645080115,49.633511002328135,46.538178344750925,49.27589199147167,49.1074706681669,46.10411499431658,51.05432553542634,46.90693799245297,47.36360349758501,48.99877857397353,49.222046460598726,51.59457335805774,47.16115566191976,46.67561131266667,48.1720828560647,47.51576156861946,48.35525809257055,49.228550315701916
Transparent film on window,28.071337695236398,13.416407864998734,12.806248474865699,28.46049894151542,31.937438845342626,12.727922061357855,34.8998567332303,0.0,49.05099387372289,22.583179581272432,26.038433132583066,16.970562748477136,26.03843313258307,37.86819245752297,19.906085025896886,17.474017046870454,20.30000048572784,19.29621112135467,20.91542842581756,21.517786944643227,20.289415594972706,17.255357655196057,19.790333965466413,19.735268830043097,16.46204359554148,21.8945788496155,17.330967680008847,17.981951250680773,19.545188559332978,19.7656158404643,22.58317958127242,17.821650354878845,17.14424471749362,18.680090562643844,17.943604083191435,18.815707226178095,19.913224708625464
Seiko Thermic watch,30.789608636681287,54.4242592967511,45.49725266430929,33.0454232837166,26.981475126464066,43.12771730569564,23.748684174075816,49.05099387372289,0.0,35.014282800023175,33.31666249791536,39.496835316262995,33.31666249791536,20.445048300260854,63.548056105195045,60.803728902033484,63.94940022981104,63.060082276836205,64.41149347018018,64.92125186519299,63.896589590581456,60.94338155439921,63.52358653430299,63.3929613802099,60.45366503722749,65.32775618948304,61.28603341895851,61.745344083398564,63.25626817384912,63.49390688000186,65.84831053261732,61.52300579426185,61.03804741709571,62.45595552662168,61.85568403833011,62.65947536045041,63.45794468138743
Enocean ECT 310 Perpetuum,11.224972160321817,27.999999999999996,17.999999999999996,16.06237840420901,16.673332000533055,15.297058540778353,19.89974874213239,22.583179581272432,35.014282800023175,0.0,9.797958971132692,11.224972160321826,9.797958971132699,23.065125189341575,37.17057281883082,33.954655852524006,37.72904424832786,36.600608912556964,38.2506590523786,38.61864351407194,37.61773938657586,34.19087528164076,37.19431928330902,36.98426700741929,33.78690739195734,39.02858500353683,34.58167869090245,35.362781939520985,36.888679192321625,37.10541503078507,39.72404813208241,34.87680415568563,34.19005907234797,36.025226054218564,35.32371820687016,36.22637041598294,37.19734512082712
